"PHA193705170",72,"$Bill Dickey bluffed a throw to 2B and ran towards charging Bob Johnson; when Dickey realized he couldn't catch Johnson, Dickey threw towards Red Rolfe but it hit Johnson's shoulder and went into LF","FILENAME_TX","LINE_NUMBER_CT"
"PHA193705210",69,"ej,dykej101,M,kolll901,Called third strike ej,haasm101,P,kolll901,Abusive language $Zeke Bonura argued the called third strike; White Sox manager Jimmy Dykes came out to argue that call and the fact that pitcher George Caster was not standing on the pitching rubber while throwing; Dykes was ejected by HP umpire Lou Kolls; Kolls then told Caster to start pitching to Luke Appling even though Appling was not in the batter's box; after two strikes, Dykes stood on the top step of the dugout and told Kolls that he was playing the game under protest; Mule Haas also ejected by Kolls","1937PHA.EVA.regular.comment.csv",2
"PHA193706240",62,"$the popup in front of plate glanced off Merv Shea's glove into foul territory","1937PHA.EVA.regular.comment.csv",3
"PHA193706290",69,"$1B umpire Bill Summers called Red Ruffing out but HP umpire Bill Dinneen overuled Summers; this allowed Powell to score","1937PHA.EVA.regular.comment.csv",4
"PHA193707010",64,"$George Selkirk fell after the catch and left with an injured shoulder","1937PHA.EVA.regular.comment.csv",5
"PHA193707051",54,"$pitcher Lynn Nelson played LF","1937PHA.EVA.regular.comment.csv",6
"PHA193707052",0,"$pitcher Lynn Nelson played LF","1937PHA.EVA.regular.comment.csv",7
"PHA193707052",86,"$game called due to rain","1937PHA.EVA.regular.comment.csv",8
"PHA193707101",51,"$Lefty Grove left the game due to the excessive heat","1937PHA.EVA.regular.comment.csv",9
"PHA193707112",40,"ej,chapb102,P,quinj901,Call at 2B (Threw equipment) Ben Chapman ejected by 3B umpire John Quinn","1937PHA.EVA.regular.comment.csv",10
"PHA193707310",5,"$Wally Moses rounded 2B too far","1937PHA.EVA.regular.comment.csv",11
"PHA193708070",46,"$game called due to rain and second game of DH postponed","1937PHA.EVA.regular.comment.csv",12
"PHA193708190",66,"$Johnny Marcum struck on the head by Earle Brucker's return throw to the mound after a pitch","1937PHA.EVA.regular.comment.csv",13
"PHA193709061",0,"$Connie Mack stayed home with stomach ailment; Earl Mack managed Athletics","1937PHA.EVA.regular.comment.csv",14
"PHA193709110",39,"$Ben Chapman intentionally dropped the fly ball","1937PHA.EVA.regular.comment.csv",15
"PHA193709220",72,"ej,johnb102,P,johnc901,Balls and strikes Bob Johnson ejected by HP umpire Charles Johnston","1937PHA.EVA.regular.comment.csv",16
"PHA193710022",55,"$game called due to darkness","1937PHA.EVA.regular.comment.csv",17
"PHA193710032",44,"$game called due to rain","1937PHA.EVA.regular.comment.csv",18
