"BRO191905020",9,"unknown fielders","FILENAME_TX","LINE_NUMBER_CT"
"BRO191905080",7,"note: accnt and newspaper story differ on run is scored.","1919BRO.EVN.regular.comment.csv",2
"BRO191905130",59,"Hit a 3 and 1 pitch.","1919BRO.EVN.regular.comment.csv",3
"BRO191905130",61,"Magee hit on the hand.","1919BRO.EVN.regular.comment.csv",4
"BRO191905130",71,"Count was 3 and 2. Hit was back of 2nd.","1919BRO.EVN.regular.comment.csv",5
"BRO191905140",14,"High drive over Roush's head, came to a stop under temporary seats left over from a prior Robins-Giants series. Said to be the longest hit made in Ebbets Field up to that time.","1919BRO.EVN.regular.comment.csv",6
"BRO191905190",64,"$Olson slugged Mann as he tagged him and a fight started but no blows were struck as Umpire Byron separated the players","1919BRO.EVN.regular.comment.csv",7
"BRO191905200",12,"$Otto Knabe protested strike 3 from the bench and was ejected by Byron","1919BRO.EVN.regular.comment.csv",8
"BRO191905200",25,"to the scoreboard","1919BRO.EVN.regular.comment.csv",9
"BRO191905200",64,"$Olson jumped into Lear preventing Lear from throwing to 1B; Magee was called out because of Olson's interference","1919BRO.EVN.regular.comment.csv",10
"BRO191905200",65,"$the game was halted while the police removed a spectator who wished to invade the Cubs' bench and whip someone","1919BRO.EVN.regular.comment.csv",11
"BRO191905230",51,"that's what it says but it cannot be correct missing fielder (?) in BRO1905230","1919BRO.EVN.regular.comment.csv",12
"BRO191905230",59,"again - is this correct? missing fielder (?) in BRO1905230","1919BRO.EVN.regular.comment.csv",13
"BRO191905250",22,"$Bigbee raced way back, turned and set himself but dropped the ball","1919BRO.EVN.regular.comment.csv",14
"BRO191905260",70,"$Schmandt scored when Hornsby held the relay from outfield","1919BRO.EVN.regular.comment.csv",15
"BRO191906281",59,"Myers robbed Callahan of extra bases with a good catch.","1919BRO.EVN.regular.comment.csv",16
"BRO191907080",44,"first pitch","1919BRO.EVN.regular.comment.csv",17
"BRO191907090",4,"$leaping catch by Mollwitz","1919BRO.EVN.regular.comment.csv",18
"BRO191907090",55,"$off Terry's chest","1919BRO.EVN.regular.comment.csv",19
"BRO191907090",74,"$bad hop over Stengel's head to the fence","1919BRO.EVN.regular.comment.csv",20
"BRO191907110",22,"$Stengel turned towards 1B then back towards 2B","1919BRO.EVN.regular.comment.csv",21
"BRO191907190",35,"Wingo ejected by Harrison for protesting (what I don't know)","1919BRO.EVN.regular.comment.csv",22
"BRO191908100",63,"$Terry took 2B on Myers' throw home and when Mack Wheat threw to 2B Barbare raced home","1919BRO.EVN.regular.comment.csv",23
"BRO191908100",78,"$the ball rolled into the Pirate dugout","1919BRO.EVN.regular.comment.csv",24
"BRO191908110",0,"$Uncle Robbie is in Baltimore for his son's wedding, so  Zack Wheat is acting manager","1919BRO.EVN.regular.comment.csv",25
"BRO191908110",10,"ej,mollf101,P,klemb901,Called third strike Mollwitz ejected by Klem for complaining","1919BRO.EVN.regular.comment.csv",26
"BRO191908110",26,"$the middle infielders were engaged in conversation when the throw went right between them","1919BRO.EVN.regular.comment.csv",27
"BRO191908120",67,"Chase fakes catching the ball which keeps Olsen from going to third.","1919BRO.EVN.regular.comment.csv",28
"BRO191908131",20,"$Ward lifted a fly to RF which was caught by Robertson; it was then discovered that the Cubs had 8 players on the field; Flack had gone to the clubhouse for treatment on his hand which was struck by the pitch; Umpire O'Day put Ward back at the plate to hit again","1919BRO.EVN.regular.comment.csv",29
"BRO191908142",35,"$No SH awarded","1919BRO.EVN.regular.comment.csv",30
"BRO191908170",13,"Groh makes throw from his knees","1919BRO.EVN.regular.comment.csv",31
"BRO191908170",36,"Roush slid several yards as he missed on a diving attempt.","1919BRO.EVN.regular.comment.csv",32
"BRO191908210",49,"$Terry was hit on the head by Griffith's throw","1919BRO.EVN.regular.comment.csv",33
"BRO191908210",60,"$Terry left the game because of the throw which hit him on the head in the sixth","1919BRO.EVN.regular.comment.csv",34
"BRO191908210",62,"$Bigbee turned a somersault trying to catch the short fly","1919BRO.EVN.regular.comment.csv",35
"BRO191908230",66,"$With the bases full, Hornsby sent up a pop fly a yard or two in front of the plate, which Krueger muffed.  Smith, on third, dashed for the plate.  Ward received Krueger's throw and stepped on the plate, believing that Smith was forced. Umpire Rigler called Hornsby out on an infield fly, however, and allowed Smith's tally to count, declaring that Ward should have tagged the runner.'","1919BRO.EVN.regular.comment.csv",36
"BRO191908262",0,"Jack Miller is acting manager while Branch Rickey is away on a scouting tour.  Presumably for game 1 as well?","1919BRO.EVN.regular.comment.csv",37
"BRO191908282",68,"$The Rabbit did not move a step toward first.  Instead he  brought his bat to right-shoulder arms, executed an about face in approved military manner, and marched off to the  bench at the prescribed cadence of ninety steps to the  minute","1919BRO.EVN.regular.comment.csv",38
"BRO191908290",49,"Zimmerman tossed by Emslie for complaining.","1919BRO.EVN.regular.comment.csv",39
"BRO191908310",51,"$Klem clears Brooklyn bench!  Tired of abuse...","1919BRO.EVN.regular.comment.csv",40
"BRO191908310",62,"$Grimes badly spiked on play at first...","1919BRO.EVN.regular.comment.csv",41
