"CHN193904240",16,"$Cavarretta over-ran 2B","FILENAME_TX","LINE_NUMBER_CT"
"CHN193904240",24,"$Vaughan purposely dropped Hernan's pop.","1939CHN.EVN.regular.comment.csv",2
"CHN193904250",0,"$Total attendance 12,500.","1939CHN.EVN.regular.comment.csv",3
"CHN193904250",11,"$Passed ball didn't roll far enough away.","1939CHN.EVN.regular.comment.csv",4
"CHN193904290",15,"CC4: 412 had 3/G here ","1939CHN.EVN.regular.comment.csv",5
"CHN193904300",48,"could be 1/P","1939CHN.EVN.regular.comment.csv",6
"CHN193904300",53,"could be 3/P","1939CHN.EVN.regular.comment.csv",7
"CHN193905160",59,"$Protecting runner on hit and run, Leo swung at wide one.","1939CHN.EVN.regular.comment.csv",8
"CHN193905170",164,"$Game called, darkness.","1939CHN.EVN.regular.comment.csv",9
"CHN193905190",0,"$Ladies Day. Total attend. 26,151. Paid is unknown.","1939CHN.EVN.regular.comment.csv",10
"CHN193905190",2,"FDP could be with Danning up","1939CHN.EVN.regular.comment.csv",11
"CHN193905190",8,"not sure other than CF assist on last out","1939CHN.EVN.regular.comment.csv",12
"CHN193905190",24,"s/s never shows SBs-total guess here","1939CHN.EVN.regular.comment.csv",13
"CHN193905200",0,"$Game started 9 minutes late due to heavy shower that washed out Giant BP.","1939CHN.EVN.regular.comment.csv",14
"CHN193905200",38,"$Bartell wrenched his back but continued playing.","1939CHN.EVN.regular.comment.csv",15
"CHN193905200",51,"$Bartell called time, went to dugout, and left game.","1939CHN.EVN.regular.comment.csv",16
"CHN193905200",69,"Reconstructed last 2 half innings CHN193905200","1939CHN.EVN.regular.comment.csv",17
"CHN193905210",0,"$Afternoon downpour delayed start 33 minutes while field prepared.  Fog hung over field. Al Simmons received a gift of a portable radio.","1939CHN.EVN.regular.comment.csv",18
"CHN193905210",51,"$Mesner knocked ball down and Herman caught Hassett rounding 3B.","1939CHN.EVN.regular.comment.csv",19
"CHN193905220",31,"$The ball appeared to clear the LF fence but Umpire Stark ruled that a fan interfered with the ball over the wall in the field of play","1939CHN.EVN.regular.comment.csv",20
"CHN193905230",5,"$Miller let Herman's pop drop.","1939CHN.EVN.regular.comment.csv",21
"CHN193905230",7,"possible second Warstler E elsewhere.","1939CHN.EVN.regular.comment.csv",22
"CHN193905230",18,"$Warstler fumbled Herman's grounder but Miller picked up  and got force.","1939CHN.EVN.regular.comment.csv",23
"CHN193905230",54,"$West overslid 3B.","1939CHN.EVN.regular.comment.csv",24
"CHN193905230",61,"count 2-0 Lanning in","1939CHN.EVN.regular.comment.csv",25
"CHN193905250",76,"pbp account ends here, rest deduced","1939CHN.EVN.regular.comment.csv",26
"CHN193905260",0,"$Ladies Day. Total attendance 20,000.","1939CHN.EVN.regular.comment.csv",27
"CHN193905280",22,"$Rizzo claimed he caught Dean's wind-blown hit. During argument Dean and Vaughan started to scuffle.","1939CHN.EVN.regular.comment.csv",28
"CHN193905280",23,"Hack too fast for 64","1939CHN.EVN.regular.comment.csv",29
"CHN193905280",64,"Reconstructed last 2 half innings from Trib story","1939CHN.EVN.regular.comment.csv",30
"CHN193906140",0,"$Whitehead out with torn finger nail, Jurges out stiff neck. Lieber only available as PH due to charley horse. Chiozza played SS despite badly blistered R hand. Myatt will arrive from Jersey City for tomorrow's game.","1939CHN.EVN.regular.comment.csv",31
"CHN193906140",38,"$Umps got arguments from both sides: Chi said HR, NY ground rule double.","1939CHN.EVN.regular.comment.csv",32
"CHN193906140",57,"Reconstructed last 2 innings CHN193906140","1939CHN.EVN.regular.comment.csv",33
"CHN193906140",60,"$Bonura's HR  landed on street and bounced so high fans saw it.","1939CHN.EVN.regular.comment.csv",34
"CHN193906150",38,"$Failed squeeze.","1939CHN.EVN.regular.comment.csv",35
"CHN193906150",53,"$Myatt was recalled due to inf. injuries but showed up with bad knee.","1939CHN.EVN.regular.comment.csv",36
"CHN193906150",76,"Reconstructed last 2 innings CHN193906150 from Trib story","1939CHN.EVN.regular.comment.csv",37
"CHN193906160",0,"$Ladies Day total attendance 24,846.","1939CHN.EVN.regular.comment.csv",38
"CHN193906160",44,"$Zeke scored despite 3B Coach Snyder's stop sign.","1939CHN.EVN.regular.comment.csv",39
"CHN193906160",46,"last 4.5 innings from s/s with generic outs","1939CHN.EVN.regular.comment.csv",40
"CHN193906160",58,"$No one covered 3B.","1939CHN.EVN.regular.comment.csv",41
"CHN193906160",62,"yes 74","1939CHN.EVN.regular.comment.csv",42
"CHN193906160",70,"Mesner count 2-0 when RP in","1939CHN.EVN.regular.comment.csv",43
"CHN193906160",73,"NYT had S7 for Bartell","1939CHN.EVN.regular.comment.csv",44
"CHN193906181",12,"$Not CS in 1939 if runner safe","1939CHN.EVN.regular.comment.csv",45
"CHN193906182",6,"$Due to sore shoulder Galan batted LH vs LHP Tamulis except for sacrifice bunt.","1939CHN.EVN.regular.comment.csv",46
"CHN193906182",31,"$Bartell hit on point of L elbow by pitch.","1939CHN.EVN.regular.comment.csv",47
"CHN193906182",40,"$Tribune says hit ends Herman's 0-for-20 slump.","1939CHN.EVN.regular.comment.csv",48
"CHN193906182",41,"$Only PA Galan batted RH vs LHP Tamulis for bunt.","1939CHN.EVN.regular.comment.csv",49
"CHN193906190",3,"ej,laryl101,BRO,P,goetl901,Call at 1B $Dodger Lary, not in game, ejected by 1B umpire Goetz for arguing that Almada was safe at 1st","1939CHN.EVN.regular.comment.csv",50
"CHN193906190",14,"$Hudson lost Lavagetto's throw when Russell bumped him. Camilli retrieved the ball in RF and threw wildly to get Russell at 3B. Dodgers argued Russell should be out for interference.","1939CHN.EVN.regular.comment.csv",51
"CHN193906190",16,"$Root fouled 2 sacrifice tries.","1939CHN.EVN.regular.comment.csv",52
"CHN193906190",39,"$Source says Bartell purposely juggled Casey's pop to lure Hudson off of 1B. Hudson did run but spun and ran back. Bartell's throw hit Hudson in the back so Hudson ran to 2B.","1939CHN.EVN.regular.comment.csv",53
"CHN193906190",45,"$Rain started.","1939CHN.EVN.regular.comment.csv",54
"CHN193906190",69,"$Casey made shoestring catch of liner. French threw one pitch in ninth then play was halted due to rain.  After 30 minutes the game called.","1939CHN.EVN.regular.comment.csv",55
"CHN193906200",6,"$Galan batted left-handed vs. LHP Shofner because of an injured right elbow.","1939CHN.EVN.regular.comment.csv",56
"CHN193906200",12,"$Reynolds tore the second base bag which had to be replaced, causing a five-minute delay prior to the start of the 3rd inning","1939CHN.EVN.regular.comment.csv",57
"CHN193906210",64,"$Game called for rain","1939CHN.EVN.regular.comment.csv",58
"CHN193906220",0,"$Start of game delayed by 15 minutes because of rain","1939CHN.EVN.regular.comment.csv",59
"CHN193906220",23,"$Simmons tossed his bat and argued briefly with home plate umpire Summers about the third strike","1939CHN.EVN.regular.comment.csv",60
"CHN193906220",25,"ej,simma101,P,stewb901,Called third strike (Made faces) $Simmons orginally stayed in the game, playing LF, with West shifting to CF, replacing Outlaw. Stengel also replaced Warstler with Huber at 2B. Simmons 'described his opinion of Stewart's judgment with many gestures for the benefit of the bleacher fans.' Stewart saw this and ejected Simmons who came to home plate to continue his argument. Stengel put Outlaw back in LF (and, oddly, Warstler back at 2B) which brought an argument from Hartnett, who eventually relented and let the Bees revert to their starting lineup (except for the new battery).","1939CHN.EVN.regular.comment.csv",61
"CHN193906300",20,"ej,vandj101,P,searz901,Balls and strikes Vander Meer ejected by Sears for arguing pitches.","1939CHN.EVN.regular.comment.csv",62
"CHN193906300",64,"$Frey backed away to avoid Herman's tag so 43.","1939CHN.EVN.regular.comment.csv",63
"CHN193906300",70,"ej,lombe101,P,searz901,Balls and strikes $Lombardi ejected by Sears for insisting foul tip.","1939CHN.EVN.regular.comment.csv",64
"CHN193907010",4,"$ball lost in the sun","1939CHN.EVN.regular.comment.csv",65
"CHN193907021",0,"$overflow crowd","1939CHN.EVN.regular.comment.csv",66
"CHN193907022",52,"s/s had 43(1)/FO","1939CHN.EVN.regular.comment.csv",67
"CHN193907030",34,"$Mize lost pop in sun.","1939CHN.EVN.regular.comment.csv",68
"CHN193907042",61,"$King banged his head against the brick wall and had trouble finding the ball","1939CHN.EVN.regular.comment.csv",69
"CHN193907251",51,"$Russell's drive hit the short protective screen on the LF wall and bounced back into field. Ump Pinelli ruled HR which was ground rule when screen was recently erected.  Dodgers argued and Durocher played under protest.","1939CHN.EVN.regular.comment.csv",70
"CHN193907252",28,"$Durocher homers off same screen on LF wall.","1939CHN.EVN.regular.comment.csv",71
"CHN193907260",57,"$Dodgers left 3B unguarded.","1939CHN.EVN.regular.comment.csv",72
"CHN193907270",32,"$One paper claimed Leiber rounded 3B and stopped then proceeded when Walker bobbled ball but Russell got 2 RBIs.","1939CHN.EVN.regular.comment.csv",73
"CHN193907270",64,"$Hartnett failed to sacrifice then Gleeson stole 2B.","1939CHN.EVN.regular.comment.csv",74
"CHN193907300",0,"$250 citizens of Washington, IA in honor of town's centenial celebration.  All had grown beards and dressed in pioneer costumes.  After game they mobbed Judge Landis 4 autographs.","1939CHN.EVN.regular.comment.csv",75
"CHN193908030",38,"ej,lobeh101,C,campb901,Call at 1B $Philadelphia coach Lobert ejected by 1B umpire Campbell for arguing that Millies was safe at 1st on double play","1939CHN.EVN.regular.comment.csv",76
"CHN193908050",0,"$Galan was struck by thrown ball on side of his head during BP and spent game in clubhouse with ice packs.","1939CHN.EVN.regular.comment.csv",77
"CHN193908050",20,"$CS when on attempted to bunt Root missed pitchout.","1939CHN.EVN.regular.comment.csv",78
"CHN193908050",49,"UR 2-h","1939CHN.EVN.regular.comment.csv",79
"CHN193908050",60,"ej,hacks101,P,mageg901,Called third strike ej,hartg103,M,mageg901,Protesting Hack's ejection $As Hack went to dugout he was ejected by Magerkurth who swears Hack cursed him as a continuation of argument of third strike called in his last AB.  Hartnett rushed out to object.  Gabby finished and started to return to dugout, Gabby reversed his course and started in again including waving his hands in Magerkurth's face.  Hartnett was ejected by Magerkurth but argued for additional 95 seconds.","1939CHN.EVN.regular.comment.csv",80
"CHN193908081",25,"$Harry Craft and Lee Gamble collided; Craft left with an injured neck and a slight concussion","1939CHN.EVN.regular.comment.csv",81
"CHN193908082",22,"$Billy Werber muffed the throw in","1939CHN.EVN.regular.comment.csv",82
"CHN193908082",45,"rain started","1939CHN.EVN.regular.comment.csv",83
"CHN193908082",50,"7 minute rain delay","1939CHN.EVN.regular.comment.csv",84
"CHN193908092",22,"this scorer ST can be SB or WP or PB","1939CHN.EVN.regular.comment.csv",85
"CHN193909060",79,"pbp account ends here, rest deduced","1939CHN.EVN.regular.comment.csv",86
"CHN193909070",0,"$Hartnett caught his 1,727 game. Ray Schalk, former record holder, was on hand.","1939CHN.EVN.regular.comment.csv",87
"CHN193909070",44,"home sixth deduced","1939CHN.EVN.regular.comment.csv",88
"CHN193909070",69,"DWS: pbp ends here, rest deduced","1939CHN.EVN.regular.comment.csv",89
"CHN193909080",44,"$Martin was hurt by Bryant's hard slide on force","1939CHN.EVN.regular.comment.csv",90
"CHN193909080",54,"$Runner on 2nd in rundown, 3bman threw into right field and right fielder threw wildly to home","1939CHN.EVN.regular.comment.csv",91
"CHN193909090",50,"$Army of Cubs rushed umps to argue HR.  One army member was Cub trainer who was ordered off the field at once.","1939CHN.EVN.regular.comment.csv",92
"CHN193909090",53,"$Root was supposed to bunt but didn't creating double steal. Lombardi's throw to 3B struck Russell's face.  Game was delayed till Russell could continue. Hartnett asked McKechnie to allow a courtesy runner but was refused. After game Russell got 2 stitches above his L eye.","1939CHN.EVN.regular.comment.csv",93
"CHN193909120",16,"ej,lopea102,P,campb901,Balls and strikes $Lopez ejected for arguing balls and strikes","1939CHN.EVN.regular.comment.csv",94
"CHN193909152",22,"$Page left the game with a bad back","1939CHN.EVN.regular.comment.csv",95
"CHN193909160",82,"$Trying for force SS overthrew 2B. Russell was slow retrieving ball letting Shilling go to 3B so E3.","1939CHN.EVN.regular.comment.csv",96
"CHN193909171",0,"$Tribune reports a yellow ball was used for the first time in game one but normal baseballs were used in game 2.","1939CHN.EVN.regular.comment.csv",97
"CHN193909171",74,"bunt assumed","1939CHN.EVN.regular.comment.csv",98
