"CLE192604290",50,"$Rube Lutzke muffed the throw from Luke Sewell; Sewell muffed the throw from Charlie Jamieson","FILENAME_TX","LINE_NUMBER_CT"
"CLE192605040",11,"$rundown between 3B and HP and another between 2B and 3B but everone was safe","1926CLE.EVA.regular.comment.csv",2
"CLE192605230",41,"$Bill Hunnefield overslid 3B","1926CLE.EVA.regular.comment.csv",3
"CLE192605240",19,"$Charlie Jamieson dropped the fly after a long run and kicked the ball into CF","1926CLE.EVA.regular.comment.csv",4
"CLE192605240",25,"$Freddy Spurgeon called for interference for running into his own bunt","1926CLE.EVA.regular.comment.csv",5
"CLE192605260",50,"$Johnny Bassler injured sliding back to 1B on a pickoff attempt","1926CLE.EVA.regular.comment.csv",6
"CLE192605311",11,"$Rube Lutzke threw home but Luke Sewell missed the tag","1926CLE.EVA.regular.comment.csv",7
"CLE192605311",37,"$missed squeeze play","1926CLE.EVA.regular.comment.csv",8
"CLE192605312",100,"$Bill Barrett fumbled the ball allowing Joe Sewell to go to 3B; Barrett threw to Bill Hunnefield who fumbled the ball, allowing Sewell to score","1926CLE.EVA.regular.comment.csv",9
"CLE192606021",28,"$Bob Fothergill tripped while sliding into 2B and left with a leg injury","1926CLE.EVA.regular.comment.csv",10
"CLE192606022",81,"$George Uhle muffed Luke Sewell's throw after the wild pitch","1926CLE.EVA.regular.comment.csv",11
"CLE192606030",53,"dropped throw on steal attempt, no CS on error in 1926","1926CLE.EVA.regular.comment.csv",12
"CLE192606050",22,"$the ball bounced on the roof of the house across the street","1926CLE.EVA.regular.comment.csv",13
"CLE192606060",69,"$Joe Shaute came in to pitch and Ike Eichrodt to CF but the game was called because of rain and darkness","1926CLE.EVA.regular.comment.csv",14
"CLE192606070",68,"ej,collp101,P,hildg101,Called third strike Pat Collins ejected by HP umpire George Hildebrand","1926CLE.EVA.regular.comment.csv",15
"CLE192606080",14,"$Goose Goslin trapped between 3B and HP then Ossie Bluege was trapped and tagged between 2B and 3B","1926CLE.EVA.regular.comment.csv",16
"CLE192606080",74,"$2Bman Guy Lacy beat Buddy Myer to 1B","1926CLE.EVA.regular.comment.csv",17
"CLE192606090",31,"$Luke Sewll left with badly bruised hand","1926CLE.EVA.regular.comment.csv",18
"CLE192606170",24,"$Alex Gaston thought they had strike three to end the and rolled ball to mound","1926CLE.EVA.regular.comment.csv",19
"CLE192607040",62,"$the ball struck Umpire Brick Owens","1926CLE.EVA.regular.comment.csv",20
"CLE192607290",64,"ej,perkc101,P,hildg101,Fair/foul call Cy Perkins ejected by HP umpire George Hildebrand","1926CLE.EVA.regular.comment.csv",21
"CLE192607310",18,"$Ira Flagstead made a diving catch and broke his collarbone","1926CLE.EVA.regular.comment.csv",22
"CLE192608050",42,"$Hank Severeid missed a squeeze attempt; Luke Sewell tried to catch Tony Lazzeri and Joe Dugan advanced on the play","1926CLE.EVA.regular.comment.csv",23
"CLE192608060",75,"$Earle Combs tried to double Ray Knode at 1B and Luke Sewell went to 3B; Lou Gehrig attempted to prevent him from scoring but threw it away","1926CLE.EVA.regular.comment.csv",24
"CLE192608152",69,"game called due to agreed curfew so teams could catch train","1926CLE.EVA.regular.comment.csv",25
"CLE192608310",77,"ej,sislg101,M,rowlp801,Fair/foul call ej,willo101,C,rowlp801,Fair/foul call Browns Manager George Sisler and Coach Otto Williams ejected by HP umpire Pants Rowland","1926CLE.EVA.regular.comment.csv",26
"CLE192609052",42,"Game called for rain","1926CLE.EVA.regular.comment.csv",27
"CLE192609111",44,"$George Burns scored when 3B and HP were left unguarded","1926CLE.EVA.regular.comment.csv",28
"CLE192609112",15,"$Luke Sewell missed the pitch on bunt and run","1926CLE.EVA.regular.comment.csv",29
"CLE192609120",41,"20 minute rain delay","1926CLE.EVA.regular.comment.csv",30
"CLE192609150",0,"Start of game delayed by rain and second game of scheduled doubleheader not played","1926CLE.EVA.regular.comment.csv",31
"CLE192609170",22,"$Mark Koenig left with a lame back","1926CLE.EVA.regular.comment.csv",32
"CLE192609180",0,"$Overflow crowd on the field","1926CLE.EVA.regular.comment.csv",33
"CLE192609180",57,"missing fielders for SH in CLE192609180","1926CLE.EVA.regular.comment.csv",34
"CLE192609180",71,"missing play in CLE19269180","1926CLE.EVA.regular.comment.csv",35
