"CIN196104290",32,"missing play in CIN196104290","FILENAME_TX","LINE_NUMBER_CT"
"CIN196104290",34,"missing play in CIN196104290","1961CIN.EVN.regular.comment.csv",2
"CIN196104290",52,"missing play in CIN196104290","1961CIN.EVN.regular.comment.csv",3
"CIN196104302",51,"missing play in CIN196104302","1961CIN.EVN.regular.comment.csv",4
"CIN196105040",4,"$Tony Gonzalez removed by Phillies manager Gene Mauch for not running out groundball","1961CIN.EVN.regular.comment.csv",5
"CIN196105040",65,"ej,hutcf101,M,varge901,Objecting to warning given Reds pitcher $a Joey Jay pitch nearly hit Ruben Amaro on the head; Jay was warned by HP umpire Ed Vargo; Reds Manager Fred Hutchinson argued about the warning and was ejected by Vargo","1961CIN.EVN.regular.comment.csv",6
"CIN196105212",2,"One hour rain delay","1961CIN.EVN.regular.comment.csv",7
"CIN196105212",73,"$Frank Robinson was picked off 1B","1961CIN.EVN.regular.comment.csv",8
"CIN196105230",19,"$Maury Wills running on the pitch but turns back on the popup; Willie Davis passed Wills rounding 1B","1961CIN.EVN.regular.comment.csv",9
"CIN196106050",66,"Debut game for Chi-chi Olivo","1961CIN.EVN.regular.comment.csv",10
"CIN196106080",69,"$the first time a team hit four consecutive homers","1961CIN.EVN.regular.comment.csv",11
"CIN196106250",10,"ej,alstw101,M,burkk101,Balk call Dodgers Manager Walter Alston ejected by HP umpire Ken Burkhart","1961CIN.EVN.regular.comment.csv",12
"CIN196107040",17,"missing play in CIN196107040","1961CIN.EVN.regular.comment.csv",13
"CIN196107140",46,"$Bob Purkey struck on right leg by ball","1961CIN.EVN.regular.comment.csv",14
"CIN196107150",11,"49 minute rain delay","1961CIN.EVN.regular.comment.csv",15
"CIN196107170",74,"missing play in CIN196107170","1961CIN.EVN.regular.comment.csv",16
"CIN196107170",76,"missing play in CIN196107170","1961CIN.EVN.regular.comment.csv",17
"CIN196107190",19,"$Charlie Neal scored when Gordy Coleman threw to 2B after putout at 1B","1961CIN.EVN.regular.comment.csv",18
"CIN196107232",33,"Willie Mays left with tired legs","1961CIN.EVN.regular.comment.csv",19
"CIN196108022",1,"$Jerry Zimmerman dropped the third strike","1961CIN.EVN.regular.comment.csv",20
"CIN196108040",18,"$Bob Purkey out on appeal for missing 1B on an apparent double","1961CIN.EVN.regular.comment.csv",21
"CIN196108040",62,"$the ball caromed off the 3B bag into Gene Freese's glove","1961CIN.EVN.regular.comment.csv",22
"CIN196108062",37,"$Don Hoak was running on the pitch","1961CIN.EVN.regular.comment.csv",23
"CIN196108062",43,"ej,murtd101,M,sudoe901,Call at HP ej,oceaf801,C,sudoe901,Call at HP Pirates Manager Danny Murtaugh and Coach Frank Oceak ejected by HP umpire Ed Sudol","1961CIN.EVN.regular.comment.csv",24
"CIN196108260",79,"$the ball went into a slot in the scoreboard","1961CIN.EVN.regular.comment.csv",25
"CIN196109090",31,"$Johnny Edwards fouled a ball off himself","1961CIN.EVN.regular.comment.csv",26
"CIN196109130",0,"Debut for umpire Lee Weyer","1961CIN.EVN.regular.comment.csv",27
"CIN196109230",56,"$Ed Bailey thought the play at 2B was the third out and walked off the field; not a DP","1961CIN.EVN.regular.comment.csv",28
