"CHA191905130",1,"$Debut game for Charlie Robertson"FILENAME_TX","LINE_NUMBER_CT"

"CHA191905130",32,"$the ball got away and Austin interfered with Jackson"1919CHA.EVA.regular.comment.csv",2

"CHA191905130",55,"$Schalk's throw hit Gerber"1919CHA.EVA.regular.comment.csv",3

"CHA191905150",12,"$Bush complained of a sore arm"1919CHA.EVA.regular.comment.csv",4

"CHA191905150",19,"this play would not be a triple according to present rules"1919CHA.EVA.regular.comment.csv",5

"CHA191905150",37,"$Jackson seemed partially stunned by the impact with the wall but remained in the game"1919CHA.EVA.regular.comment.csv",6

"CHA191905150",71,"pbp account ends here, rest deduced"1919CHA.EVA.regular.comment.csv",7

"CHA191905150",101,"$rundown and runner on 2nd returned to the base as the batter arrived; batter out as base belonged to original runner"1919CHA.EVA.regular.comment.csv",8

"CHA191905160",70,"top 9 from box-plays not correct order but are correct assists/putouts"1919CHA.EVA.regular.comment.csv",9

"CHA191905170",9,"$the first for the Athletics in 29 innings"1919CHA.EVA.regular.comment.csv",10

"CHA191905200",54,"missing play in CHA191905200"1919CHA.EVA.regular.comment.csv",11

"CHA191905230",52,"ej,fewsc101,NYA,P,connt901,Balls and strikes $Fewster, coaching at 3B, ejected by plate umpire Connolly for arguing strike 3 to Ruel"1919CHA.EVA.regular.comment.csv",12

"CHA191905230",64,"$Risberg & Gandil nearly collided on the popup"1919CHA.EVA.regular.comment.csv",13

"CHA191905240",14,"$on the back"1919CHA.EVA.regular.comment.csv",14

"CHA191905240",24,"$Faber ran slowly to 1B and was out"1919CHA.EVA.regular.comment.csv",15

"CHA191905260",20,"$Risberg made a leaping catch"1919CHA.EVA.regular.comment.csv",16

"CHA191905301",0,"$Morning game of the double header"1919CHA.EVA.regular.comment.csv",17

"CHA191905301",11,"$Felsch had been hurt in an exhibition in Decatur the previous day but was told to play by Mgr Gleason"1919CHA.EVA.regular.comment.csv",18

"CHA191905310",33,"$Risberg was hit on the head and temporaily knocked out"1919CHA.EVA.regular.comment.csv",19

"CHA191905310",37,"$Risberg was forced to leave the game"1919CHA.EVA.regular.comment.csv",20

"CHA191905310",43,"$off Morton's ribs and then Johnston dropped the ball"1919CHA.EVA.regular.comment.csv",21

"CHA191905310",63,"$Speaker & Gandil fought at 1B when Gandil thought Speaker slid into the bag too violently; police went onto the field to stop the fight after Speaker knocked Gandil down; they were led off the field by the police; both players were ejected from the game"1919CHA.EVA.regular.comment.csv",22

"CHA191905310",63,"$fans in the LF bleachers threw pop bottles at Graney; time was called so the players could remove the bottles"1919CHA.EVA.regular.comment.csv",23

"CHA191906230",0,"$Major Alfred 'Fritz' Von Kolnitz, who played for the White Sox in 1916 and who attained higher rank in the army than any other former player, watched from a seat near the press"1919CHA.EVA.regular.comment.csv",24

"CHA191906230",23,"$Wamby dropped Smith's throw"1919CHA.EVA.regular.comment.csv",25

"CHA191907091",43,"$Schalk caught the ball with his bare hand"1919CHA.EVA.regular.comment.csv",26

"CHA191907100",19,"$high bounder"1919CHA.EVA.regular.comment.csv",27

"CHA191907160",9,"$Erickson dropped the ball but umpire Owens ruled that Weaver had knocked the ball out of Erickson's hands intentionally"1919CHA.EVA.regular.comment.csv",28

"CHA191907160",21,"$umpire Connolly ruled Judge out for interfering with Collins as he tried to field the ball; Mgr Griffith and coaches McBride & Altrock came out to argue"1919CHA.EVA.regular.comment.csv",29

"CHA191907160",50,"$Liebold lost the ball in the sun"1919CHA.EVA.regular.comment.csv",30

"CHA191907180",15,"$Judge went out to the stands and when Judge & Harper had backs turned to the plate Felsch tried to steal home"1919CHA.EVA.regular.comment.csv",31

"CHA191907180",16,"this is probably a continuation of the previous play"1919CHA.EVA.regular.comment.csv",32

"CHA191907180",37,"$Gharrity muffed the fly ball then kicked it to the fence"1919CHA.EVA.regular.comment.csv",33

"CHA191907180",53,"attempted squeeze"1919CHA.EVA.regular.comment.csv",34

"CHA191907211",68,"$Fewster lost the ball in the sun"1919CHA.EVA.regular.comment.csv",35

"CHA191907211",75,"$off Weaver's glove"1919CHA.EVA.regular.comment.csv",36

