"PIT194204170",42,"$Creepy Crespi called for interference for running into his own batted ball"FILENAME_TX","LINE_NUMBER_CT"

"PIT194204170",67,"$Enos Slaughter held to see if the ball would be caught"1942PIT.EVN.regular.comment.csv",2

"PIT194204180",27,"pbp account ends here, rest deduced"1942PIT.EVN.regular.comment.csv",3

"PIT194204230",66,"$the ball struck the 2B bag and caromed away"1942PIT.EVN.regular.comment.csv",4

"PIT194204240",63,"$Bill Baker was struck on the right hand by a foul ball"1942PIT.EVN.regular.comment.csv",5

"PIT194205010",45,"ej,wasdj101,P,goetl901,Called third strike Jimmy Wasdell ejected by HP umpire Larry Goetz"1942PIT.EVN.regular.comment.csv",6

"PIT194205010",75,"ej,lopea102,P,goetl901,Call at HP ej,frisf101,M,goetl901,Call at HP ej,flowj101,C,goetl901,Call at HP Al Lopez, Pirates Manager Frankie Frisch and Coach Jake Flowers ejected by HP umpire Larry Goetz"1942PIT.EVN.regular.comment.csv",7

"PIT194205032",73,"ej,klutc101,P,conlj102,Called strike $Kluttz ejected on strike 2, Masi completed strikeout charged to Kluttz"1942PIT.EVN.regular.comment.csv",8

"PIT194205032",77,"game called, curfew"1942PIT.EVN.regular.comment.csv",9

"PIT194205072",60,"PBP account ends here, rest deduced"1942PIT.EVN.regular.comment.csv",10

"PIT194206072",70,"$Game called for Sunday 7 PM curfew"1942PIT.EVN.regular.comment.csv",11

"PIT194206141",42,"$Hank Leiber called for interference for running into his own batted ball"1942PIT.EVN.regular.comment.csv",12

"PIT194206142",80,"$Game called for curfew"1942PIT.EVN.regular.comment.csv",13

"PIT194207051",48,"$Paul Derringer struck on left knee cap by line drive"1942PIT.EVN.regular.comment.csv",14

"PIT194207121",0,"Protest=H $Pirates manager Frankie Frisch protested the game because the Dodgers had an extra man on the bench, Max Macon, who was under a Montreal contract; Dodger manager Leo Durocher explained the next day that he had received permission from HP umpire Babe Pinelli for Macon to be on the bench during the game; the protest was disallowed by NL President Frick on July 24, but Frick did issue a ruling that no unsigned players are to be in the dugout, which led the Dodgers to sign Stuart Hofferth, their bullpen catcher, to a contract as a coach"1942PIT.EVN.regular.comment.csv",15

"PIT194207150",14,"ej,wasdj101,P,searz901,Called third strike $Wasdell was ejected by HP umpire Sears for arguing called third strike"1942PIT.EVN.regular.comment.csv",16

"PIT194207150",16,"$Rikard injured leg sliding on DP that ended inning."1942PIT.EVN.regular.comment.csv",17

"PIT194207170",55,"pbp account ends here, rest deduced"1942PIT.EVN.regular.comment.csv",18

"PIT194207170",61,"$Major League debut for Huck Geary"1942PIT.EVN.regular.comment.csv",19

"PIT194207200",46,"ej,frisf101,M,mageg901,Call at 2B Pirates Manager Frankie Frisch ejected by 1B umpire George Magerkurth"1942PIT.EVN.regular.comment.csv",20

"PIT194208080",132,"game called, darkness"1942PIT.EVN.regular.comment.csv",21

"PIT194208302",76,"$game called for curfew"1942PIT.EVN.regular.comment.csv",22

"PIT194208310",50,"$Vince DiMaggio turned to the Dodgers bench and yelled at manager Leo Durocher; as DiMaggio turned to his bench, Durocher ran onto the field; HP umpire Bill Stewart got between the two as both benches cleared"1942PIT.EVN.regular.comment.csv",23

"PIT194208310",66,"ej,dimav101,P,dunnt901,Call at 1B Vince DiMaggio ejected by 1B umpire Tom Dunn"1942PIT.EVN.regular.comment.csv",24

"PIT194208310",96,"$the Dodgers argued that the ball struck Augie Galan"1942PIT.EVN.regular.comment.csv",25

"PIT194209010",40,"ej,wasdj101,P,dunnt901,Balls and strikes Jimmy Wasdell ejected by HP umpire Tom Dunn"1942PIT.EVN.regular.comment.csv",26

"PIT194209062",45,"$Elliott spiked"1942PIT.EVN.regular.comment.csv",27

"PIT194209072",60,"$DiMaggio left with a sore leg"1942PIT.EVN.regular.comment.csv",28

"PIT194209072",81,"$Game called for darkness"1942PIT.EVN.regular.comment.csv",29

"PIT194209190",53,"Phillips not credited with SH in official record"1942PIT.EVN.regular.comment.csv",30

"PIT194209202",66,"$game called due to Sunday curfew; the tie to be played off on 9/26 in Cincinnati"1942PIT.EVN.regular.comment.csv",31

