"WS1193104140",51,"$into the overflow crowd","FILENAME_TX","LINE_NUMBER_CT"
"WS1193104200",61,"This was Cliff Bolton's major-league debut","1931WS1.EVA.regular.comment.csv",2
"WS1193104260",0,"$15 minute rain delay before start of game; Game started despite high winds","1931WS1.EVA.regular.comment.csv",3
"WS1193104260",4,"$Lou Gehrig out for passing Lyn Lary, who thought the ball was caught and went to the dugout after reaching 3B; this was a home run and Gehrig ended the season tied with Babe Ruth for the home run lead","1931WS1.EVA.regular.comment.csv",4
"WS1193104260",21,"$Dusty Cooke injured his shoulder diving for ball when his spikes caught","1931WS1.EVA.regular.comment.csv",5
"WS1193104260",61,"Bottom of 7th to end reconstructed from NYT and Post stories","1931WS1.EVA.regular.comment.csv",6
"WS1193104260",72,"$Carl Fischer threw to 1B late; the Yankees had 2 runners on 3B; Joe Judge ran to 3B and tagged both runners; 3B umpire Tommy Connolly called out Ben Chapman; Connolly reversed himself after Chapman was in the dugout; Connolly recalled Chapman and ruled Sammy Byrd out","1931WS1.EVA.regular.comment.csv",7
"WS1193104260",83,"$Roy Spencer and Joe Judge collided","1931WS1.EVA.regular.comment.csv",8
"WS1193104260",84,"ej,spenr101,P,connt901,Balls and strikes $Roy Spencer ejected by 3B umpire Tommy Connolly when Spencer ran to the dugout thinking Ben Chapman had struck out","1931WS1.EVA.regular.comment.csv",9
"WS1193104280",59,"ej,reesj101,P,mcgob901,Called strike 3 $Reese ejected by HP umpire McGowan for arguing called strike 3","1931WS1.EVA.regular.comment.csv",10
"WS1193104280",87,"$Squeeze play","1931WS1.EVA.regular.comment.csv",11
"WS1193104280",128,"$Game called for darkness","1931WS1.EVA.regular.comment.csv",12
"WS1193105310",64,"game called due to rain","1931WS1.EVA.regular.comment.csv",13
"WS1193106050",64,"$Throw to 2nd was late but runner out trying to score from 2nd","1931WS1.EVA.regular.comment.csv",14
"WS1193106070",43,"ej,bluel101,P,ormsr901,Called third strike (Flipped bat) $Blue ejected by HP umpire Ormsby for arguing called strike 3, flipped bat in air","1931WS1.EVA.regular.comment.csv",15
"WS1193106110",20,"$Mel Harder was picked off 1B","1931WS1.EVA.regular.comment.csv",16
"WS1193106140",60,"$Wild throw to 1st trying for double play","1931WS1.EVA.regular.comment.csv",17
"WS1193106170",69,"$Rick Ferrell rounded 3B too far","1931WS1.EVA.regular.comment.csv",18
"WS1193107060",62,"Game called for rain with 0-1 count on Sam West","1931WS1.EVA.regular.comment.csv",19
"WS1193107070",54,"$the throw struck Max Bishop on the shoulder","1931WS1.EVA.regular.comment.csv",20
"WS1193107120",65,"Reconstructed top of 8th to end from newspaper stories","1931WS1.EVA.regular.comment.csv",21
"WS1193107160",30,"brief rain delay","1931WS1.EVA.regular.comment.csv",22
"WS1193107160",55,"one hour rain delay","1931WS1.EVA.regular.comment.csv",23
"WS1193107180",66,"$Jones left due to the excessively hot day","1931WS1.EVA.regular.comment.csv",24
"WS1193107210",37,"$Bluege was crossing plate as fly was caught","1931WS1.EVA.regular.comment.csv",25
"WS1193107250",21,"$Buddy Myer overslid 2B","1931WS1.EVA.regular.comment.csv",26
"WS1193108080",21,"left fielder lost flyball in sun","1931WS1.EVA.regular.comment.csv",27
"WS1193109040",66,"Reconstructed top of 8th to end of game","1931WS1.EVA.regular.comment.csv",28
"WS1193109060",52,"eight minute rain delay","1931WS1.EVA.regular.comment.csv",29
"WS1193109060",54,"Reconstructed top of 7th to end of game","1931WS1.EVA.regular.comment.csv",30
"WS1193109120",50,"$Bump Hadley left with a sore arm.","1931WS1.EVA.regular.comment.csv",31
"WS1193109130",57,"$the ball struck 1B umpire Bick Campbell near 2B","1931WS1.EVA.regular.comment.csv",32
"WS1193109202",70,"$Game called for darkness","1931WS1.EVA.regular.comment.csv",33
"WS1193109210",53,"ej,bushd102,M,ormsr901,Balls and strikes White Sox manager Donie Bush ejected by HP umpire Red Ormsby","1931WS1.EVA.regular.comment.csv",34
