"LAN200810120",8,"$the latest in a series of inside pitches; Brett Myers had thrown behind Manny Ramirez in game two; this was a curve ball that got away from Jamie Moyer"FILENAME_TX","LINE_NUMBER_CT"

"LAN200810120",22,"$the first pitch to Russell Martin was a fast ball under his chin"2008NLCS.EVE.post.comment.csv",2

"LAN200810120",24,"$the first pitch to Shane Victorino was over his head; he yelled at Hiroki Kuroda, pointing at his ribs and his head; evidently, he was saying throw at my ribs, not at my head; catcher Russell Martin (who had been hit on the knee earlier) and HP umpire Mike Everitt both got out in front of the plate to prevent a problem"2008NLCS.EVE.post.comment.csv",3

"LAN200810120",25,"$Hiroki Kuroda ran to 1B on the play; after the putout, Shane Victorino said something to Kuroda; 1B umpire Ted Barrett ran between them and other players converged on the scene; both benches emptied; Manny Ramirez was restrained by teammates and LF umpire Mike Reilly; meanwhile, the song 'Why Can't We Be Friends?' played on the PA system; both sides warned"2008NLCS.EVE.post.comment.csv",4

"LAN200810120",59,"$despite previous warning, Chad Durbin not ejected as pitch that hit Russell Martin was slow curve ball which hit his back"2008NLCS.EVE.post.comment.csv",5

"LAN200810150",39,"$the ball kicked off Rafael Furcal's glove and then he kicked it into short LF; his throw sailed wide past HP"2008NLCS.EVE.post.comment.csv",6

"LAN200810150",42,"$Rafael Furcal is the second player to make three errors in one post-season inning, the other being center fielder Willie Davis of the 1966 Dodgers"2008NLCS.EVE.post.comment.csv",7

