"SLA193804230",52,"$Don Heffner intentionally let popup drop","FILENAME_TX","LINE_NUMBER_CT"
"SLA193804260",39,"ej,hildo101,P,grieb901,Balls and strikes $Oral Hildebrand ejected by HP umpire Bill Grieve","1938SLA.EVA.regular.comment.csv",2
"SLA193804280",38,"ej,allej102,P,mcgob901,Balls and strikes Johnny Allen ejected by HP umpire Bill McGowan","1938SLA.EVA.regular.comment.csv",3
"SLA193804290",37,"$Lary's line drive hit Van Atta in his pitching forearm","1938SLA.EVA.regular.comment.csv",4
"SLA193805180",7,"$Dickey strained back on K","1938SLA.EVA.regular.comment.csv",5
"SLA193805210",14,"$Bobby Doerr stopped on his way to 2B on an attempted double steal but Billy Sullivan threw wildly to 2B","1938SLA.EVA.regular.comment.csv",6
"SLA193805210",22,"$Bobby Doerr left with an upset stomach","1938SLA.EVA.regular.comment.csv",7
"SLA193805210",32,"$onto pavillion roof","1938SLA.EVA.regular.comment.csv",8
"SLA193805220",21,"$Per the St. Louis Post-Dispatch, Jack Knott batted left-handed for the first time in his career in both at bats in this game.","1938SLA.EVA.regular.comment.csv",9
"SLA193805220",68,"$Cole was injured covering 1B on Siebert's grounder","1938SLA.EVA.regular.comment.csv",10
"SLA193805240",27,"pbp account ends here, rest deduced","1938SLA.EVA.regular.comment.csv",11
"SLA193805240",50,"$Throw hit runner in back","1938SLA.EVA.regular.comment.csv",12
"SLA193805260",19,"$Myer stole while pitcher held ball on mound","1938SLA.EVA.regular.comment.csv",13
"SLA193805260",73,"Kohlman entered with 3-1 count on Heffner","1938SLA.EVA.regular.comment.csv",14
"SLA193805290",3,"$Rollie Hemsley's right hand was injured on the first pitch","1938SLA.EVA.regular.comment.csv",15
"SLA193806140",0,"$Start of game was delayed by 10 minutes because the Browns' train didn't arrive in St. Louis until almost 3:00.","1938SLA.EVA.regular.comment.csv",16
"SLA193806140",49,"$Doerr hurt his leg sliding into third base","1938SLA.EVA.regular.comment.csv",17
"SLA193806150",36,"ej,newsb101,P,basis901,Balls and strikes ej,streg101,M,basis901,Balls and strikes Bobo Newsom and Browns Manager Gabby Street ejected by HP umpire Steve Basil","1938SLA.EVA.regular.comment.csv",18
"SLA193806150",46,"ej,hildo101,P,basis901,Balls and strikes Oral Hildebrand ejected by HP umpire Steve Basil","1938SLA.EVA.regular.comment.csv",19
"SLA193806160",59,"$high bounder off HP","1938SLA.EVA.regular.comment.csv",20
"SLA193806192",89,"$game called for darkness","1938SLA.EVA.regular.comment.csv",21
"SLA193806250",41,"$McQuinn hit above right knee and is carried off the field","1938SLA.EVA.regular.comment.csv",22
"SLA193806250",56,"End of play-by-play; rest deduced from newspapers","1938SLA.EVA.regular.comment.csv",23
"SLA193806280",86,"$These steals were definitely separate, no triple steal","1938SLA.EVA.regular.comment.csv",24
"SLA193806300",4,"$rounded base too far","1938SLA.EVA.regular.comment.csv",25
"SLA193807262",84,"$game called for darkness","1938SLA.EVA.regular.comment.csv",26
"SLA193807270",41,"$the throw hit Joe Vance","1938SLA.EVA.regular.comment.csv",27
"SLA193807300",65,"$Higgins hurt leg sliding in 4th inning, left game now","1938SLA.EVA.regular.comment.csv",28
"SLA193807300",73,"$Chapman suffered charley horse in top of inning","1938SLA.EVA.regular.comment.csv",29
"SLA193808040",51,"$Clift aggravated foot injury in previous inning","1938SLA.EVA.regular.comment.csv",30
"SLA193808050",67,"$Almada left with a 'stone bruise'","1938SLA.EVA.regular.comment.csv",31
"SLA193808072",61,"$ss dropped liner, tagged runner, then 2b","1938SLA.EVA.regular.comment.csv",32
"SLA193808100",0,"ej,hildo101,P,rue-j901,Balls and strikes Oral Hildebrand ejected by HP umpire Joe Rue sometime in game","1938SLA.EVA.regular.comment.csv",33
"SLA193808100",74,"$Skeeter Webb injured his left leg sliding back to 2B; he was carried off the field","1938SLA.EVA.regular.comment.csv",34
"SLA193808130",10,"$Mills had gone to 3rd without tagging up and would have been out trying to return, but Gill messed up throw from the outfield, allowing Mills to return safely","1938SLA.EVA.regular.comment.csv",35
"SLA193809030",61,"$Odell Hale rounded 2B too far","1938SLA.EVA.regular.comment.csv",36
"SLA193809041",25,"$Lyn Lary intentionally dropped the ball","1938SLA.EVA.regular.comment.csv",37
"SLA193809042",63,"$game called for darkness","1938SLA.EVA.regular.comment.csv",38
"SLA193809052",56,"$Auker left the game on a stretcher after being hit in the leg by Bell's line drive.","1938SLA.EVA.regular.comment.csv",39
"SLA193809052",58,"$Game called after six innings due to darkness","1938SLA.EVA.regular.comment.csv",40
"SLA193809140",51,"rain started","1938SLA.EVA.regular.comment.csv",41
"SLA193809150",41,"Reconstructed from here to end of game","1938SLA.EVA.regular.comment.csv",42
"SLA193809171",14,"$Mickey Livingston's major-league debut","1938SLA.EVA.regular.comment.csv",43
"SLA193809172",67,"$Game called due to darkness","1938SLA.EVA.regular.comment.csv",44
"SLA193809202",72,"$Game called for darkness","1938SLA.EVA.regular.comment.csv",45
"SLA193809210",22,"$onto pavillion roof","1938SLA.EVA.regular.comment.csv",46
"SLA193809210",42,"$onto pavillion roof","1938SLA.EVA.regular.comment.csv",47
"SLA193809242",19,"real hard to read Cole play-could be something else","1938SLA.EVA.regular.comment.csv",48
"SLA193809242",52,"s/s worthless on outs on bases except for FC or FO","1938SLA.EVA.regular.comment.csv",49
