"BSN193805170",6,"$L. Waner's throw to third struck Fletcher and rolled into  the Pirates' dugout."FILENAME_TX","LINE_NUMBER_CT"

"BSN193805180",45,"ej,trayp101,M,balll901,Call at 1B $Pirate manager Pie Traynor ejected by 1b umpire Ballanfant for arguing call at first"1938BSN.EVN.regular.comment.csv",2

"BSN193805190",14,"$Moore left the game with a severe headache."1938BSN.EVN.regular.comment.csv",3

"BSN193805190",60,"$P Swift let Fletcher's pop bunt drop and got DP"1938BSN.EVN.regular.comment.csv",4

"BSN193805230",1,"$Lopez fractured his thumb on a 2-2 foul by Herman"1938BSN.EVN.regular.comment.csv",5

"BSN193805280",0,"$Ladies Day total attendance 13886"1938BSN.EVN.regular.comment.csv",6

"BSN193805280",50,"$West crashed into LF wall knocking himself out. Coscarart circled bases and was on the bench before Magerkurth reached the unconscious West, discovered the ball firmly in West's glove, and called Coscarart out."1938BSN.EVN.regular.comment.csv",7

"BSN193806140",66,"$Jurges cut off the throw from Marty and threw to first trying to trap Cuccinello.  DiMaggio tried to score when Jurges' throw got away from Cavarretta but was out at the  plate."1938BSN.EVN.regular.comment.csv",8

"BSN193806190",23,"rain started falling"1938BSN.EVN.regular.comment.csv",9

"BSN193806190",33,"$the first hit off Johnny Vander Meer in 21 innings"1938BSN.EVN.regular.comment.csv",10

"BSN193806230",67,"$DiMaggio threw the ball to an uncovered first base."1938BSN.EVN.regular.comment.csv",11

"BSN193807011",57,"$Debut game for Joe Walsh."1938BSN.EVN.regular.comment.csv",12

"BSN193807032",45,"$Leiber aggravated charley horse in top of inning"1938BSN.EVN.regular.comment.csv",13

"BSN193807260",56,"$Debs Garms out on appeal for missing 1B on an apparent double when the ball fell in between fielders in short left-center"1938BSN.EVN.regular.comment.csv",14

"BSN193808020",20,"$DiMaggio grounded to third.  Lopez was trapped in a rundown but got back to third only to find Warstler occupying the base.  Warstler then retreated toward second and was tagged out."1938BSN.EVN.regular.comment.csv",15

"BSN193808031",28,"$Handley's throw to first went into the grandstand."1938BSN.EVN.regular.comment.csv",16

"BSN193808031",41,"$Debut game for Tom Kane."1938BSN.EVN.regular.comment.csv",17

"BSN193808090",3,"$Ripple hit on left knee and was down for sevral minutes"1938BSN.EVN.regular.comment.csv",18

"BSN193808090",55,"$McCarthy hit on back."1938BSN.EVN.regular.comment.csv",19

"BSN193808120",7,"Camilli argued strike call with Reardon. Ruth yelled shut up or you'll be ejected. Ruth's only NL ejection was by Reardon 8/7/38. Camilli took Ruth's advice."1938BSN.EVN.regular.comment.csv",20

"BSN193808132",0,"Protest=V $Total attendance over 16,000."1938BSN.EVN.regular.comment.csv",21

"BSN193808132",36,"$LaMaster hit a 'lazy looper' to Stripp who intentionally muffed it. Stripp stepped on 3B then apparently threw to Mueller who tagged home as all runners held their bases while the batter ran to 1B.  Apparently Mueller threw to Fletcher who tagged 1B and threw to Cuccinello who tagged 2B.  Stripp tagging 3B removed the force on Cuyler at home and LaMaster had reached 1B before the ball did so only Durocher and Campbell were called out. Grimes played rest of game under protest that umps didn't rule infield fly."1938BSN.EVN.regular.comment.csv",22

"BSN193809030",28,"$Mueller removed for 'lackadaisical defensive play'"1938BSN.EVN.regular.comment.csv",23

"BSN193809130",18,"$Collins let Turner pop drop then froze and almost got no one. Cubs argued Collins didn't properly let ball drop so pop DP. Tribune story says only Magerkurth agreed so only 1 out."1938BSN.EVN.regular.comment.csv",24

"BSN193809210",59,"$Stu Martin beat Turner's throw to third."1938BSN.EVN.regular.comment.csv",25

"BSN193809210",71,"Dean bunted and popped the ball toward Fletcher who trapped the ball.  Fletcher threw out Dean and Cuccinello threw out Dean at second base."1938BSN.EVN.regular.comment.csv",26

"BSN193809210",77,"$Second game of DH was called in the 3rd inning with the score 0-0 due to rain and high winds as the giant hurricane of '38 moved into Boston."1938BSN.EVN.regular.comment.csv",27

"BSN193809221",32,"$Cuccinello's high pop in front of the plate fell for a hit."1938BSN.EVN.regular.comment.csv",28

"BSN193809222",20,"pbp account ends here, rest deduced"1938BSN.EVN.regular.comment.csv",29

"BSN193809251",87,"$Seeds lost ball in the sun allowing winning run to score."1938BSN.EVN.regular.comment.csv",30

"BSN193809271",78,"circumstances."1938BSN.EVN.regular.comment.csv",31

