"KC1195704300",23,"end of pbp - no more fielding plays","FILENAME_TX","LINE_NUMBER_CT"
"BOS195706210",48,"$Willard Nixon pulled tendon in left knee warming up","1957.EDA.regular.comment.csv",2
"BOS195707230",61,"Virgil Trucks pulled a leg muscle","1957.EDA.regular.comment.csv",3
"BOS195707230",66,"Sullivan with 9 K but only 8 in KC batting daily","1957.EDA.regular.comment.csv",4
"BOS195707250",62,"subsequent fielding plays are conjectural","1957.EDA.regular.comment.csv",5
"KC1195708250",0,"KC batting almost all conjectural","1957.EDA.regular.comment.csv",6
"KC1195708260",0,"very  tough game to deduce. Clear that Boston turned 4 DP, 3 of which look suspiciously like GDP according to fielders in the paper and in total, but in official totals there is only one GDP; Timing of many plays unsure","1957.EDA.regular.comment.csv",7
"KC1195708260",31,"$Billy Hunter dropped the pop up; Willard Nixon was jogging around 3B and tried to score when ball dropped","1957.EDA.regular.comment.csv",8
"KC1195708260",64,"arbitrary DP; not in official stats","1957.EDA.regular.comment.csv",9
"KC1195708260",68,"need the out, no DP","1957.EDA.regular.comment.csv",10
"KC1195708260",80,"arbitrary GDP; not in official stats","1957.EDA.regular.comment.csv",11
