"MLN195904140",75,"Debut game for Joe Morgan","FILENAME_TX","LINE_NUMBER_CT"
"MLN195904160",35,"$Frank Torre stood at 2B after the catch and made no attempt to go to 3B; Richie Ashburn threw to 3B and the throw surprised Willie Jones; the ball went into the Phillies dugout","1959MLN.EVN.regular.comment.csv",2
"MLN195904160",46,"$Bill Bruton pulled muscle in right thigh on catch in 5th","1959MLN.EVN.regular.comment.csv",3
"MLN195904160",61,"$Jack Meyer was attempting to intentionally walk Wes Covington but Covington reached out and hit the ball weakly to Meyer","1959MLN.EVN.regular.comment.csv",4
"MLN195904170",15,"Debut game for Chuck Cottier","1959MLN.EVN.regular.comment.csv",5
"MLN195904170",41,"$Heavy rain shower hits in the 6th and 7th innings","1959MLN.EVN.regular.comment.csv",6
"MLN195904170",75,"$1 hour rain delay at 4:03 with 0-2 count on Roberto Clemente; game called to be made up in entirety","1959MLN.EVN.regular.comment.csv",7
"MLN195904180",15,"Bob Skinner left with injuries sustained in first inning","1959MLN.EVN.regular.comment.csv",8
"MLN195904180",71,"Debut game for Bob Giggie","1959MLN.EVN.regular.comment.csv",9
"MLN195904210",25,"Bill Bruton left with leg injury suffered on 04/17","1959MLN.EVN.regular.comment.csv",10
"MLN195904210",39,"$Vada Pinson rounded 1B too far","1959MLN.EVN.regular.comment.csv",11
"MLN195904300",38,"$missed bunt attempt","1959MLN.EVN.regular.comment.csv",12
"MLN195905050",39,"$Frank Torre and Johnny O'Brien collided; Torre injured","1959MLN.EVN.regular.comment.csv",13
"MLN195905101",80,"$54 minute eighth inning","1959MLN.EVN.regular.comment.csv",14
"MLN195905260",64,"Debut game for Joe Christopher","1959MLN.EVN.regular.comment.csv",15
"MLN195905260",84,"$the first base runner for the Braves after 12 perfect innings by Harvey Haddix","1959MLN.EVN.regular.comment.csv",16
"MLN195905260",87,"$Joe Adcock hit the ball into the right center stands for a homerun, but was declared out for passing Henry Aaron between 2B and 3B; Aaron thought the ball had landed inside the fence; 1B Umpire Frank Dascoli ruled the final score was 2 to 0 but was overruled by NL President Warren Giles who said that since it was only a double, then only one run was needed to win the game","1959MLN.EVN.regular.comment.csv",17
"MLN195905290",82,"$Gene Conley was attempting to walk Joe Adcock intentionally but Adcock reached across HP and hit a grounder to 2B on the first pitch; Sparky Anderson was playing behind Conley to prevent a return throw from the catcher getting past Conley; Anderson had to move over to field the ball and his throw to HP was too late to get Henry Aaron","1959MLN.EVN.regular.comment.csv",18
"MLN195905300",12,"Rain began to fall","1959MLN.EVN.regular.comment.csv",19
"MLN195905300",29,"$the ball dropped out of Henry Aaron's hand as he was about to throw to 3B","1959MLN.EVN.regular.comment.csv",20
"MLN195905300",49,"425 feet","1959MLN.EVN.regular.comment.csv",21
"MLN195906010",39,"Henry Aaron left with a backache","1959MLN.EVN.regular.comment.csv",22
"MLN195906010",63,"$missed squeeze play","1959MLN.EVN.regular.comment.csv",23
"MLN195906010",72,"$Del Rice suffered a fractured left leg on play at HP and carried off on a stretcher; Willie Mays suffered slightly bruised shins","1959MLN.EVN.regular.comment.csv",24
"MLN195906030",19,"$Johnny Logan pulled a hamstring muscle beating out the hit","1959MLN.EVN.regular.comment.csv",25
"MLN195906060",19,"Debut game for Maury Wills","1959MLN.EVN.regular.comment.csv",26
"MLN195906240",0,"58 minute rain delay before start of game","1959MLN.EVN.regular.comment.csv",27
"MLN195906240",62,"Game called due to rain","1959MLN.EVN.regular.comment.csv",28
"MLN195906280",18,"$Johnny Logan spiked on right leg by Dave Hillman; 20 stitches required to close the wound","1959MLN.EVN.regular.comment.csv",29
"MLN195906280",43,"ej,norei101,P,dixoh901,Balls and strikes Irv Noren ejected by HP umpire Hal Dixon","1959MLN.EVN.regular.comment.csv",30
"MLN195906280",45,"ej,neemc101,P,dixoh901,Balls and strikes Cal Neeman ejected by HP umpire Hal Dixon","1959MLN.EVN.regular.comment.csv",31
"MLN195907220",71,"$Failed squeeze play","1959MLN.EVN.regular.comment.csv",32
"MLN195907262",55,"box score says foul out, so this play may be incorrect","1959MLN.EVN.regular.comment.csv",33
"MLN195907300",47,"$Al Dark run down after run scored","1959MLN.EVN.regular.comment.csv",34
"MLN195908171",35,"$Johnny Klippstein struck leg by line drive which caromed to 1B","1959MLN.EVN.regular.comment.csv",35
"MLN195908172",6,"$Stan Williams struck on torso by line drive which deflected to 3B","1959MLN.EVN.regular.comment.csv",36
"MLN195908180",34,"Juan Pizarro hurt knee","1959MLN.EVN.regular.comment.csv",37
"MLN195908180",85,"$this fly ball should have ended the game; there was no one at the plate to receive Demeter's 'perfect strike' throw as Bruton scored because John Roseboro ran to the mound to congratulate Don Drysdale on apparent win","1959MLN.EVN.regular.comment.csv",38
"MLN195908200",0,"Protest=V","1959MLN.EVN.regular.comment.csv",39
"MLN195908200",0,"$lineup card had Joe Adcock at 1B; Giants manager Bill Rigney protested game when Frank Torre took field","1959MLN.EVN.regular.comment.csv",40
"MLN195908222",0,"DIFF: official sheets say Noren in RF","1959MLN.EVN.regular.comment.csv",41
"MLN195908230",33,"1:46 rain delay","1959MLN.EVN.regular.comment.csv",42
"MLN195909100",61,"Debut game for Duke Carmel","1959MLN.EVN.regular.comment.csv",43
"MLN195909100",81,"Debut game for Tim McCarver","1959MLN.EVN.regular.comment.csv",44
"MLN195909130",23,"$missed second on DP try, still got batter","1959MLN.EVN.regular.comment.csv",45
"MLN195909250",22,"$Felix Mantilla struck on the lip; six stitches","1959MLN.EVN.regular.comment.csv",46
"MLN195909250",45,"$the last 4-1/2 innings were played in a steady drizzle which by game's end made footing in the infield treacherous","1959MLN.EVN.regular.comment.csv",47
"MLN195909280",0,"47 minute rain delay before start of game","1959MLN.EVN.regular.comment.csv",48
