"SLN192704260",45,"$Roy Spencer rounded 1B too far"FILENAME_TX","LINE_NUMBER_CT"

"SLN192704260",80,"$the throw hit Specs Toporcer on the back"1927SLN.EVN.regular.comment.csv",2

"SLN192705010",20,"Home run hit the roof"1927SLN.EVN.regular.comment.csv",3

"SLN192705010",72,"The runner on 1st steals 2nd, the C's throw is too late The runner on 3rd breaks for home, 2B throw home But C drops ball for an error and runner scores The runner on 2nd breaks for 3rd and is out C to 3B"1927SLN.EVN.regular.comment.csv",4

"SLN192706060",21,"$Gus Felix and Max Carey collided and Jake Flowers retrieved the ball; Carey left injured"1927SLN.EVN.regular.comment.csv",5

"SLN192706070",69,"$onto the roof of RF pavilion"1927SLN.EVN.regular.comment.csv",6

"SLN192706080",13,"$the play at 2B was close, and while the Cardinals protested the decision, Shanty Hogan stole the unprotected 3B"1927SLN.EVN.regular.comment.csv",7

"SLN192706080",34,"$off the roof in RCF"1927SLN.EVN.regular.comment.csv",8

"SLN192706080",61,"$lodged in the screen on RF pavilion wall"1927SLN.EVN.regular.comment.csv",9

"SLN192706100",23,"$when Dave Bancroft muffed Jimmy Welsh's throw-in, Frankie Frisch tried to score"1927SLN.EVN.regular.comment.csv",10

"SLN192706120",59,"$Cards shift with three IF on right side against Williams"1927SLN.EVN.regular.comment.csv",11

"SLN192706140",9,"$Bubber Jonnard chased Jim Bottomley back to 3B which was occupied by Wattie Holm"1927SLN.EVN.regular.comment.csv",12

"SLN192706160",23,"$onto the roof of the RCF pavilion"1927SLN.EVN.regular.comment.csv",13

"SLN192706160",87,"$Virgil Barnes injured his arm pitching to Jim Bottomley and was replaced after the first pitch to Wattie Holm"1927SLN.EVN.regular.comment.csv",14

"SLN192706180",67,"$ground-rule triple behind the screen on the RF pavilion wall"1927SLN.EVN.regular.comment.csv",15

"SLN192706211",101,"$over the roof of the RF pavilion"1927SLN.EVN.regular.comment.csv",16

"SLN192706211",106,"$over the roof of the RF pavilion"1927SLN.EVN.regular.comment.csv",17

"SLN192706212",7,"ej,wilsh102,P,quige901,Called third strike ej,mccaj802,M,quige901,Called third strike $Wilson and Cubs manager McCarthy ejected by HP umpire Quigley for arguing called third strike"1927SLN.EVN.regular.comment.csv",18

"SLN192706212",34,"$Thevenow broke his ankle sliding into second base. The force of Thevenow's slide into 2B pulled him off the bag, allowing him to be doubled up on what should have been a successful sacrifice by Rhem"1927SLN.EVN.regular.comment.csv",19

"SLN192706251",54,"$the play at 3B was close and Val Picinich went in spikes first; Les Bell challenged him to a fight but other players interfered"1927SLN.EVN.regular.comment.csv",20

"SLN192706251",55,"$Johnny Schulte slapped the ball on Val Picinich's face and stepped on him; Picinich had injured Rogers Hornsby last year on a simple force play at 2B which injured Hornsby's spine"1927SLN.EVN.regular.comment.csv",21

"SLN192706252",50,"$overthrow at 1B"1927SLN.EVN.regular.comment.csv",22

"SLN192706252",75,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",23

"SLN192706260",44,"$George Grantham called for interference for running into his own batted ball"1927SLN.EVN.regular.comment.csv",24

"SLN192706270",4,"$bounce home run"1927SLN.EVN.regular.comment.csv",25

"SLN192706280",49,"$the throw hit Clyde Barnhart and went into the Cardinals dugout"1927SLN.EVN.regular.comment.csv",26

"SLN192706280",65,"$Glenn Wright struck on the head just above the ear"1927SLN.EVN.regular.comment.csv",27

"SLN192706280",66,"$over RF pavilion into Grand Avenue"1927SLN.EVN.regular.comment.csv",28

"SLN192707280",72,"$Les Bell waited to see if the ball would be caught"1927SLN.EVN.regular.comment.csv",29

"SLN192707300",84,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",30

"SLN192707310",4,"Runner held at third base on infield ground out."1927SLN.EVN.regular.comment.csv",31

"SLN192707310",36,"Attempted sacrifice."1927SLN.EVN.regular.comment.csv",32

"SLN192707310",66,"Harper's long grand slam landed on Grand Boulevard."1927SLN.EVN.regular.comment.csv",33

"SLN192707310",76,"Reese scored from first base on hit and run play."1927SLN.EVN.regular.comment.csv",34

"SLN192707310",80,"Throw to second base was late."1927SLN.EVN.regular.comment.csv",35

