"SLN194704180",64,"pbp account ends here, rest deduced","FILENAME_TX","LINE_NUMBER_CT"
"SLN194704190",52,"end of pbp account, rest deduced from newspapers","1947SLN.EVN.regular.comment.csv",2
"SLN194704200",6,"$hit in the shoulder","1947SLN.EVN.regular.comment.csv",3
"SLN194704200",9,"$Walker did not slide","1947SLN.EVN.regular.comment.csv",4
"SLN194704200",39,"$enormous home run landing on Greer Ave.","1947SLN.EVN.regular.comment.csv",5
"SLN194704230",41,"pbp account ends here, rest deduced","1947SLN.EVN.regular.comment.csv",6
"SLN194705130",46,"$Slaughter fielded ball near line and threw to second on time to get Kerr, but Marion dropped ball","1947SLN.EVN.regular.comment.csv",7
"SLN194705130",57,"pbp account ends here, rest deduced","1947SLN.EVN.regular.comment.csv",8
"SLN194705140",30,"$Marion was knocked unconscious when Gordon's hard bouncer took a bad hop and hit him in the forehead, inflicting a cut and breaking his sunglasses; he remained in the game","1947SLN.EVN.regular.comment.csv",9
"SLN194705140",46,"pbp account ends here, rest deduced","1947SLN.EVN.regular.comment.csv",10
"SLN194705150",53,"$Schoendienst had left knee twisted when Hopp came in hard on force out","1947SLN.EVN.regular.comment.csv",11
"SLN194705150",65,"$Kurowski left with sore right elbow","1947SLN.EVN.regular.comment.csv",12
"SLN194705170",45,"pbp account ends here, rest deduced","1947SLN.EVN.regular.comment.csv",13
"SLN194705170",73,"$Spahn was slow to cover bag, so first baseman, pitcher and batter all arrived at base together; in the confusion Slaughter scored from second","1947SLN.EVN.regular.comment.csv",14
"SLN194705182",52,"$Musial's bunt was his first hit in 25 AB","1947SLN.EVN.regular.comment.csv",15
"SLN194705182",65,"ej,kurow101,SLN,P,boggd901,Called third strike $Kurowsli ejected by HP umpire Boggess for arguing called strike 3","1947SLN.EVN.regular.comment.csv",16
"SLN194705182",84,"Off Marion's outstretched hand","1947SLN.EVN.regular.comment.csv",17
"SLN194705190",25,"$eighth time a Phillie has been picked off this year","1947SLN.EVN.regular.comment.csv",18
"SLN194705190",46,"$Marion missed ball on squeeze attempt","1947SLN.EVN.regular.comment.csv",19
"SLN194705210",76,"$delayed steal on throw back to pitcher","1947SLN.EVN.regular.comment.csv",20
"SLN194705210",86,"$Eddie Stanky hurt when Enos Slaughter collided into him on play at 2B","1947SLN.EVN.regular.comment.csv",21
"SLN194705220",17,"$Wietelmann trapped when he broke for third, thinking Howell was going home","1947SLN.EVN.regular.comment.csv",22
"SLN194705220",49,"ej,dyere101,M,gorea901,Call at 1B $Cardinals argued strongly that Kurowski was safe at first and manager Dyer was ejected","1947SLN.EVN.regular.comment.csv",23
"SLN194705230",10,"$Dusak tried to duck away from inside pitch, but ball hit his bat and he blooped a double to right","1947SLN.EVN.regular.comment.csv",24
"SLN194705230",24,"$Elbie Fletcher ejected from bench at end of inning, apparently for arguing call on Kluttz at second","1947SLN.EVN.regular.comment.csv",25
"SLN194706200",26,"$over the  roof","1947SLN.EVN.regular.comment.csv",26
"SLN194706210",67,"$onto the roof","1947SLN.EVN.regular.comment.csv",27
"SLN194706230",2,"$Johnny Hopp rounded 1B too far","1947SLN.EVN.regular.comment.csv",28
"SLN194706230",28,"$over pavillion roof","1947SLN.EVN.regular.comment.csv",29
"SLN194706230",29,"$Whitey Kurowski left with blurred vision in left eye","1947SLN.EVN.regular.comment.csv",30
"SLN194706230",53,"pbp account ends here, rest deduced from newspapers","1947SLN.EVN.regular.comment.csv",31
"SLN194706240",59,"pbp account ends here, rest deduced from newspapers","1947SLN.EVN.regular.comment.csv",32
