"DET195004230",1,"Debut game for Jim Busby","FILENAME_TX","LINE_NUMBER_CT"
"DET195004230",79,"missing plays in DET195004230","1950DET.EVA.regular.comment.csv",2
"DET195005160",7,"ej,bartd101,C,summb901,Called third strike $Tigers coach Bartell ejected by HP umpire Summers at end of inning for arguing strike 3 call to Priddy","1950DET.EVA.regular.comment.csv",3
"DET195006130",3,"Into RF seats","1950DET.EVA.regular.comment.csv",4
"DET195006130",56,"Wyse comes in with 1-0 count on Lipon","1950DET.EVA.regular.comment.csv",5
"DET195006130",81,"Into lower LCF stands","1950DET.EVA.regular.comment.csv",6
"DET195006240",40,"ej,lopae101,P,romme101,Call at HP Eddie Lopat ejected by HP umpire Eddie Rommel","1950DET.EVA.regular.comment.csv",7
"DET195007080",62,"ej,rolfr101,M,hurle901,Al Rosen's non-ejection $Al Rosen claimed George Kell's ball was foul; Jim Hegan restrained Rosen as he went after HP umpire Eddie Hurley; it appeared Hurley ejected Rosen but Rosen returned to his position; Tigers Manager Red Rolfe ejected by Hurley","1950DET.EVA.regular.comment.csv",8
"DET195007270",51,"Debut game for Jim McDonald","1950DET.EVA.regular.comment.csv",9
"DET195008030",12,"$missed squeeze","1950DET.EVA.regular.comment.csv",10
"DET195008030",66,"$Don Kolloway rounded 1B too far","1950DET.EVA.regular.comment.csv",11
"DET195008202",6,"$Berry would have had a double, but he did not touch first","1950DET.EVA.regular.comment.csv",12
"DET195008202",7,"Moss error did not put a man on, but don't know circumstances","1950DET.EVA.regular.comment.csv",13
"DET195008202",13,"$This is a deduced play not in any newspaper story. Need another out on bases, and it would fit here. Deduction is that pitcher Overmire likely would try to sacrifice, so a pick-off was a possibility.","1950DET.EVA.regular.comment.csv",14
"DET195008202",24,"Don't know for sure it was a LDP and hit into by Sievers, not Wood","1950DET.EVA.regular.comment.csv",15
"DET195008202",84,"Leaping catch against LF fence robs Kell of a homer","1950DET.EVA.regular.comment.csv",16
"DET195009020",6,"Hit on the left hand","1950DET.EVA.regular.comment.csv",17
"DET195009020",8,"Into lower RF stands","1950DET.EVA.regular.comment.csv",18
"DET195009020",12,"Lipon: great stop","1950DET.EVA.regular.comment.csv",19
"DET195009020",27,"Lipon: great stop","1950DET.EVA.regular.comment.csv",20
"DET195009070",57,"ej,bartd101,C,hubbc901,Checked swing $Tigers coach Bartell ejected by HP umpire Hubbard for arguing checked swing by Doby","1950DET.EVA.regular.comment.csv",21
"DET195009070",105,"$game called for darkness","1950DET.EVA.regular.comment.csv",22
"DET195009120",71,"Debut game for Fred Taylor","1950DET.EVA.regular.comment.csv",23
"DET195009140",65,"DWS: pbp ends here, rest deduced","1950DET.EVA.regular.comment.csv",24
"DET195009150",45,"$sixth time Johnny Mize hit 3 homers in a game, which was twice as many as anyone else at the time","1950DET.EVA.regular.comment.csv",25
"DET195009170",32,"Groth threw to uncovered 3rd, Zarilla out trying to score","1950DET.EVA.regular.comment.csv",26
"DET195009180",72,"Tiger half of inning not shown","1950DET.EVA.regular.comment.csv",27
"DET195009210",68,"$lights turned on","1950DET.EVA.regular.comment.csv",28
"DET195009280",78,"pbp account ends here, rest deduced from newspapers","1950DET.EVA.regular.comment.csv",29
