"BOS194204150",0,"900 servicemen guests also attended","FILENAME_TX","LINE_NUMBER_CT"
"BOS194204150",32,"DiMaggio: running, leaping catch","1942.EDA.regular.comment.csv",2
"BOS194204150",33,"It rained during the 5th inning","1942.EDA.regular.comment.csv",3
"BOS194204150",49,"Into PHA's bullpen","1942.EDA.regular.comment.csv",4
"BOS194204150",61,"$Suder tried the hidden ball trick on Williams but failed","1942.EDA.regular.comment.csv",5
"BOS194204160",49,"Into LF screen","1942.EDA.regular.comment.csv",6
"BOS194204160",72,"Barely into the grandstand, just inside the RF foul line","1942.EDA.regular.comment.csv",7
"DET194204262",59,"Both runs must be UR","1942.EDA.regular.comment.csv",8
"BOS194205242",72,"game called, curfew","1942.EDA.regular.comment.csv",9
"BOS194205311",51,"$Cronin hit by batted ball and had to leave game","1942.EDA.regular.comment.csv",10
"PHA194206030",35,"$Hit on head; Wallaesa unconscious","1942.EDA.regular.comment.csv",11
"PHA194206040",85,"$ball stuck at top of fence","1942.EDA.regular.comment.csv",12
"SLA194206160",25,"$Muncrief injured his elbow while pitching to Williams","1942.EDA.regular.comment.csv",13
"WS1194207042",52,"ej,swifb101,P,grieb901,Balls and Strikes $Catcher Swift ejected by HP umpire Grieve for arguing balls and strikes","1942.EDA.regular.comment.csv",14
"WS1194207160",19,"can flip det I3 with I7","1942.EDA.regular.comment.csv",15
"WS1194207090",11,"next 2 BFP could be in I5 or I9","1942.EDA.regular.comment.csv",16
"BOS194207090",3,"$Hit on the back of the head","1942.EDA.regular.comment.csv",17
"BOS194207122",9,"$Chartak HBP injury","1942.EDA.regular.comment.csv",18
"BOS194207152",83,"$Lupien hit head on dugout roof","1942.EDA.regular.comment.csv",19
"SLA194207241",9,"bos I2 can flip with I4","1942.EDA.regular.comment.csv",20
"SLA194207241",53,"can flip next 2 BFP with I8","1942.EDA.regular.comment.csv",21
"CHA194207261",58,"ej,dykej101,M,quinj901,Interference call ej,Charlie Comiskey,N,quinj901,Interference call [owner's son] $White Sox Manager Jimmy Dykes and Charlie Comiskey (owner's son) ejected by HP umpire John Quinn arguing a call that a batter ran into a batted ball in the 8th inning","1942.EDA.regular.comment.csv",22
"BOS194208252",0,"ej,boudl101,M,hubbc901,Interference non-call in game 1 ej,milna101,P,hubbc901,Interference non-call in game 1 ej,denno101,P,hubbc901,Interference non-call in game 1 Indians Manager Lou Boudreau ejected by 3B umpire Cal Hubbard during the pregame meeting; Otto Denning and Al Milnar ejected by Hubbard from the bench; this resulted from a play in the bottom of the eleventh in game 1 when Boudreau thought he was interfered with by Johnny Pesky on a play at 2B","1942.EDA.regular.comment.csv",23
"CHA194209101",0,"Debut for umpire Charlie Berry","1942.EDA.regular.comment.csv",24
"DET194209110",55,"ej,troud101,P,basis901,Grabbing spectator who'd taunted him $Dizzy Trout ejected by HP umpire Steve Basil for grabbing a spectator who taunted him","1942.EDA.regular.comment.csv",25
"SLA194209140",48,"pbp account ends here, rest deduced","1942.EDA.regular.comment.csv",26
"SLA194209160",21,"$Johnny Pesky's 200th hits, first shortstop to do that","1942.EDA.regular.comment.csv",27
"SLA194209160",28,"pbp account ends here, rest deduced","1942.EDA.regular.comment.csv",28
"CLE194209170",5,"Late throw to 2B but got out at 1B","1942.EDA.regular.comment.csv",29
"SLA194208092",32,"$Hitchcock out on appeal for leaving third too soon","1942.EDA.regular.comment.csv",30
"CHA194205171",48,"$Early stepped on his mask and dropped the ball","1942.EDA.regular.comment.csv",31
