"SLN194804210",27,"$Red Schoendienst left with a sprained thumb"FILENAME_TX","LINE_NUMBER_CT"

"SLN194805100",13,"$Tommy Holmes rounded 2B too far"1948SLN.EVN.regular.comment.csv",2

"SLN194805130",22,"$Marshall and Rigney chasing double that landed on line"1948SLN.EVN.regular.comment.csv",3

"SLN194805130",34,"$dribbler"1948SLN.EVN.regular.comment.csv",4

"SLN194805130",42,"$Schoendienst tagged Mize on way to second, but dropped ball"1948SLN.EVN.regular.comment.csv",5

"SLN194805130",48,"DWS: pbp account ends here, rest deduced"1948SLN.EVN.regular.comment.csv",6

"SLN194805130",65,"$hit on foot"1948SLN.EVN.regular.comment.csv",7

"SLN194805150",9,"ej,burwb101,C,barrg901,Balls and strikes $Pirate coach Burwell ejected by HP umpire Barr for arguing balls and strikes"1948SLN.EVN.regular.comment.csv",8

"SLN194805150",24,"$onto the RF roof"1948SLN.EVN.regular.comment.csv",9

"SLN194806030",23,"ej,browt103,P,barrg901,Bench jockeying on called third strike $Dodger Brown, not in game, ejected by HP umpire Barr for arguing called third strike to Lund"1948SLN.EVN.regular.comment.csv",10

"SLN194806050",26,"$Gil Hodges called for interference"1948SLN.EVN.regular.comment.csv",11

"SLN194806080",1,"$It hit him in the back"1948SLN.EVN.regular.comment.csv",12

"SLN194806090",14,"ej,ryanc102,P,jordl901,HBP non-call $Warren Spahn claimed he was hit on the elbow by a pitch but HP umpire Lou Jorda disagreed; Connie Ryan ejected by Jorda"1948SLN.EVN.regular.comment.csv",13

"SLN194806090",83,"$Enos Slaughter stopped running when he thought Marty Marion's hit was foul; Marion called out for passing Slaughter"1948SLN.EVN.regular.comment.csv",14

"SLN194806120",17,"$Jones held up on looper and was forced"1948SLN.EVN.regular.comment.csv",15

"SLN194806120",54,"pbp account ends here"1948SLN.EVN.regular.comment.csv",16

"SLN194807051",0,"1:30 rain delay before start of game"1948SLN.EVN.regular.comment.csv",17

"SLN194807052",0,"$Start of first game delayed by rain and again during play, so second game did not start until after 6 PM in drizzle"1948SLN.EVN.regular.comment.csv",18

"SLN194807052",9,"$Kurowski hit on elbow and left in much pain"1948SLN.EVN.regular.comment.csv",19

"SLN194807052",31,"Musial: running diving catch"1948SLN.EVN.regular.comment.csv",20

"SLN194807052",32,"Over RF pavilion roof"1948SLN.EVN.regular.comment.csv",21

"SLN194807052",39,"$Rain fell during Marion's AB causing a 16-minute delay"1948SLN.EVN.regular.comment.csv",22

"SLN194807052",44,"Infield hit"1948SLN.EVN.regular.comment.csv",23

"SLN194807052",53,"$Game called for darkness, rain and wet grounds at 7:29 PM"1948SLN.EVN.regular.comment.csv",24

"SLN194807060",63,"$Coach held Baker, but LaPointe was running with head down and the Cardinals had two men on third"1948SLN.EVN.regular.comment.csv",25

"SLN194807060",70,"ej,kurow101,P,henlb101,Called third strike (Threw bat) $Kurowski ejected by HP umpire Henline for arguing called third strike; he threw bat"1948SLN.EVN.regular.comment.csv",26

"SLN194807060",86,"$Game called for agreed-upon curfew of 11:30 so Cubs could catch train to Chicago"1948SLN.EVN.regular.comment.csv",27

"SLN194807090",33,"$onto the RF pavilion roof"1948SLN.EVN.regular.comment.csv",28

"SLN194807090",57,"$the ball caromed off Benny Zientara's knee into the bullpen"1948SLN.EVN.regular.comment.csv",29

"SLN194807100",43,"$onto the RF roof"1948SLN.EVN.regular.comment.csv",30

"SLN194807170",39,"$Schoendienst's arm troubles persist and he had to leave"1948SLN.EVN.regular.comment.csv",31

"SLN194807170",56,"DWS: pbp account ends here, rest deduced"1948SLN.EVN.regular.comment.csv",32

"SLN194807182",10,"$Gil Hodges stopped as he rounded 3B"1948SLN.EVN.regular.comment.csv",33

"SLN194807182",24,"$Jackie Robinson overslid 2B"1948SLN.EVN.regular.comment.csv",34

"SLN194807222",54,"Monte Kennedy left with injured arm"1948SLN.EVN.regular.comment.csv",35

"SLN194807222",61,"$onto pavilion roof"1948SLN.EVN.regular.comment.csv",36

"SLN194807222",97,"$Enos Slaughter collided with Ken Trinkle on 1B line"1948SLN.EVN.regular.comment.csv",37

"SLN194807240",51,"DWS: pbp ends here, rest deduced"1948SLN.EVN.regular.comment.csv",38

"SLN194808210",37,"ej,meyeb101,M,jordl901,Balls and strikes ej,walkd101,P,jordl901,Balls and strikes Dixie Walker and Pirates Manager Billy Meyer ejected by HP umpire Lou Jorda on strike that made the count 2-2"1948SLN.EVN.regular.comment.csv",39

"SLN194808240",60,"pbp account ends here, rest deduced"1948SLN.EVN.regular.comment.csv",40

"SLN194808281",37,"pbp account ends here, rest deduced"1948SLN.EVN.regular.comment.csv",41

"SLN194808281",39,"$Catcher Livingston broke his left big toe sliding into grandstand wall trying to catch a foul ball; he completed the inning and then left the game"1948SLN.EVN.regular.comment.csv",42

"SLN194808281",49,"$Jones hurt left wrist sliding into third on his triple"1948SLN.EVN.regular.comment.csv",43

"SLN194808281",74,"ej,durol101,M,jordl901,Balls and strikes $While Durocher was standing on the mound making changes, he was ejected by plate umpire Jorda for arguing balls and strikes"1948SLN.EVN.regular.comment.csv",44

"SLN194808281",80,"$Rigney was spiked on right hand between thumb and forefinger by Slaughter who was out trying to advance on overthrow"1948SLN.EVN.regular.comment.csv",45

"SLN194809110",9,"$off Al Brazle's right leg"1948SLN.EVN.regular.comment.csv",46

"SLN194809110",9,"$Al Brazle left with an injury to his right knee"1948SLN.EVN.regular.comment.csv",47

"SLN194809110",31,"$onto the RF roof"1948SLN.EVN.regular.comment.csv",48

"SLN194809110",72,"$Ray Lamanno left with an injured hand suffered on the double play"1948SLN.EVN.regular.comment.csv",49

"SLN194809120",16,"$Grady Hatton and Ted Kluszewski bumped"1948SLN.EVN.regular.comment.csv",50

