"NYA194204170",0,"Attendence included 1243 servicemen guests","FILENAME_TX","LINE_NUMBER_CT"
"NYA194204170",48,"CS on pitchout","1942NYA.EVA.regular.comment.csv",2
"NYA194204170",64,"J.DiMaggio: good catch in front of 407' sign","1942NYA.EVA.regular.comment.csv",3
"NYA194204180",33,"Major league debut for Hank Borowy","1942NYA.EVA.regular.comment.csv",4
"NYA194204190",15,"Williams: fine catch","1942NYA.EVA.regular.comment.csv",5
"NYA194204190",25,"Williams: fine catch","1942NYA.EVA.regular.comment.csv",6
"NYA194204190",34,"Breuer dropped Levy's late throw to 1B","1942NYA.EVA.regular.comment.csv",7
"NYA194204290",34,"$Off the bag at second","1942NYA.EVA.regular.comment.csv",8
"NYA194204290",83,"$Grounder down the line hit umpire Grieve, knocking him down. Priddy picked up the ball and threw the runner out.","1942NYA.EVA.regular.comment.csv",9
"NYA194205020",35,"$Priddy dropped popup intentionally then got Higgins going back to first","1942NYA.EVA.regular.comment.csv",10
"NYA194205032",32,"ej,dykej101,M,romme101,Call at HP $White Sox Manager Jimmy Dykes ejected by HP umpire Eddie Rommel $for arguing that West scored before Kennedy was tagged out at 3rd","1942NYA.EVA.regular.comment.csv",11
"NYA194205050",46,"DWS: no CS on this error in 1942","1942NYA.EVA.regular.comment.csv",12
"NYA194206030",71,"Mercer scorecard lists Dickey as PH but doesn't say how last out was made","1942NYA.EVA.regular.comment.csv",13
"NYA194206040",8,"Hassett thrown out on a failed hit-and-run","1942NYA.EVA.regular.comment.csv",14
"NYA194206050",19,"$the ball caromed off Lefty Gomez' leg","1942NYA.EVA.regular.comment.csv",15
"NYA194206072",75,"$Jeff Heath injured when he crashed into the low wall","1942NYA.EVA.regular.comment.csv",16
"NYA194206090",71,"Hassett hit streak stopped at 20 games","1942NYA.EVA.regular.comment.csv",17
"NYA194206100",40,"Cramer's single was 2,000th hit of his career","1942NYA.EVA.regular.comment.csv",18
"NYA194206100",66,"Franklin injured knee trying to catch Keller's pop-up","1942NYA.EVA.regular.comment.csv",19
"NYA194206130",34,"Potential triple play ends with Rizzuto throwing error","1942NYA.EVA.regular.comment.csv",20
"NYA194206141",61,"Criscola & Stephens collide on Henrich's fluke triple, error to Criscola. Stephens exist with lacerated chin.","1942NYA.EVA.regular.comment.csv",21
"NYA194207100",2,"Clift called for Batter's Interference on attampted steal of second by Gutteridge.","1942NYA.EVA.regular.comment.csv",22
"NYA194207122",98,"Gordon ejected by Pipgras after being called out on attempted steal of home.","1942NYA.EVA.regular.comment.csv",23
"NYA194207130",6,"$Dickey falls while dropping York's foul pop, later diagnosed with torn ligament in right shoulder.","1942NYA.EVA.regular.comment.csv",24
"NYA194207130",17,"$DiMaggio starts to steal 2B, but stops halfway. Tebbetts' throw goes into CF and DiMaggio takes 2B.","1942NYA.EVA.regular.comment.csv",25
"NYA194207140",43,"Harris attempts leaping catch of Henrich's HR and ends up in bullpen.","1942NYA.EVA.regular.comment.csv",26
"NYA194207170",14,"ej,weatr101,P,rue-j901,Infield fly call $Phil Rizzuto trapped the humpbacked liner and Les Fleming was run down; after a long argument, the umpires ruled the play was an infield fly making Mack automatically out; Roy Weatherly ejected by HP umpire Joe Rue","1942NYA.EVA.regular.comment.csv",27
"NYA194207192",53,"high fly by DiMaggio and Henrich had to hold","1942NYA.EVA.regular.comment.csv",28
"NYA194208232",46,"$called due to darkness","1942NYA.EVA.regular.comment.csv",29
"NYA194209022",2,"$Joe Gordon knocked down the ball but the throw was late","1942NYA.EVA.regular.comment.csv",30
"NYA194209022",73,"$fans thought they had a witnessed a no-hitter, not knowing Harlond Clift was credited with a hit in the first inning; the fans mobbed Hank Borowy, who had to be rescued by special police; when the totals were posted on the scoreboard, many fans mobbed the press box looking for the scorer","1942NYA.EVA.regular.comment.csv",31
"NYA194209201",59,"$Dom DiMaggio hurt shoulder attempting shoestring catch in previous inning","1942NYA.EVA.regular.comment.csv",32
"NYA194209202",3,"$Dom DiMaggio has played in every game this year, but hurt his shoulder in game 1, so Cronin let him bat, then leave","1942NYA.EVA.regular.comment.csv",33
"NYA194209202",70,"$Game called for darkness","1942NYA.EVA.regular.comment.csv",34
"NYA194209230",0,"$Umpire John Quinn's last major league game.","1942NYA.EVA.regular.comment.csv",35
