"CIN193204120",47,"$Babe Herman doubled but fell and had to scramble back to 1B"FILENAME_TX","LINE_NUMBER_CT"

"CIN193204120",71,"$Charlie Root left with an injured hand after attempting to field the ball bare handed"1932CIN.EVN.regular.comment.csv",2

"CIN193204130",47,"$George Grantham was hurt making the play"1932CIN.EVN.regular.comment.csv",3

"CIN193204150",46,"$the umpires ruled that Riggs Stephenson dropped the fly but Jack Ogden was tagged out going back to 1B"1932CIN.EVN.regular.comment.csv",4

"CIN193204240",23,"$Leo Durocher left with unidentified injury"1932CIN.EVN.regular.comment.csv",5

"CIN193204240",58,"$Pepper Martin left with wrenched shoulder"1932CIN.EVN.regular.comment.csv",6

"CIN193205070",8,"ej,hermb102,P,quige901,Called third strike $Herman ejected by HP umpire Quigley for arguing called third strike"1932CIN.EVN.regular.comment.csv",7

"CIN193205110",67,"ej,durol101,P,rearb901,Fighting $Leo Durocher and Dick Bartell fought; Durocher ejected by 1B umpire Beans Reardon"1932CIN.EVN.regular.comment.csv",8

"CIN193205160",44,"10 minute rain delay; the Giants protested the resumption of play"1932CIN.EVN.regular.comment.csv",9

"CIN193205220",38,"$the ball hit 1B umpire Cy Pfirman"1932CIN.EVN.regular.comment.csv",10

"CIN193207061",73,"$failed squeeze play"1932CIN.EVN.regular.comment.csv",11

"CIN193207080",67,"ej,howld101,M,barrg901,HBP non-call ej,lucar102,P,barrg901,HBP non-call Reds Manager Dan Howley and Red Lucas ejected by HP umpire George Barr sometime in seventh"1932CIN.EVN.regular.comment.csv",12

"CIN193207120",25,"$the pop fly was lost in the sun and fell in front of George Grantham"1932CIN.EVN.regular.comment.csv",13

"CIN193207172",61,"ej,hermb102,P,morac102,Called third strike Babe Herman ejected by HP umpire Charlie Moran"1932CIN.EVN.regular.comment.csv",14

"CIN193207230",29,"$Bill Hallahan left with injured arm"1932CIN.EVN.regular.comment.csv",15

"CIN193208202",66,"$Game called to allow Brooklyn team to catch train"1932CIN.EVN.regular.comment.csv",16

"CIN193209180",52,"$Babe Herman missed shoestring catch and his momentum carried him to mound so George Grantham had to chase the ball"1932CIN.EVN.regular.comment.csv",17

