"CHA192504220",0,"Threatening weather CDT=105 CDT=more than 25000, NYT=close to 30000","FILENAME_TX","LINE_NUMBER_CT"
"CHA192504220",1,"Nice stop","1925CHA.EVA.regular.comment.csv",2
"CHA192504220",4,"O'Rourke tried to score on a short passed ball","1925CHA.EVA.regular.comment.csv",3
"CHA192504220",7,"Collins given a rousing welcome when he came to bat","1925CHA.EVA.regular.comment.csv",4
"CHA192504220",13,"Knocked down liner","1925CHA.EVA.regular.comment.csv",5
"CHA192504220",37,"Past Collins","1925CHA.EVA.regular.comment.csv",6
"CHA192504220",41,"Off Rigney's glove","1925CHA.EVA.regular.comment.csv",7
"CHA192504220",48,"Wingo muffed the fly but Manush backed him up and caught it before it hit the ground.","1925CHA.EVA.regular.comment.csv",8
"CHA192504220",53,"Nice stop, slipped, and threw to 2B while sitting down","1925CHA.EVA.regular.comment.csv",9
"CHA192504220",65,"CDN: .3XH(4262)...","1925CHA.EVA.regular.comment.csv",10
"CHA192504220",71,"Over Kamm","1925CHA.EVA.regular.comment.csv",11
"CHA192504230",8,"Texas Leaguer","1925CHA.EVA.regular.comment.csv",12
"CHA192504230",10,"Off Robertson's bare hand","1925CHA.EVA.regular.comment.csv",13
"CHA192504230",23,"Off Robertson's glove","1925CHA.EVA.regular.comment.csv",14
"CHA192504230",25,"Past Kamm","1925CHA.EVA.regular.comment.csv",15
"CHA192504230",30,"Fine running catch Davis was waved home by Harry Hooper, coaching at 3B.  Davis hesitated just long enough to lose one step.","1925CHA.EVA.regular.comment.csv",16
"CHA192504230",31,"Running catch","1925CHA.EVA.regular.comment.csv",17
"CHA192504230",41,"Dauss knocked it down; O'Rourke recovered it","1925CHA.EVA.regular.comment.csv",18
"CHA192504230",44,"Collins protested the out call furiously to Ump Rowland","1925CHA.EVA.regular.comment.csv",19
"CHA192504230",45,"Running catch","1925CHA.EVA.regular.comment.csv",20
"CHA192504230",46,"Nice stop of vicious smash","1925CHA.EVA.regular.comment.csv",21
"CHA192504230",66,"Grounder trickled through Blue and rolled 12' behind 1B. His frantic throw to Dauss at 1B was bad and the ball was kicked away to the Tiger bench.  Harris was shaken up on the play.","1925CHA.EVA.regular.comment.csv",22
"CHA192504230",67,"Infield in; throw home hit Falk in the short ribs","1925CHA.EVA.regular.comment.csv",23
"CHA192504250",0,"CDT=20K+","1925CHA.EVA.regular.comment.csv",24
"CHA192504250",10,"Faber picked it up then dropped it","1925CHA.EVA.regular.comment.csv",25
"CHA192504250",11,"Sheely pounced on it and fired to 3B in daring style","1925CHA.EVA.regular.comment.csv",26
"CHA192504250",14,"Picked off on attempted bunt","1925CHA.EVA.regular.comment.csv",27
"CHA192504250",23,"Bassler dropped it during the run down","1925CHA.EVA.regular.comment.csv",28
"CHA192504250",25,"Over Blue","1925CHA.EVA.regular.comment.csv",29
"CHA192504250",29,"Past Collins","1925CHA.EVA.regular.comment.csv",30
"CHA192504250",34,"Over Tavener","1925CHA.EVA.regular.comment.csv",31
"CHA192504250",37,"Nice stop","1925CHA.EVA.regular.comment.csv",32
"CHA192504250",40,"Off Tavener's glove","1925CHA.EVA.regular.comment.csv",33
"CHA192504250",42,"Over Manush; one of the longest Mostil had ever hit","1925CHA.EVA.regular.comment.csv",34
"CHA192504250",67,"Faber missed the bag","1925CHA.EVA.regular.comment.csv",35
"CHA192504260",0,"Largest crowd to ever witness a game in Chicago","1925CHA.EVA.regular.comment.csv",36
"CHA192504260",3,"Time called for police to take care of the overflow crowd which now swarmed around the White Sox bench.","1925CHA.EVA.regular.comment.csv",37
"CHA192504260",8,"Through SS","1925CHA.EVA.regular.comment.csv",38
"CHA192504260",10,"Collins threw home too late","1925CHA.EVA.regular.comment.csv",39
"CHA192504260",16,"ej,hooph101,P,rowlp801,Call at HP Harry Hooper ejected by HP umpire Pants Rowland Harry Hooper, coaching 3B, was ejected by Ump Rowland for protesting the decision at home","1925CHA.EVA.regular.comment.csv",40
"CHA192504260",27,"Stephenson backed into the RF crowd to make catch","1925CHA.EVA.regular.comment.csv",41
"CHA192504260",30,"Into the LF crowd","1925CHA.EVA.regular.comment.csv",42
"CHA192504260",33,"Into the LF crowd","1925CHA.EVA.regular.comment.csv",43
"CHA192504260",38,"Into the LF crowd","1925CHA.EVA.regular.comment.csv",44
"CHA192504260",50,"Into the LF crowd","1925CHA.EVA.regular.comment.csv",45
"CHA192504260",56,"Through Sewell","1925CHA.EVA.regular.comment.csv",46
"CHA192504260",71,"Since the 1st inning, several thousand fans had been allowed to occupy territory in foul ground behind 3B.  This made it impossible for box patrons to see the game without standing up.  In the top of the 9th, someone in the stand fired a cushion at someone standing out in the field.  In a minute the air was full of cushions coming out and being fired back.  The game was halted for several minutes until the escapade was subdued.","1925CHA.EVA.regular.comment.csv",47
"CHA192504260",72,"Scratched through the box","1925CHA.EVA.regular.comment.csv",48
"CHA192504260",81,"$Knode either dropped the throw (CPD) or failed to touch the bag (NY Times/Chi Daily Trib). The crowd swarmed over the field thinking the game was over. Umpires and police attempted to clear the field, but were helpless.  The game was forfeited to CLE","1925CHA.EVA.regular.comment.csv",49
"CHA192504270",0,"A cold win blew in from the lake CDT=5000","1925CHA.EVA.regular.comment.csv",50
"CHA192504270",12,"High bounder","1925CHA.EVA.regular.comment.csv",51
"CHA192504270",20,"Nice stop","1925CHA.EVA.regular.comment.csv",52
"CHA192504270",41,"Davis muffed Robertson's perfect throw","1925CHA.EVA.regular.comment.csv",53
"CHA192504270",42,"Wide throw","1925CHA.EVA.regular.comment.csv",54
"CHA192504270",45,"Off Buckeye's left shin","1925CHA.EVA.regular.comment.csv",55
"CHA192504270",48,"Past Sewell","1925CHA.EVA.regular.comment.csv",56
"CHA192504270",68,"CDN coverage ended here","1925CHA.EVA.regular.comment.csv",57
