"BSN195204150",0,"Debut for umpire Augie Guglielmo","FILENAME_TX","LINE_NUMBER_CT"
"BSN195204260",31,"$steady drizzle started","1952BSN.EVN.regular.comment.csv",2
"BSN195204260",34,"heavy rain for remainder of the game","1952BSN.EVN.regular.comment.csv",3
"BSN195205100",59,"$Walker Cooper hurt his back falling into Giant dugout trying to catch foul in 4th inning","1952BSN.EVN.regular.comment.csv",4
"BSN195205100",65,"$Jack Cusick struck on chin by ball","1952BSN.EVN.regular.comment.csv",5
"BSN195205170",17,"$Pete Whisenant hit a slow roller past the mound; the ball was out of Cliff Chambers' reach and Red Schoendienst ran to cover 1B; the ball rolled just onto the outfield grass","1952BSN.EVN.regular.comment.csv",6
"BSN195205222",37,"$Johnny Klippstein rounded 3B too far","1952BSN.EVN.regular.comment.csv",7
"BSN195206140",109,"$Buzz Clarkson's bat flew out of his hands and flew into the Braves dugout, almost hitting Jack Daniels","1952BSN.EVN.regular.comment.csv",8
"BSN195206182",4,"DWS: FLE2 invented because Seminick needs one","1952BSN.EVN.regular.comment.csv",9
"BSN195206190",55,"$Johnny Logan rounded 2B too far","1952BSN.EVN.regular.comment.csv",10
"BSN195206200",52,"$Willard Schmidt backed up the wild throw to HP and made a wild throw to 2B","1952BSN.EVN.regular.comment.csv",11
"BSN195206200",67,"$Tommy Glaviano injured his hand hitting a foul ball","1952BSN.EVN.regular.comment.csv",12
"BSN195206200",69,"$Peanuts Lowrey injured his leg sliding into 2B","1952BSN.EVN.regular.comment.csv",13
"BSN195206200",75,"next play might be 4(1)3(B)/RINT/GDP","1952BSN.EVN.regular.comment.csv",14
"BSN195206200",76,"$Solly Hemus called for interference when he prevented Jack Dittmer from throwing to 1B","1952BSN.EVN.regular.comment.csv",15
"BSN195206222",14,"$Sid Gordon's home run won him a live 100 pound bear cub for being the first Brave to homer on 'State of Maine' day; Gordon was somewhat stunned when the Maine delegation came to the clubhouse door after the game to present him with the animal; there is no record of what became of the bear","1952BSN.EVN.regular.comment.csv",16
"BSN195207010",8,"$Earl Torgeson and Sal Yvars had been conducting a running argument; Yvars kept complaining that Torgeson was hitting him with his backswing; Torgeson complained that Yvars was crowding the hitters; after Torgeson singled, Yvars broke his bat by pounding it on HP","1952BSN.EVN.regular.comment.csv",17
"BSN195207010",13,"ej,torge101,P,goetl901,Fighting ej,bickv101,P,goetl901,Arguing failure to eject opponent $as Earl Torgeson ran off the field, he learned that Sal Yvars had broken his bat; Torgeson ran into the Giants dugout and punched Yvars in the eye; the wound would require three stitches; both benches emptied, but no more punches were thrown. Torgeson ejected by HP umpire Larry Goetz; Vern Bickford was then ejected by Goetz for arguing that Yvars should have been thrown out as well; it took ten minutes to restore order","1952BSN.EVN.regular.comment.csv",18
"BSN195207041",33,"$missed squeeze","1952BSN.EVN.regular.comment.csv",19
"BSN195207041",58,"ej,mayoe101,C,stewb901,Call at 3B Phillies Coach Eddie Mayo ejected by 3B umpire Bill Stewart","1952BSN.EVN.regular.comment.csv",20
"BSN195207041",62,"$Connie Ryan tried catching George Crowe with the hidden ball trick","1952BSN.EVN.regular.comment.csv",21
"BSN195207220",49,"$the Cubs argued the call","1952BSN.EVN.regular.comment.csv",22
"BSN195207220",50,"ej,cavap101,M,warnl101,Balk call Cubs Manager Phil Cavarretta ejected by HP umpire Lon Warneke; Cavarretta was angry over the balk call and came out to resume the argument. Cavarretta protested the game and it took him five minutes to leave the field","1952BSN.EVN.regular.comment.csv",23
"BSN195207220",51,"ej,minnp101,P,secof101,Balk call $Paul Minner then took up the argument over the balk call, and he was ejected by 3B umpire Frank Secory","1952BSN.EVN.regular.comment.csv",24
"BSN195207250",68,"short passed ball","1952BSN.EVN.regular.comment.csv",25
"BSN195207272",0,"ej,mathe101,P,engeb902,Unknown reason Eddie Mathews ejected by HP umpire Bill Engeln sometime in game","1952BSN.EVN.regular.comment.csv",26
"BSN195207272",71,"$Ted Wilks hurt his back pitching to Sibby Sisti","1952BSN.EVN.regular.comment.csv",27
"BSN195207272",71,"$Sibby Sisti checked his swing on a 2-2 pitch, and HP umpire Bill Engeln called it a ball; Pirates manager Billy Meyer protested loudly from the dugout","1952BSN.EVN.regular.comment.csv",28
"BSN195207272",74,"ej,meyeb101,M,engeb902,Checked swing Pirates Manager Billy Meyer ejected by HP umpire Bill Engeln","1952BSN.EVN.regular.comment.csv",29
"BSN195207272",88,"$game called for darkness; league rules prevented use of lights on Sunday; game to be replayed on 9/12","1952BSN.EVN.regular.comment.csv",30
"BSN195207290",66,"$Johnny Logan slid hard into Bill Johnson at 3B and the Cardinals argued that Logan interfered on the play","1952BSN.EVN.regular.comment.csv",31
"BSN195207290",109,"$Sibby Sisti tried fielding Del Rice's slow grounder while at the same time keeping his foot on the bag","1952BSN.EVN.regular.comment.csv",32
"BSN195207300",26,"$Eddie Mathews homer cleared the trees behind the wall in left-center (400+ feet)","1952BSN.EVN.regular.comment.csv",33
"BSN195207310",4,"$Stan Musial rounded 2B too far","1952BSN.EVN.regular.comment.csv",34
"BSN195207310",22,"$Sam Jethroe's homer shattered the 'PB' and 'FC' signs on the scoreboard","1952BSN.EVN.regular.comment.csv",35
"BSN195207310",25,"$Red Schoendienst dropped the ball on purpose to put Walker Cooper on the bases rather than Eddie Mathews","1952BSN.EVN.regular.comment.csv",36
"BSN195207310",39,"$George Crowe had a play on Dick Sisler at HP, but hesitated and threw too late to 2B","1952BSN.EVN.regular.comment.csv",37
"BSN195208020",10,"$Andy Seminick spiked on the finger by Sam Jethroe","1952BSN.EVN.regular.comment.csv",38
"BSN195208072",58,"$Jack Daniels called for interference for running into his own bunt","1952BSN.EVN.regular.comment.csv",39
"BSN195208090",3,"$as George Crowe tried to tag Whitey Lockman, the two collided and the ball rolled into the Giants dugout","1952BSN.EVN.regular.comment.csv",40
"BSN195208090",15,"$Jack Dittmer rounded 1B too far","1952BSN.EVN.regular.comment.csv",41
"BSN195208111",14,"$Hank Thompson collided with 3B umpire Dusty Boggess and was knocked unconscious for five minutes","1952BSN.EVN.regular.comment.csv",42
"BSN195208301",7,"$Del Ennis made a leaping catch against the wall and the Braves argued that he had trapped the ball against the wall","1952BSN.EVN.regular.comment.csv",43
"BSN195208301",67,"$the ball caromed off Karl Drews' knee","1952BSN.EVN.regular.comment.csv",44
"BSN195208301",79,"$delay as Karl Drews suffered cramp in leg","1952BSN.EVN.regular.comment.csv",45
"BSN195208311",70,"$the ball struck Virgil Jester's bat as he was ducking away from an inside pitch","1952BSN.EVN.regular.comment.csv",46
"BSN195209040",94,"ej,campr102,P,secof101,HBP call ej,labic101,P,secof101,HBP call Clem Labine and Roy Campanella ejected by HP umpire Frank Secory","1952BSN.EVN.regular.comment.csv",47
"BSN195209121",15,"$Sam Jethroe's throw home struck Dick Groat as he was running to 2B","1952BSN.EVN.regular.comment.csv",48
"BSN195209121",17,"$the ball became embedded in the scoreboard","1952BSN.EVN.regular.comment.csv",49
"BSN195209130",21,"$Warren Spahn struck out six consecutive batters throwing 20 pitches, 18 of which were strikes; he threw 14 consecutive strikes at one point","1952BSN.EVN.regular.comment.csv",50
"BSN195209130",56,"$Ed Fitzgerald spiked on the hand by Johnny Logan; 2 stitches","1952BSN.EVN.regular.comment.csv",51
"BSN195209142",8,"$Sid Gordon hit a roller down the 3B line; Johnny Logan tried to elude Harry Chiti's tag and was called for interference for being out of the baseline","1952BSN.EVN.regular.comment.csv",52
"BSN195209142",62,"$Sid Gordon rounded 2B too far","1952BSN.EVN.regular.comment.csv",53
"BSN195209161",42,"$Warren Spahn called for interference for blocking the throw to 1B","1952BSN.EVN.regular.comment.csv",54
"BSN195209190",42,"39 minute rain delay","1952BSN.EVN.regular.comment.csv",55
"BSN195209190",49,"35 minute rain delay","1952BSN.EVN.regular.comment.csv",56
"BSN195209190",69,"game called for rain","1952BSN.EVN.regular.comment.csv",57
