"NYA192304180",42,"$Rain began to fall at the start of the 6th inning; later the sun came out again.","FILENAME_TX","LINE_NUMBER_CT"
"NYA192304180",60,"$Hit in the back","1923NYA.EVA.regular.comment.csv",2
"NYA192304200",5,"$BOUNCE HR; fly ball sailed over Meusel and bounded into a LF box.  Meusel had misjudged it again.","1923NYA.EVA.regular.comment.csv",3
"NYA192304210",9,"$BOUNCE HR -- 'an ordinary single that hopped over the foolish-looking low fence in RF","1923NYA.EVA.regular.comment.csv",4
"NYA192304230",1,"$Hit in the leg or ribs","1923NYA.EVA.regular.comment.csv",5
"NYA192304240",0,"$President Harding was in attendance, and used a scorecard","1923NYA.EVA.regular.comment.csv",6
"NYA192305040",38,"B1:low; F2:back to the screen","1923NYA.EVA.regular.comment.csv",7
"NYA192305040",49,"$Galloway drove into deep right for a ground hit.  Ruth tried to stop the ball before it bounded over the low fence, and the Babe fell over the fence turning a complete somersault. He was off the playing field entirely and while trying to regain his feet, Galloway ran all around the bases. However, the Babe got out in time and threw him out at the plate. The play resulted in a double casualty as Galloway injured his leg in sliding, and Ruth came in holding his left arm to his side and blotches of blood on his left hand.  The game was held up while Galloway's leg was taped and Ruth received first aid treatment on the bench.","1923NYA.EVA.regular.comment.csv",8
"NYA192305040",76,"$BOUNCE HR","1923NYA.EVA.regular.comment.csv",9
"NYA192305040",79,"pain after letting go of the heave.","1923NYA.EVA.regular.comment.csv",10
"NYA192305040",87,"$Hit in the arm","1923NYA.EVA.regular.comment.csv",11
"NYA192305050",4,"$Hit on right shoulder","1923NYA.EVA.regular.comment.csv",12
"NYA192305050",63,"$Hit on right knee; limped to 1B","1923NYA.EVA.regular.comment.csv",13
"NYA192305060",25,"$BOUNCE HR","1923NYA.EVA.regular.comment.csv",14
"NYA192306010",40,"Scorcher caromed off Jones's glove to Ward. Red Sox kicked up quite a fuss over the call at 1B.  It seemed that Ward's throw pulled Pipp off first.  Fewster (coaching 1B) was ejected by Ump Moriarty.","1923NYA.EVA.regular.comment.csv",15
"NYA192306060",6,"$It started to rain after Dugan's AB","1923NYA.EVA.regular.comment.csv",16
"NYA192306060",17,"$The rain stopped, the sun came out, the fans returned to their front seats.","1923NYA.EVA.regular.comment.csv",17
"NYA192306060",54,"BOUNCE HR","1923NYA.EVA.regular.comment.csv",18
"NYA192306110",9,"$Hit in the ribs","1923NYA.EVA.regular.comment.csv",19
"NYA192306130",14,"While Scott was up, the Browns dugout became noisy.  Umpire Ormsby ejected Ray Kolp for 'boisterous coaching'.","1923NYA.EVA.regular.comment.csv",20
"NYA192306130",49,"Shocker ejected by Ormsby for protesting too vigorously. The game was held up while Browns Mgr Fohl and others complained about Ormsby's eyesight on calling balls/strikes. Fohl claimed Shocker had put over a 3rd strike on Dugan just before Joe slashed the ball for a single.  Ormsby gave Shocker the air, putting him on his way to the shower baths.","1923NYA.EVA.regular.comment.csv",21
"NYA192306150",10,"$Ward's spikes-high slide knocked Collins out.  Al Woods, the Yankee trainer, worked on Collins for several minutes and he was brought to his senses. With the aid of others he limped to the bench; he had a gash over his right eye.","1923NYA.EVA.regular.comment.csv",22
"NYA192306160",47,"$BOUNCE HR.  Fly ball cleared Meusel's head and bounded into a LF box.","1923NYA.EVA.regular.comment.csv",23
"NYA192306170",13,"$Ward collided with Manush while diving to catch throw from Bush. Ward was knocked out for several minutes but finally responded to first aid treatment and resumed his position.","1923NYA.EVA.regular.comment.csv",24
"NYA192306170",40,"$Hit in the shoulder","1923NYA.EVA.regular.comment.csv",25
