"BOS191604120",0,"Opening Day 1916 at Fenway Park. Mayor James M.Curley tossed out the first ball."FILENAME_TX","LINE_NUMBER_CT"

"BOS191604130",12,"Attempted double steal."1916BOS.EVA.regular.comment.csv",2

"BOS191604130",33,"A's first base runner."1916BOS.EVA.regular.comment.csv",3

"BOS191604170",56,"It started to rain."1916BOS.EVA.regular.comment.csv",4

"BOS191604170",74,"$Game called for rain"1916BOS.EVA.regular.comment.csv",5

"BOS191604191",39,"Foster fumbled the ball, but got the out at first."1916BOS.EVA.regular.comment.csv",6

"BOS191604191",74,"Milan and Moeller collided on the play"1916BOS.EVA.regular.comment.csv",7

"BOS191604191",76,"Attempted sqeeze play"1916BOS.EVA.regular.comment.csv",8

"BOS191604192",0,"4,820 fans attended morning game of double-header."1916BOS.EVA.regular.comment.csv",9

"BOS191605040",48,"No PBP for 7th-used Even. Mail."1916BOS.EVA.regular.comment.csv",10

"BOS191605050",101,"Bottom of 12th to end from Evening Mail."1916BOS.EVA.regular.comment.csv",11

"BOS191605050",105,"Shorten PH with 1-2 count on Mays."1916BOS.EVA.regular.comment.csv",12

"BOS191605090",0,"'Tris Speaker Day' to honor former Red Sox player."1916BOS.EVA.regular.comment.csv",13

"BOS191605110",25,"$Hooper given third for obstruction by Wambsganss - no error"1916BOS.EVA.regular.comment.csv",14

"BOS191605110",77,"Top of ninth inning to end (10) from Globe.'"1916BOS.EVA.regular.comment.csv",15

"BOS191605120",17,"$Wamby injured, play delayed until he received attention."1916BOS.EVA.regular.comment.csv",16

"BOS191605120",69,"Top of ninth inning to end from Globe."1916BOS.EVA.regular.comment.csv",17

"BOS191605130",35,"Gardner slightly injured when tagged out by Schalk."1916BOS.EVA.regular.comment.csv",18

"BOS191605130",54,"Ball deflected off Leonard."1916BOS.EVA.regular.comment.csv",19

"BOS191605130",58,"Leonard had two strikes when replaced."1916BOS.EVA.regular.comment.csv",20

"BOS191605220",32,"Walker's long drive hit the scoreboard."1916BOS.EVA.regular.comment.csv",21

"BOS191605220",48,"Great catch by Lewis."1916BOS.EVA.regular.comment.csv",22

"BOS191605220",54,"Dauss'throw to third base was late."1916BOS.EVA.regular.comment.csv",23

"BOS191605220",66,"Top of eighth inning to end from Globe."1916BOS.EVA.regular.comment.csv",24

"BOS191605240",50,"Great catch by Hooper."1916BOS.EVA.regular.comment.csv",25

"BOS191605250",15,"Ball deflected off Shore."1916BOS.EVA.regular.comment.csv",26

"BOS191605250",52,"Cobb running on play made it to third."1916BOS.EVA.regular.comment.csv",27

"BOS191605301",39,"Rain fell heavily as Shore went to bat."1916BOS.EVA.regular.comment.csv",28

"BOS191605310",9,"Moeller's throw bounced and hit Shanks' head."1916BOS.EVA.regular.comment.csv",29

"BOS191605310",37,"$Hooper sprained a tendon and was replaced"1916BOS.EVA.regular.comment.csv",30

"BOS191605310",60,"Top of seventh inning to end from Post/Globe."1916BOS.EVA.regular.comment.csv",31

"BOS191606010",63,"$McNally never stopped at third; McBride just held ball"1916BOS.EVA.regular.comment.csv",32

"BOS191606200",14,"O'Loughlin ejected Shawkey."1916BOS.EVA.regular.comment.csv",33

"BOS191606200",64,"Over the fence."1916BOS.EVA.regular.comment.csv",34

"BOS191606200",75,"Top of 9th to end from Evening Mail."1916BOS.EVA.regular.comment.csv",35

"BOS191607101",12,"$Gainer interferred with Fournier."1916BOS.EVA.regular.comment.csv",36

"BOS191607111",8,"Attempted sacrifice."1916BOS.EVA.regular.comment.csv",37

"BOS191607112",24,"Great catch by Jackson."1916BOS.EVA.regular.comment.csv",38

"BOS191607112",44,"$Barry couldn't handle throw from third."1916BOS.EVA.regular.comment.csv",39

"BOS191607112",49,"Seventh inning to end from Globe/Tribune."1916BOS.EVA.regular.comment.csv",40

"BOS191607112",57,"Boston out in order."1916BOS.EVA.regular.comment.csv",41

"BOS191607121",6,"Hit and run."1916BOS.EVA.regular.comment.csv",42

"BOS191607121",13,"Ball deflected off pitcher."1916BOS.EVA.regular.comment.csv",43

