"SLN193604140",70,"$Debut game for Morgan.","FILENAME_TX","LINE_NUMBER_CT"
"SLN193604160",65,"$3bman Martin dropped the popup which two of the three umpires had called an infield fly; Hack broke for the plate and French started for 2nd, but was out when Martin threw behind him; Hack scored before French was tagged out; Cardinals mananger Frisch declared he would protest the game, but did not","1936SLN.EVN.regular.comment.csv",2
"SLN193604260",46,"Medwick injured fielding Lavagetto's hit, but remained in the game.","1936SLN.EVN.regular.comment.csv",3
"SLN193605040",49,"pbp ends here, rest deduced","1936SLN.EVN.regular.comment.csv",4
"SLN193605060",37,"$Dean popped a bunt to Camilli who intentionally dropped it He then touched the bag and tagged the runner","1936SLN.EVN.regular.comment.csv",5
"SLN193605060",71,"$Pitcher threw to first but no one was covering","1936SLN.EVN.regular.comment.csv",6
"SLN193605070",28,"$Wilson strained side","1936SLN.EVN.regular.comment.csv",7
"SLN193605230",49,"ej,frisf101,M,pineb101,Balls and strikes $Cardinals manager Frisch ejected by plate umpire Pinelli for arguing balls and strikes while English was at bat","1936SLN.EVN.regular.comment.csv",8
"SLN193605270",67,"$Durocher injured his hand and was replaced","1936SLN.EVN.regular.comment.csv",9
"SLN193605310",80,"$Ernie Lombardi struck Ripper Collins on the back with a throw","1936SLN.EVN.regular.comment.csv",10
"SLN193605310",95,"ej,dresc101,M,barrg901,Call at 1B $Reds manager Dressen ejected by 1B umpire Barr for arguing that Scarsella was safe at 1st","1936SLN.EVN.regular.comment.csv",11
"SLN193606030",55,"$Pepper Martin crashed into wall, was dazed, but stayed in game Pepper will miss next game with 'sick headache'","1936SLN.EVN.regular.comment.csv",12
"SLN193606030",59,"$Hassett hit on R thigh","1936SLN.EVN.regular.comment.csv",13
"SLN193606050",17,"$Ump Moran delayed game to question Dean's footwork on mound.","1936SLN.EVN.regular.comment.csv",14
"SLN193606050",39,"No sacrifice awarded","1936SLN.EVN.regular.comment.csv",15
"SLN193606062",62,"$Game called for rain","1936SLN.EVN.regular.comment.csv",16
"SLN193606090",53,"pbp ends here, rest deduced","1936SLN.EVN.regular.comment.csv",17
"SLN193606120",64,"$Medwick left with leg injury reaggravated in top of inning","1936SLN.EVN.regular.comment.csv",18
"SLN193606130",19,"$Runner on 1st attempts to steal 2nd, The catcher throws to the SS who runs the runner back to 1st. The runner slides in safe and the SS falls over the bag.  The runner on 3rd scores but is not credited with a SB","1936SLN.EVN.regular.comment.csv",19
"SLN193607090",0,"$Very hot day, most of game 100-degrees or more","1936SLN.EVN.regular.comment.csv",20
"SLN193607110",41,"$Whitehead's line drive hit Dean in head and caromed into center field; Dizzy left on a stretcher","1936SLN.EVN.regular.comment.csv",21
"SLN193607110",68,"$Ran into DP on hit and run","1936SLN.EVN.regular.comment.csv",22
"SLN193607160",60,"$Phils players argued a short time after Frisch's walk.","1936SLN.EVN.regular.comment.csv",23
"SLN193607180",0,"10,476 total attendance.","1936SLN.EVN.regular.comment.csv",24
"SLN193607180",52,"pbp account ends here, rest deduced","1936SLN.EVN.regular.comment.csv",25
"SLN193607191",16,"The 23 could be on any K","1936SLN.EVN.regular.comment.csv",26
"SLN193607191",77,"short double","1936SLN.EVN.regular.comment.csv",27
"SLN193608092",49,"$Spud Davis left injured","1936SLN.EVN.regular.comment.csv",28
"SLN193608100",3,"$Game delayed for over 10 minutes as Dizzy Dean charged Cub dugout and fought with Tex Carleton in response to bench- jockeying; Cubs had objected to Dean's throwing a high inside pitch to Herman; after order was restored, umpires debated whether there should be ejections; Cardinal manager, coaches and players surrounded umpires and vociferously argued that Carleton was the instigator and Dean should not be ejected; umpires met with the two managers near second base to discuss the situation; Chicago manager Grimm consented to Dean's remaining in the game due to the large crowd who had come to see him pitch; Carleton was allowed to stay on the so there were no ejections!","1936SLN.EVN.regular.comment.csv",29
"SLN193608110",83,"ej,collr101,SLN,P,barrg901,Call at 2B ej,hainj101,SLN,P,barrg901,Call at 2B ej,wareb101,SLN,C,barrg901,Call at 2B ej,durol101,SLN,P,stewb901,Call at 2B $Cardinals Collins, Haines, and coach Wares ejected by HP umpire Barr for arguing that SS had not touched 2nd on double play and Cardinals Durocher ejected by 1B Stewart","1936SLN.EVN.regular.comment.csv",30
"SLN193608110",89,"ej,durol101,P,stewb901,Call at 2B $Durocher renewed argument with umpire Stewart on DP in previous inning and was ejected","1936SLN.EVN.regular.comment.csv",31
"SLN193608232",92,"$Game called for darkness","1936SLN.EVN.regular.comment.csv",32
"SLN193608251",15,"$This was the Bees' seventh double of the inning setting a major league record.","1936SLN.EVN.regular.comment.csv",33
"SLN193608252",26,"$Dean was charged with obstructing Jordan","1936SLN.EVN.regular.comment.csv",34
"SLN193608260",0,"9,800 total attendance.","1936SLN.EVN.regular.comment.csv",35
"SLN193608260",48,"pbp account ends here, rest deduced","1936SLN.EVN.regular.comment.csv",36
"SLN193608270",0,"13,000 total attendance.","1936SLN.EVN.regular.comment.csv",37
"SLN193608270",35,"pbp account ends here, rest deduced","1936SLN.EVN.regular.comment.csv",38
"SLN193608270",66,"$Lopez missed the pitch on an attempted squeeze play.","1936SLN.EVN.regular.comment.csv",39
"SLN193608280",67,"$Rain delay of 15 minutes","1936SLN.EVN.regular.comment.csv",40
"SLN193609020",4,"$Overslid second","1936SLN.EVN.regular.comment.csv",41
"SLN193609020",40,"$Initial play was on Smith, but he returned safely to 2nd as Whiteheard tried to advance there and was tagged out; Giants objected to the call","1936SLN.EVN.regular.comment.csv",42
"SLN193609020",58,"$Collins hit a soft tap which was fielded by the catcher who threw to second attempting a force; runner from first and 2bman collided, causing deep laceration to Whitehead over his eye; ball was ruled foul and Giants vehemently argued; Whitehead left with his injury","1936SLN.EVN.regular.comment.csv",43
"SLN193609020",59,"$Wild throw by Koenig to plate","1936SLN.EVN.regular.comment.csv",44
"SLN193609242",49,"game called for darkness","1936SLN.EVN.regular.comment.csv",45
"SLN193609260",43,"$8-minute rain delay","1936SLN.EVN.regular.comment.csv",46
"SLN193609270",34,"ej,wareb101,C,searz901,Balls and strikes $Cardinals coach Wares ejected by HP umpire Sears for arguing balls and strikes while Ryba was at bat","1936SLN.EVN.regular.comment.csv",47
"SLN193609270",49,"ej,grimc101,M,searz901,Balls and strikes $Cubs manager Grimm ejected by HP umpire Sears for arguing balls and strikes while Hack was at bat","1936SLN.EVN.regular.comment.csv",48
"SLN193609270",53,"ej,mizej101,P,searz901,Balls and strikes $Mize ejected by HP umpire Sears for arguing balls and strikes","1936SLN.EVN.regular.comment.csv",49
