"SLA193004250",64,"$onto the RF roof","FILENAME_TX","LINE_NUMBER_CT"
"SLA193004300",73,"$Johnny Hodapp hit on the head; the ball caromed into the seats","1930SLA.EVA.regular.comment.csv",2
"SLA193005250",37,"$Gehringer apeared to have a triple, but Browns argued ball rolled under outfield screen and should be a double; play was about to resume when Browns pointed out that Funk should not have been allowed to score and he was returned to 3rd base from the dugout","1930SLA.EVA.regular.comment.csv",3
"SLA193005260",81,"pbp account ends here, rest deduced","1930SLA.EVA.regular.comment.csv",4
"SLA193005270",87,"pbp account ends here, rest deduced","1930SLA.EVA.regular.comment.csv",5
"SLA193005301",0,"$Memorial Day","1930SLA.EVA.regular.comment.csv",6
"SLA193005310",21,"Off the screen in deep right.","1930SLA.EVA.regular.comment.csv",7
"SLA193005310",31,"Ball landed high into left center bleachers.","1930SLA.EVA.regular.comment.csv",8
"SLA193006070",53,"$Last two plays were actually one- Chapman got in rundown.","1930SLA.EVA.regular.comment.csv",9
"SLA193006070",67,"$Ball hit umpire- no runner advancement","1930SLA.EVA.regular.comment.csv",10
"SLA193006070",84,"pbp account ends here, rest deduced","1930SLA.EVA.regular.comment.csv",11
"SLA193006090",77,"pbp account ends here, rest deduced","1930SLA.EVA.regular.comment.csv",12
"SLA193007100",30,"$Faber overcome by the intense heat","1930SLA.EVA.regular.comment.csv",13
"SLA193007100",59,"$Not realizing that it was ball four, catcher Ferrell threw ball to second base when he saw Jolley going to second; no St. Louis infielder covered and the ball went into center field and two runs scored","1930SLA.EVA.regular.comment.csv",14
"SLA193007150",20,"$onto the RF roof","1930SLA.EVA.regular.comment.csv",15
"SLA193007160",15,"$Umpire Van Graflin just arrived and took his position at 3rd","1930SLA.EVA.regular.comment.csv",16
"SLA193007160",54,"$Wells out on appeal for leaving 3rd too soon","1930SLA.EVA.regular.comment.csv",17
"SLA193007170",44,"$Joe Hassler intended as courtesy runner but Earl McNeely unable to continue in game","1930SLA.EVA.regular.comment.csv",18
"SLA193007190",67,"$Frank O'Rourke was spiked","1930SLA.EVA.regular.comment.csv",19
"SLA193007190",92,"bounce HR","1930SLA.EVA.regular.comment.csv",20
"SLA193007220",64,"Reconstructed top of 9th from box score","1930SLA.EVA.regular.comment.csv",21
"SLA193007230",90,"pbp account ends here, rest deduced","1930SLA.EVA.regular.comment.csv",22
"SLA193007240",15,"$Red Kress out on appeal for leaving 2B early","1930SLA.EVA.regular.comment.csv",23
"SLA193007250",59,"rain delay","1930SLA.EVA.regular.comment.csv",24
"SLA193007280",2,"$Johnny Watwood was safe but stepped off the bag thinking he was out","1930SLA.EVA.regular.comment.csv",25
"SLA193007280",21,"$Earl McNeely hurt leg running","1930SLA.EVA.regular.comment.csv",26
"SLA193007280",79,"Reconstructed home of 9th from box score.","1930SLA.EVA.regular.comment.csv",27
"SLA193007290",75,"reconstructed home 9th from box score.","1930SLA.EVA.regular.comment.csv",28
"SLA193008020",20,"$Clyde Manion left with injured finger from foul ball","1930SLA.EVA.regular.comment.csv",29
"SLA193008270",69,"Reconstructed top of 9th from box score.","1930SLA.EVA.regular.comment.csv",30
"SLA193008280",51,"$George Blaeholder hurt by Charlie Gehringer's liner off his foot","1930SLA.EVA.regular.comment.csv",31
"SLA193008290",29,"$Frank O'Rourke hurt hand on Whit Wyatt's hit","1930SLA.EVA.regular.comment.csv",32
"SLA193008290",79,"Reconstructed top of 9th from box score.","1930SLA.EVA.regular.comment.csv",33
"SLA193009011",52,"$over the RF roof","1930SLA.EVA.regular.comment.csv",34
"SLA193009012",81,"$game called due to darkness","1930SLA.EVA.regular.comment.csv",35
"SLA193009090",25,"ej,harrd101,P,morig101,Talking to opposing pitcher $Senators Harris, coaching 1st, ejected by 1B umpire Moriarty for talking to opposing pitcher","1930SLA.EVA.regular.comment.csv",36
"SLA193009090",90,"pbp account ends here, rest deduced","1930SLA.EVA.regular.comment.csv",37
"SLA193009100",45,"$Bluege was spiked on the play and had to leave the game","1930SLA.EVA.regular.comment.csv",38
"SLA193009110",77,"pbp account ends here, rest deduced","1930SLA.EVA.regular.comment.csv",39
"SLA193009120",45,"$Heving spiked","1930SLA.EVA.regular.comment.csv",40
"SLA193009131",32,"$Two runners on 2b","1930SLA.EVA.regular.comment.csv",41
"SLA193009160",13,"Ball hit completly out of ballpark.","1930SLA.EVA.regular.comment.csv",42
"SLA193009160",23,"ej,orouf101,P,guthb901,Call at 3B $O'Rourke ejected by 3B umpire Guthrie for arguing that Lazzeri was out at 3rd","1930SLA.EVA.regular.comment.csv",43
"SLA193009160",23,"Hassler's last game.","1930SLA.EVA.regular.comment.csv",44
"SLA193009170",33,"ej,riceh101,P,ormsr901,Called third strike $Rice ejected by Ormsby for arguing called third strike","1930SLA.EVA.regular.comment.csv",45
"SLA193009200",0,"Ladies Day","1930SLA.EVA.regular.comment.csv",46
"SLA193009200",19,"$McNair was caught between 3rd and home, but escaped when Stewart made a wild throw to Levey during the run down.","1930SLA.EVA.regular.comment.csv",47
