"TBA201004070",58,"$Rays runner Reid Brignac thought Carl Crawford has walked and strolled to 2B but Crawford was called out on a check swing and Brignac thrown out at 2B","FILENAME_TX","LINE_NUMBER_CT"
"TBA201004080",8,"$Rays pitcher Jeff Niemann left the game due to a right shoulder contusion after being hit by a come-backer off the bat of Miguel Tejada; the ball struck his shoulder and ricocheted to Carlos Pena at 1B","2010TBA.EVA.regular.comment.csv",2
"TBA201004090",0,"Debut for umpire Vic Carapazza","2010TBA.EVA.regular.comment.csv",3
"TBA201004090",24,"$the throw home was late so catcher Dioner Navarro threw to 3B; the ball sailed into LF to score Rodriguez","2010TBA.EVA.regular.comment.csv",4
"TBA201004100",68,"$first hit of the game for the Rays off Sabathia","2010TBA.EVA.regular.comment.csv",5
"TBA201004110",54,"$Longoria's popup hit a speaker on one of the upper catwalks and landed near 2B; Yankees 1B Mark Teixeira had been standing under the ball near the mound ready to catch it; the ball was ruled fair and in play","2010TBA.EVA.regular.comment.csv",6
"TBA201004230",49,"ej,navad001,P,belld901,Balls and strikes while catching $after ball two to Adam Lind, Rays catcher Dioner Navarro argued that the ball was not too low; he threw the ball back to the pitcher and turned to HP umpire Dan Bellino and started arguing; Navarro was ejected by Bellino and then lost his temper and bumped Bellino before walking off the field","2010TBA.EVA.regular.comment.csv",7
"TBA201004280",69,"Debut game for Steven Tolleson","2010TBA.EVA.regular.comment.csv",8
"TBA201005170",9,"Indians shortstop Asdrubal Cabrera left the game due to an injured arm","2010TBA.EVA.regular.comment.csv",9
"TBA201005180",17,"Debut game for Jason Donald","2010TBA.EVA.regular.comment.csv",10
"TBA201005240",18,"$Jason Nartlett's foul ball hit catcher Victor Martinez on the left big toe; x-rays were negative but the toe nail was completely discolored","2010TBA.EVA.regular.comment.csv",11
"TBA201005240",20,"$Pedroia hit a foul ball behind the plate that was catchable; however, it struck one of the catwalks abobe the field and was a dead ball by the ground rule","2010TBA.EVA.regular.comment.csv",12
"TBA201005240",22,"Red Sox catcher Victor Martinez left the game due to an injured toe","2010TBA.EVA.regular.comment.csv",13
"TBA201005250",40,"ej,crawc002,P,davib902,Balls and strikes ej,maddj801,M,davib902,Balls and strikes $Rays left fielder Carl Crawford objected to the strike call on the first pitch; he and HP umpire Bob Davidson got face-to-face and started yelling at each other; Rays manager Joe Maddon came out and as he approached the two combatants, Crawford moved even closer to Davidson; Maddon tried to push his way in between the two and started arguing about the strike zone; both Crawford and Maddon touched Davidson, but it was difficult to tell who initiated the contact, as all three were loud and animated; both Crawford and Maddon were ejected by Davidson for arguing the strike zone, which had been going on all night from the Rays","2010TBA.EVA.regular.comment.csv",14
"TBA201005290",31,"Rays shortstop Jason Bartlett left the game due to an injured leg","2010TBA.EVA.regular.comment.csv",15
"TBA201005300",33,"White Sox third baseman Mark Teahen left the game due to an injured hand","2010TBA.EVA.regular.comment.csv",16
"TBA201006240",22,"Rays left fielder Carl Crawford left the game due to an injured shoulder","2010TBA.EVA.regular.comment.csv",17
"TBA201006240",56,"ej,maddj801,M,cedeg901,Balk call on Garza $2B umpire Gary Cederstrom called the balk; Rays manager Joe Maddon walked to the mound and pretended to talk to pitcher Matt Garza since he is not allowed to argue about the balk; Cederstrom yelled at Maddon 'Are you talking to your pitcher or not?' and Maddon got very demonstrative as he continued to yell about the balk; Cederstrom walked to the mound and listened briefly and then ejected Maddon, who then followed Cederstrom across the infield continuing to yell","2010TBA.EVA.regular.comment.csv",18
"TBA201006250",2,"$Carlos Pena fielded the grounder and threw to 2B for the first out; base runner Kelly Johnson turned and went back towards 1B on the throw and the return throw to 1B sailed past Pena; 1B umpire Tim McClelland called the batter, Stephen Drew, out because of the interference by Johnson near the 1B bag","2010TBA.EVA.regular.comment.csv",19
"TBA201006270",36,"$in the dugout between innings, Evan Longoria and B.J. Upton got into a heated argument and had to be separated by teammates; Longoria said something to Upton about his play on Rusty Ryal's triple","2010TBA.EVA.regular.comment.csv",20
"TBA201007060",26,"Red Sox first baseman Kevin Youkilis left the game due to a cramp in the right ankle joint capsule","2010TBA.EVA.regular.comment.csv",21
"TBA201007260",0,"$Matt Garza throws the first no-hitter in Rays history; he allowed one baserunner on a walk","2010TBA.EVA.regular.comment.csv",22
"TBA201007260",18,"ej,leylj801,M,fostm901,Call at 2B on steal $Tigers Manager Jim Leyland went to 2B to argue with umpire Marty Foster concerning the safe call on the steal; Leyland had been chewing on sunflower seeds and some came out of his mouth and hit Foster's shirt; Foster immediately ejected Leyland for spitting on him; Leyland exploded at the accusation and crew chief Gary Cederstrom had to intervene; Leyland was still mad about the accusation after the game; the Tigers had issues with this umpire crew earlier in the season","2010TBA.EVA.regular.comment.csv",23
"TBA201007270",2,"Rays center fielder B. J. Upton left the game due to an injured ankle","2010TBA.EVA.regular.comment.csv",24
"TBA201007280",30,"Rays right fielder Ben Zobrist left the game due to an injured back","2010TBA.EVA.regular.comment.csv",25
"TBA201007310",49,"Rays first baseman Carlos Pena left the game due to an injured foot","2010TBA.EVA.regular.comment.csv",26
"TBA201008020",1,"Debut game for Jeremy Hellickson","2010TBA.EVA.regular.comment.csv",27
"TBA201008160",42,"$the ball ended up in the shirt of Sean Rodriguez for a single","2010TBA.EVA.regular.comment.csv",28
