"NYA192204210",29,"$Frank Baker thought the ball had been dropped","FILENAME_TX","LINE_NUMBER_CT"
"NYA192204250",42,"reconstructed bottom 6 to end for NYA192204250","1922NYA.EVA.regular.comment.csv",2
"NYA192204280",67,"$Joe Harris called for interference at 2B","1922NYA.EVA.regular.comment.csv",3
"NYA192204290",92,"$Jack Quinn struck on right hand by line drive","1922NYA.EVA.regular.comment.csv",4
"NYA192204290",106,"$Waite Hoyt unhappy with orders to walk Elmer Smith","1922NYA.EVA.regular.comment.csv",5
"NYA192204290",112,"$Waite Hoyt and Yankees manager Miller Huggins have a short fight in the dugout so Huggins had Lefty O'Doul pinch hit for Hoyt","1922NYA.EVA.regular.comment.csv",6
"NYA192205010",56,"reconstructed 8th to end for NYA192205010","1922NYA.EVA.regular.comment.csv",7
"NYA192205020",7,"$infield in for Wally Pipp","1922NYA.EVA.regular.comment.csv",8
"NYA192205020",24,"ej,huggm101,M,walse101,Bench jockeying Yankees Manager Miller Huggins ejected by 3B umpire Ed Walsh","1922NYA.EVA.regular.comment.csv",9
"NYA192205020",37,"$Wally Schang's finger split by a foul ball","1922NYA.EVA.regular.comment.csv",10
"NYA192205020",49,"reconstructed from 6 to end for NYA192205020","1922NYA.EVA.regular.comment.csv",11
"NYA192205110",40,"$the fans got a good laugh when Wally Schang's throw hit White Sox 3B coach Johnny Evers on the back of the neck","1922NYA.EVA.regular.comment.csv",12
"NYA192205110",58,"$1B umpire Dick Nallin called Ray Schalk out and the White Sox argued; after confering HP umpire George Moriarty, Nallin reversed the ruling","1922NYA.EVA.regular.comment.csv",13
"NYA192205120",67,"ej,joneb103,P,morig101,Call at 1B Bob Jones ejected by 1B umpire George Moriarty; Jones thought Elmer Miller had been doubled up","1922NYA.EVA.regular.comment.csv",14
"NYA192205130",92,"pbp account ends here, rest deduced","1922NYA.EVA.regular.comment.csv",15
"NYA192205140",50,"$Carl Mays angry about the walk; he kicked the ball to the grandstand","1922NYA.EVA.regular.comment.csv",16
"NYA192205150",38,"$rain started falling fairly hard; the field was dark from low black clouds but lightning flashes illuminated the park","1922NYA.EVA.regular.comment.csv",17
"NYA192205150",45,"reconstructed bottom 6 to end for NYA192205150","1922NYA.EVA.regular.comment.csv",18
"NYA192205190",7,"$infield in for Wally Pipp","1922NYA.EVA.regular.comment.csv",19
"NYA192205200",0,"$Babe Ruth's 1922 debut after being suspended by Commissioner Landis for playing post-season games in 1921","1922NYA.EVA.regular.comment.csv",20
"NYA192205220",21,"$Jack Tobin running on the pitch and did not return to 1B","1922NYA.EVA.regular.comment.csv",21
"NYA192205250",24,"ej,ruthb101,P,hildg101,Call at 2B (Threw dirt) Babe Ruth ejected by 1B umpire George Hildebrand for throwing dirt which struck the arbiter on the shoulder; the crowd booed as Ruth reached the dugout and Ruth jumped into the reserved seats after one of the fans; the fan made a hasty exit upon seeing Ruth enter the stands; Ruth suspended one game","1922NYA.EVA.regular.comment.csv",22
"NYA192205250",37,"$a steady rain started to fall","1922NYA.EVA.regular.comment.csv",23
"NYA192205301",0,"$Memorial Day morning game","1922NYA.EVA.regular.comment.csv",24
"NYA192205301",62,"$Aaron Ward showed 1B umpire Dick Nallin where the ball was cut and threw it into the Yankee dugout; after Doc Johnston ran to 3B the Yankees argued; Nallin insisted he did not give Ward permission to throw out the ball","1922NYA.EVA.regular.comment.csv",25
"NYA192205302",0,"$Memorial Day afternoon game","1922NYA.EVA.regular.comment.csv",26
"NYA192205302",27,"$Bing Miller overslid 3B","1922NYA.EVA.regular.comment.csv",27
"NYA192205302",65,"$Cy Perkins overran 1B bluffing for 2B","1922NYA.EVA.regular.comment.csv",28
"NYA192206010",56,"ej,fewsc101,P,dinnb101,Bench jockeying Chick Fewster ejected by HP umpire Bill Dinneen","1922NYA.EVA.regular.comment.csv",29
"NYA192206030",51,"$Rain began falling very heavily","1922NYA.EVA.regular.comment.csv",30
"NYA192206030",60,"play,8,0,pratd101,??,,NP sub,murrg101,'George Murray',1,9,1 play,8,0,pratd101,??,,9 play,8,0,dugaj101,??,,7/L play,8,0,colls101,??,,W play,8,0,burng102,??,,S8.1-2 $after four batters in the top of the eighth, there was a long rain delay; eventually the game was called due to the rain; the statistics reverted to the end of the seventh","1922NYA.EVA.regular.comment.csv",31
"NYA192206040",46,"$Babe Ruth's fly ball went far over the RF roof between the third and fourth flagpoles","1922NYA.EVA.regular.comment.csv",32
"NYA192207020",34,"reconstructed 5 to end for NYA192207020","1922NYA.EVA.regular.comment.csv",33
"NYA192207090",119,"reconstructed bottom 13 in NYA192207090","1922NYA.EVA.regular.comment.csv",34
"NYA192207120",24,"$Hank Severeid ran Wally Schang back to 3B and tagged both runners","1922NYA.EVA.regular.comment.csv",35
"NYA192207120",42,"ej,fohll101,M,chilo901,Runner placement $Cedric Durst's throw bounded into the Browns' dugout and 1B umpire Ollie Chill allowed Bob Meusel to score; the Browns argued and the umpires huddled; Browns Manager Lee Fohl ejected by Chill, who gave the Browns 5 minutes to resume their positions or forfeit the game; total delay almost 25 minutes","1922NYA.EVA.regular.comment.csv",36
"NYA192207120",48,"ej,huggm101,M,connt901,Bench jockeying Yankees Manager Miller Huggins ejected by HP umpire Tommy Connolly","1922NYA.EVA.regular.comment.csv",37
"NYA192207120",67,"$infield in for George Sisler","1922NYA.EVA.regular.comment.csv",38
"NYA192207150",91,"$Bob Meusel stubbed his toe on Falk's hit","1922NYA.EVA.regular.comment.csv",39
"NYA192207170",13,"$Bibb Falk called for interference when Aaron Ward's throw struck Falk","1922NYA.EVA.regular.comment.csv",40
"NYA192207220",8,"$Bob Meusel's seventh consecutive hit","1922NYA.EVA.regular.comment.csv",41
"NYA192207230",78,"reconstructed top 9 in NYA192207230","1922NYA.EVA.regular.comment.csv",42
"NYA192208160",25,"$rain started to fall","1922NYA.EVA.regular.comment.csv",43
"NYA192208160",31,"$the rain came down harder","1922NYA.EVA.regular.comment.csv",44
"NYA192208160",37,"$more hard rain","1922NYA.EVA.regular.comment.csv",45
"NYA192208160",56,"$HP umpire George Hildebrand struck on the mask by a foul ball","1922NYA.EVA.regular.comment.csv",46
