"SLA192704150",41,"$Game called for rain","FILENAME_TX","LINE_NUMBER_CT"
"SLA192704180",36,"$Roger Peckinpaugh called for interference","1927SLA.EVA.regular.comment.csv",2
"SLA192704190",57,"$Wally Schang was trapped when Wally Gerber stopped at 3B","1927SLA.EVA.regular.comment.csv",3
"SLA192705040",52,"$Ike Eichrodt out on appeal for leaving 3B too soon","1927SLA.EVA.regular.comment.csv",4
"SLA192705110",70,"Missing bottom of 9th to end in SLA192705110 derived events follow","1927SLA.EVA.regular.comment.csv",5
"SLA192705140",9,"$Fred Schulte suffered a recurrence of his leg injury going to 1B","1927SLA.EVA.regular.comment.csv",6
"SLA192705160",21,"$onto the RF pavilion","1927SLA.EVA.regular.comment.csv",7
"SLA192705160",37,"$Frank O'Rourke dropped the popup; Sammy Hale ruled out on the infield fly; Al Simmons had started for 2B","1927SLA.EVA.regular.comment.csv",8
"SLA192705160",62,"ej,orouf101,P,mcgob901,Balls and strikes Frank O'Rourke ejected by HP umpire Bill McGowan","1927SLA.EVA.regular.comment.csv",9
"SLA192705160",74,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",10
"SLA192705160",75,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",11
"SLA192705170",48,"$Howard Ehmke deflected the throw out of Cy Perkins' reach","1927SLA.EVA.regular.comment.csv",12
"SLA192705180",47,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",13
"SLA192705180",83,"end of pbp accounts, rest deduced","1927SLA.EVA.regular.comment.csv",14
"SLA192705210",26,"$Buddy Myer called for obstruction for tripping George Sisler as the latter rounded 2B","1927SLA.EVA.regular.comment.csv",15
"SLA192705210",76,"pbp account ends here, rest deduced","1927SLA.EVA.regular.comment.csv",16
"SLA192705251",6,"$Harry McCurdy rounded 2B too far","1927SLA.EVA.regular.comment.csv",17
"SLA192705251",17,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",18
"SLA192705270",55,"$the throw struck Garland Buckeye","1927SLA.EVA.regular.comment.csv",19
"SLA192705291",28,"$the throw hit Harry Rice on the back","1927SLA.EVA.regular.comment.csv",20
"SLA192705291",71,"$Frank O'Rourke caught off 1B","1927SLA.EVA.regular.comment.csv",21
"SLA192705291",75,"missing event","1927SLA.EVA.regular.comment.csv",22
"SLA192705292",18,"$Frank O'Rourke injured on the double play last inning","1927SLA.EVA.regular.comment.csv",23
"SLA192707010",5,"$Bill Barrett out on appeal for leaving 2B too early","1927SLA.EVA.regular.comment.csv",24
"SLA192707010",79,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",25
"SLA192707010",97,"$onto the roof of RF pavilion","1927SLA.EVA.regular.comment.csv",26
"SLA192707020",13,"$missed squeeze","1927SLA.EVA.regular.comment.csv",27
"SLA192707020",50,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",28
"SLA192707020",77,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",29
"SLA192707020",80,"pbp account ends here, rest deduced","1927SLA.EVA.regular.comment.csv",30
"SLA192707050",78,"$on top of RF pavilion","1927SLA.EVA.regular.comment.csv",31
"SLA192707050",89,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",32
"SLA192707060",70,"$Fred Schulte ran into the concrete bleacher wall and fell heavily to the ground; he was carried off the field and taken to the hospital, suffering a badly bruised wrist and a possible skull fracture","1927SLA.EVA.regular.comment.csv",33
"SLA192707080",43,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",34
"SLA192707090",74,"pbp account ends here. Rest deduced","1927SLA.EVA.regular.comment.csv",35
"SLA192707110",17,"$over RF pavilion roof","1927SLA.EVA.regular.comment.csv",36
"SLA192707120",5,"$Herschel Bennett rounded 1B too far","1927SLA.EVA.regular.comment.csv",37
"SLA192707130",77,"$George Sisler's 8th straight hit","1927SLA.EVA.regular.comment.csv",38
"SLA192707150",70,"$the throw hit Jack Rothrock","1927SLA.EVA.regular.comment.csv",39
"SLA192707160",32,"$HP umpire Harry Geisel's left hand injured by a foul ball; he was treated and play resumed","1927SLA.EVA.regular.comment.csv",40
"SLA192707180",2,"ej,morer102,P,dinnb101,Called third strike Ray Morehart ejected by HP umpire Bill Dinneen","1927SLA.EVA.regular.comment.csv",41
"SLA192707180",24,"$Babe Ruth thought the ball would be caught","1927SLA.EVA.regular.comment.csv",42
"SLA192707180",37,"$George Pipgras dropped the ball","1927SLA.EVA.regular.comment.csv",43
"SLA192707180",92,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",44
"SLA192707211",26,"$Steve O'Neil's throw to 3B hit Goose Goslin on the arm; Goslin out for interference","1927SLA.EVA.regular.comment.csv",45
"SLA192707211",58,"ej,harrb106,M,nalld901,Call at HP Senators Manager Bucky Harris ejected by HP umpire Dick Nallin","1927SLA.EVA.regular.comment.csv",46
"SLA192707212",54,"the following events were lost: play,8,0,stews101,??,,S6/G play,8,0,speat101,??,,S8.1-3 play,8,0,judgj101,??,,4/P play,8,0,goslg101,??,,D7.3-H;1-H play,8,0,ruelm101,??,,7 play,8,0,rignt101,??,,D9.2-H play,8,0,reevb101,??,,S8.2-H play,8,0,hadlb101,??,,7/L play,8,1,gerbw101,??,,NP sub,millb110,'Bing Miller',1,8,11 play,8,1,millb110,??,,W play,8,1,gastm101,??,,K/C play,8,1,orouf101,??,,D/89.1-3 play,8,1,bennh102,??,,S9.3-H;2-H play,8,1,sislg101,??,,NP sub,braxg101,'Garland Braxton',0,9,1","1927SLA.EVA.regular.comment.csv",47
"SLA192707212",55,"$game called on account of darkness in bottom of the 8th inning; the Senators were ahead, 6-4 but the eighth inning plays were negated and the score reverted back to the 7th, a 2-2 tie","1927SLA.EVA.regular.comment.csv",48
"SLA192707221",11,"$over RF pavilion roof","1927SLA.EVA.regular.comment.csv",49
"SLA192707222",3,"$Sam Rice tried to score while Frank O'Rourke argued the decision at 2B","1927SLA.EVA.regular.comment.csv",50
"SLA192707222",73,"pbp account ends here, rest deduced","1927SLA.EVA.regular.comment.csv",51
"SLA192707230",84,"pbp account ends here, rest deduced","1927SLA.EVA.regular.comment.csv",52
"SLA192707240",69,"$After Speaker scored, he interfered with catcher and Goslin was called out for the interference after he appeared to score","1927SLA.EVA.regular.comment.csv",53
"SLA192708172",69,"Missing bottom of 9th to end in SLA192708172 derived plays follow","1927SLA.EVA.regular.comment.csv",54
