"BOS192405080",27,"$rain delay","FILENAME_TX","LINE_NUMBER_CT"
"BOS192405080",45,"30 minute rain delay","1924BOS.EVA.regular.comment.csv",2
"BOS192405140",0,"Weather: high wind","1924BOS.EVA.regular.comment.csv",3
"BOS192405170",59,"$Danny Clark pulled the Hidden ball trick on Roy Elsh","1924BOS.EVA.regular.comment.csv",4
"BOS192405240",0,"Weather: high wind","1924BOS.EVA.regular.comment.csv",5
"BOS192405240",36,"$Homer Summa's throw went through Glenn Myatt","1924BOS.EVA.regular.comment.csv",6
"BOS192406271",64,"May've been 54/SH...","1924BOS.EVA.regular.comment.csv",7
"BOS192406272",77,"pbp account ends here, rest deduced","1924BOS.EVA.regular.comment.csv",8
"BOS192406280",0,"$Everett Scott's 1,200th consecutive game played","1924BOS.EVA.regular.comment.csv",9
"BOS192406280",24,"$lost in the sun","1924BOS.EVA.regular.comment.csv",10
"BOS192406280",97,"$pitch out on squeeze attempt","1924BOS.EVA.regular.comment.csv",11
"BOS192407140",35,"$HP Umpire Red Ormsby struck on the Adam's Apple by a foul ball","1924BOS.EVA.regular.comment.csv",12
"BOS192407140",39,"umpchange,4,umphome,rowlp801 umpchange,4,ump3b,ormsr901 $HP Umpire Red Ormsby exchanged places with 3B Umpire Pants Rowland","1924BOS.EVA.regular.comment.csv",13
"BOS192407220",7,"$Bill Wambsganns rounded 3B too far","1924BOS.EVA.regular.comment.csv",14
"BOS192407230",46,"$lost in the sun","1924BOS.EVA.regular.comment.csv",15
"BOS192407240",51,"$Joe Shaute rounded 2B too far","1924BOS.EVA.regular.comment.csv",16
"BOS192408161",68,"pbp account ends here, rest deduced","1924BOS.EVA.regular.comment.csv",17
"BOS192408210",80,"$lost in the sun","1924BOS.EVA.regular.comment.csv",18
"BOS192408220",19,"$Chappie Geygan collided with Joe Sewell and was called for interference","1924BOS.EVA.regular.comment.csv",19
"BOS192409090",0,"Weather: high wind","1924BOS.EVA.regular.comment.csv",20
"BOS192409111",0,"Weather: chill wind","1924BOS.EVA.regular.comment.csv",21
"BOS192409260",60,"$Sam Rice's 31-game hitting streak ended","1924BOS.EVA.regular.comment.csv",22
"BOS192409300",66,"$48-year-old Coach Nick Altrock's 1st ML appearance in 5 years","1924BOS.EVA.regular.comment.csv",23
