"CHA193904230",3,"2-2 count","FILENAME_TX","LINE_NUMBER_CT"
"CHA193904270",26,"$Ball bounced off wall back to Kuhel.","1939CHA.EVA.regular.comment.csv",2
"CHA193904270",70,"$Greenberg let pop bunt drop to erase Kreevich.","1939CHA.EVA.regular.comment.csv",3
"CHA193904270",86,"bunt assumed","1939CHA.EVA.regular.comment.csv",4
"CHA193905020",50,"$Rosenthal lost triple in sun.","1939CHA.EVA.regular.comment.csv",5
"CHA193905030",38,"$Pick off after Dietrich missed bunt attempt.","1939CHA.EVA.regular.comment.csv",6
"CHA193905040",4,"$Balk when Case faked a steal of home.","1939CHA.EVA.regular.comment.csv",7
"CHA193905050",51,"$Ferrell injured by foul tip sometime in this inning","1939CHA.EVA.regular.comment.csv",8
"CHA193905070",0,"$Kuhel sat out due to bruised knee from Saturday. Silvestri out with a case of the grippe. Cloudburst delayed start 30 min. Drizzle for first 4 inn.","1939CHA.EVA.regular.comment.csv",9
"CHA193905080",0,"$Hayes out with a case of the grippe. American Association umpire Jocko Conlan, a former White Sox, watched the game.","1939CHA.EVA.regular.comment.csv",10
"CHA193905090",8,"$Walker fouled pitch and on follow-though his bat hit Dickey's L arm.","1939CHA.EVA.regular.comment.csv",11
"CHA193905090",49,"$Gallagher crashed into McNair. McNair's R ankle hurt so limping.","1939CHA.EVA.regular.comment.csv",12
"CHA193905090",50,"$When McNair hit ball, he fell to the ground.","1939CHA.EVA.regular.comment.csv",13
"CHA193905090",53,"Reconstructed last 3 innings from Trib and Times stories CHA193905090","1939CHA.EVA.regular.comment.csv",14
"CHA193905090",56,"$McNair could not continue.","1939CHA.EVA.regular.comment.csv",15
"CHA193905120",0,"$Kuhel still has hurt knee from last week. McNair still out with twisted ankle from Yankee game Tuesday","1939CHA.EVA.regular.comment.csv",16
"CHA193905120",10,"$Walker and Appling hit & run.","1939CHA.EVA.regular.comment.csv",17
"CHA193905120",49,"$Owen and Appling hit & run.","1939CHA.EVA.regular.comment.csv",18
"CHA193905120",64,"3-2 count on Keltner","1939CHA.EVA.regular.comment.csv",19
"CHA193905120",81,"ej,chapb102,P,basis901,Called third strike $Chapman was ejected by Basil for arguing pitches.","1939CHA.EVA.regular.comment.csv",20
"CHA193905130",26,"$Chapman struck on seat of his pants.","1939CHA.EVA.regular.comment.csv",21
"CHA193905130",32,"$Only 4th ball intentional.","1939CHA.EVA.regular.comment.csv",22
"CHA193905130",36,"$Keltner feigned catching Hudlin's pop bunt but trapped it. Grimes never left 1B.","1939CHA.EVA.regular.comment.csv",23
"CHA193905140",28,"$Owen's foul struck Feller's mother.","1939CHA.EVA.regular.comment.csv",24
"CHA193905140",34,"$Appling tried to steal 3B while Feller was holding ball.","1939CHA.EVA.regular.comment.csv",25
"CHA193905140",53,"$Short wild pitch. After Owen called out, a beer can was thrown from crowd. Fortunately empty.","1939CHA.EVA.regular.comment.csv",26
"CHA193905301",41,"$Kuhel hit on R foot.","1939CHA.EVA.regular.comment.csv",27
"CHA193906020",34,"3-2 count","1939CHA.EVA.regular.comment.csv",28
"CHA193906020",62,"$Bejma CS but not official CS in 1939 if safe on E.","1939CHA.EVA.regular.comment.csv",29
"CHA193906030",82,"ej,webbb101,C,mcgob901,Arguing balk call $Walker tried steal home and was safe when Giuliani could not hold ball after making tag.  Coach Webb argued with McGowan that P had balked and was ejected.","1939CHA.EVA.regular.comment.csv",30
"CHA193906041",7,"play,1,1,radcr101,??,,S/1.2-3","1939CHA.EVA.regular.comment.csv",31
