"NY1193604140",0,"Debut for umpire Lee Ballanfant $Mayor LaGuardia threw out first pitch"FILENAME_TX","LINE_NUMBER_CT"

"NY1193604140",76,"$Earnshaw fielded liner with his stomach"1936NY1.EVN.regular.comment.csv",2

"NY1193604150",14,"ej,mungv101,P,rearb901,Fighting ej,bartd101,P,rearb901,Fighting $Mungo bumped Bartell to ground.  Bartell started fight Mungo and Bartell ejected by Reardon"1936NY1.EVN.regular.comment.csv",3

"NY1193604160",82,"$On Lieber's fly SS and LF collide and ball falls for double."1936NY1.EVN.regular.comment.csv",4

"NY1193605160",40,"ej,dresc101,M,mageg901,Arguing pitcher threw spitballs ej,kellg101,C,mageg901,Arguing pitcher threw spitballs $Reds coach Kelly and Dressen ejected by HP umpire Magerkurth for arguing that Gumbert was throwing spitters"1936NY1.EVN.regular.comment.csv",5

"NY1193605200",4,"$Batter overran first"1936NY1.EVN.regular.comment.csv",6

"NY1193605200",35,"$2B dropped pop fly, but RF recovered and threw to SS"1936NY1.EVN.regular.comment.csv",7

"NY1193605282",52,"pbp account ends here, rest deduced"1936NY1.EVN.regular.comment.csv",8

"NY1193606160",9,"ej,kampa101,P,searz901,Call at 2B Alex Kampouris ejected by 3B umpire Ziggy Sears"1936NY1.EVN.regular.comment.csv",9

"NY1193606170",27,"$Alex Kampouris called for interference on steal attempt"1936NY1.EVN.regular.comment.csv",10

"NY1193606190",46,"$Castleman developed a pain in his left hip and retired"1936NY1.EVN.regular.comment.csv",11

"NY1193606200",27,"$While Terry was protesting Marting sliding into Whitehead, Medwick took send base, credited as stolen base"1936NY1.EVN.regular.comment.csv",12

"NY1193606210",41,"ej,frisf101,M,pineb101,Call at 1B $St. Louis manager Frisch ejected by 1b umpire Pinelli for arguing call on Moore at 1st; Frisch sat on bullpen bench in left-center until umpires saw him; an inning later he was ordered to close clubhouse door in center field because he giving signs to his dugout"1936NY1.EVN.regular.comment.csv",13

"NY1193606270",64,"play was recorded as 2E5"1936NY1.EVN.regular.comment.csv",14

"NY1193607261",77,"$Paul Derringer bluffed a throw to 1B"1936NY1.EVN.regular.comment.csv",15

"NY1193607262",69,"$onto the LF roof"1936NY1.EVN.regular.comment.csv",16

"NY1193607281",59,"ej,dresc101,M,barrg901,Call at 2B $Dick Bartell dropped the ball but Lew Riggs was called out; Reds Manager Chuck Dressen ejected by 3B umpire George Barr"1936NY1.EVN.regular.comment.csv",17

"NY1193607300",42,"Grimm ejected"1936NY1.EVN.regular.comment.csv",18

"NY1193608040",0,"Total attendance 8421.  Hot, very humid."1936NY1.EVN.regular.comment.csv",19

"NY1193608040",14,"$Lieber had gotten something in his eye and left the game."1936NY1.EVN.regular.comment.csv",20

"NY1193608050",32,"$Hit on his right arm."1936NY1.EVN.regular.comment.csv",21

"NY1193608050",63,"$Berger's arm was bothering him from being hit by a pitch in the fourth inning and left the game."1936NY1.EVN.regular.comment.csv",22

"NY1193608140",47,"$Phillies let bunt roll, hoping it would go foul, in the meantime, Whitehead went first to third"1936NY1.EVN.regular.comment.csv",23

"NY1193608190",58,"ej,stenc101,M,balll901,Interference non-call $Dodgers manager Stengel ejected by umpire for arguing that Ripple's home run had been touched by fan leaning over wall and should have been interference for 2 bases"1936NY1.EVN.regular.comment.csv",24

"NY1193609051",17,"Fitsimmons threw wildly to first.  Whitehead retrieved the ball and threw wildly to second."1936NY1.EVN.regular.comment.csv",25

"NY1193609051",20,"$G. Moore raced around to third but found MacFayden had stopped there.  MacFayden then tried to score but was thrown out at home as Bartell raced him to the plate and made a great dive to tag MacFayden."1936NY1.EVN.regular.comment.csv",26

"NY1193609092",35,"$Benny Frey called out on appeal for leaving 3B too soon"1936NY1.EVN.regular.comment.csv",27

"NY1193609131",27,"$Pippin held up and only went to third, but Moore kept going and was also at third; Garibaldi went into second, then retreated to first; the other two runners were out"1936NY1.EVN.regular.comment.csv",28

"NY1193609140",62,"$Heusser and Medwick started to fight in the SLN dugout"1936NY1.EVN.regular.comment.csv",29

