"CHA194904230",11,"$Tipton hurt thumb"FILENAME_TX","LINE_NUMBER_CT"

"CHA194904230",51,"$Kokos overslid third"1949.EDA.regular.comment.csv",2

"CHA194904230",55,"ej,onslj101,M,hubbc901,Call at 3B $White Sox Manager Jack Onslow ejected by 3B umpire Cal Hubbard"1949.EDA.regular.comment.csv",3

"CHA194909010",48,"$Squeeze"1949.EDA.regular.comment.csv",4

"CHA194909010",58,"$not double steal because Michaels only broke for the plate after the ball got away at second"1949.EDA.regular.comment.csv",5

"CHA194909010",60,"$Dente failed to hold throw at second"1949.EDA.regular.comment.csv",6

"SLA194907211",57,"$Pellagrini thought Moss would try to score and was caught between 2nd and 3rd and was tagged out; Fannin to second"1949.EDA.regular.comment.csv",7

"SLA194907211",58,"$Fannin had stopped at third so Dillinger tried for second and was retired, allowing Fannin to score, but no RBI"1949.EDA.regular.comment.csv",8

"CHA194907241",62,"$Throw on attempted DP hit runner"1949.EDA.regular.comment.csv",9

"CHA194907241",74,"$White hurt ankle sliding into home"1949.EDA.regular.comment.csv",10

"CHA194905081",64,"$Ground rule double when ball disappeared!"1949.EDA.regular.comment.csv",11

"CHA194906121",47,"$Double steal when catcher failed to ask for time"1949.EDA.regular.comment.csv",12

"CHA194906121",70,"$Plate umpire refused to let Souchock use same bat he homered with before, claiming it was 'loaded'"1949.EDA.regular.comment.csv",13

"DET194908130",42,"$Dillinger pulled muscle running out grounder in 4th inning and had to leave"1949.EDA.regular.comment.csv",14

"DET194904280",11,"End of pbp account, rest deduced"1949.EDA.regular.comment.csv",15

"DET194904280",58,"$Moss started home, but stopped when throw was cut off,  putting Pellagrini in a rundown; he escaped as the run scored, but there was no RBI"1949.EDA.regular.comment.csv",16

"DET194904270",16,"End of pbp account, rest deduced"1949.EDA.regular.comment.csv",17

"CHA194908262",3,"$Kress looked to second, but threw nowhere, so FC"1949.EDA.regular.comment.csv",18

"CHA194908262",20,"$Similar to first inning play, but single this time"1949.EDA.regular.comment.csv",19

"CHA194908262",23,"$Line drive off Kuzava's ribs; he was carried off field and to hospital, but no broken bones, only bad bruise"1949.EDA.regular.comment.csv",20

"SLA194905130",29,"$Busted squeeze play"1949.EDA.regular.comment.csv",21

"SLA194905152",8,"$Dillinger twisted and bruised his knee and Lollar was a courtesy runner; Dillinger left after 2 more innings"1949.EDA.regular.comment.csv",22

"SLA194905152",81,"ej,bartd101,C,hurle901,Heckling $Tiger coach Dick Bartell ejected from bench by plate umpire Hurley for arguing balls and strikes"1949.EDA.regular.comment.csv",23

"DET194905060",34,"pbp account from Evening Bulletin ends here, rest deduced"1949.EDA.regular.comment.csv",24

"DET194905060",63,"$22 minute rain delay as Trout entered"1949.EDA.regular.comment.csv",25

"DET194908141",38,"$Late throw to second"1949.EDA.regular.comment.csv",26

"DET194908142",11,"Yes, three men scored on single"1949.EDA.regular.comment.csv",27

"CHA194904262",90,"$Groth's doub;e hit the first base bag"1949.EDA.regular.comment.csv",28

"PHA194907260",42,"$Major League hit number 2000 for Moses"1949.EDA.regular.comment.csv",29

