"SLA195204202",0,"Suspend=19520526,,10,2,41"FILENAME_TX","LINE_NUMBER_CT"

"SLA195204202",19,"ej,richp101,M,romme101,Balk non-call $hite Sox mnager Richards ejected by HP umpire Rommel for arguing that Hudson was balking on throw to 1st"1952SLA.EVA.regular.comment.csv",2

"SLA195204202",20,"Debut game for Hal Hudson"1952SLA.EVA.regular.comment.csv",3

"SLA195204202",55,"Debut game for Darrell Johnson"1952SLA.EVA.regular.comment.csv",4

"SLA195204202",64,"umpchange,8,umphome,soarh901 umpchange,8,ump1b,mcgob901 umpchange,8,ump2b,(None) umpchange,8,ump3b,mckib901 suspended.19520526,STL07,protest $Game suspended and completed on 5/26; Browns owner Bill Veeck protested because the league assigned different umpires"1952SLA.EVA.regular.comment.csv",5

"SLA195205181",51,"DIFF: officials have Mantle ph"1952SLA.EVA.regular.comment.csv",6

"SLA195205252",32,"ej,lopea102,M,mcgob901,Called third strike Indians Manager Al Lopez ejected by HP umpire Bill McGowan"1952SLA.EVA.regular.comment.csv",7

"SLA195205260",0,"$Suspended game of 4/20 completed before this game"1952SLA.EVA.regular.comment.csv",8

"SLA195206140",0,"Ladies' Day crowd totalled 9469"1952SLA.EVA.regular.comment.csv",9

"SLA195206140",2,"Off RF screen"1952SLA.EVA.regular.comment.csv",10

"SLA195206140",47,"Byrne fumbled Rivera's throw. $Bevan broke his right leg and dislocated his right ankle while sliding home; out for season."1952SLA.EVA.regular.comment.csv",11

"SLA195206140",50,"Off LCF screen"1952SLA.EVA.regular.comment.csv",12

"SLA195206151",6,"$Fred Marsh fumbled the grounder, which was retrieved by Marty Marion; Dave Philley rounded 3B too far"1952SLA.EVA.regular.comment.csv",13

"SLA195206151",56,"$Rivera rounded 2nd too far and was trapped; not recorded as double play"1952SLA.EVA.regular.comment.csv",14

"SLA195206200",0,"Debut for umpire Grover Froese"1952SLA.EVA.regular.comment.csv",15

"SLA195206200",141,"$game called for curfew"1952SLA.EVA.regular.comment.csv",16

"SLA195206240",16,"$Irv Noren trapped off 2B but Darrell Johnson threw behind him"1952SLA.EVA.regular.comment.csv",17

"SLA195207271",39,"$Ted Lepcio hurt his knee sliding into 2B"1952SLA.EVA.regular.comment.csv",18

"SLA195207271",55,"$Gene Bearden overcome by the heat as he reached 3B was held up by 3B umpire Hank Soar"1952SLA.EVA.regular.comment.csv",19

"SLA195207272",0,"Protest=H"1952SLA.EVA.regular.comment.csv",20

"SLA195207272",2,"$over the pavillion roof"1952SLA.EVA.regular.comment.csv",21

"SLA195207272",72,"$Red Sox manager Lou Boudreau activated himself between games after Ted Lepcio was injured in the first game; there was a long discussion between Boudreau, Browns manager Marty Marion and the umpires as to whether Boudreau was an eligible player; the umpires allowed Boudreau to play, and Marion played the game under protest"1952SLA.EVA.regular.comment.csv",22

"SLA195207272",74,"$Bobby Young and Satchel Paige collided as both went to cover 1B; Young was still able to make the putout after the ball struck Paige"1952SLA.EVA.regular.comment.csv",23

"SLA195207300",76,"Debut game for Jay Porter"1952SLA.EVA.regular.comment.csv",24

"SLA195208031",10,"$Woodling came to bat out of turn instead of McDougald; he took one strike and then the mistake was discovered, so McDougald came to the plate with a one-strike count"1952SLA.EVA.regular.comment.csv",25

"SLA195208031",51,"Into LF bleachers"1952SLA.EVA.regular.comment.csv",26

"SLA195208032",37,"Into LF bleachers"1952SLA.EVA.regular.comment.csv",27

"SLA195208090",63,"pbp ends here, rest deduced for home team, visitors OK"1952SLA.EVA.regular.comment.csv",28

"SLA195208310",61,"$Neil Berry caught Vic Wertz with the hidden ball trick"1952SLA.EVA.regular.comment.csv",29

"SLA195209012",37,"game called for rain"1952SLA.EVA.regular.comment.csv",30

"SLA195209160",65,"$Mickey McDermott rounded 2B too far"1952SLA.EVA.regular.comment.csv",31

"SLA195209170",3,"$with this game meaningless, Red Sox manager Lou Boudreau gave George Schmees, an outfielder, a chance in his attempt to convert to a pitcher"1952SLA.EVA.regular.comment.csv",32

"SLA195209170",18,"$Joe DeMaestri's grounder deflected off of George Schmees' hand"1952SLA.EVA.regular.comment.csv",33

"SLA195209170",23,"$George Schmees left with hand injury"1952SLA.EVA.regular.comment.csv",34

"SLA195209170",65,"$Clint Courtney struck on the hand by a foul ball"1952SLA.EVA.regular.comment.csv",35

"SLA195209202",75,"Debut game for Ken Landenberger"1952SLA.EVA.regular.comment.csv",36

