"WS1192705020",15,"$Waite Hoyt called for interference for running out of the base line when Stuffy Stewart tried to tag him"FILENAME_TX","LINE_NUMBER_CT"

"WS1192705030",16,"$Ossie Bluege left with a charley horse"1927WS1.EVA.regular.comment.csv",2

"WS1192705040",3,"$Mark Koenig rounded 2B too far"1927WS1.EVA.regular.comment.csv",3

"WS1192707030",19,"$Urban Shocker twisted his ankle rounding 3B"1927WS1.EVA.regular.comment.csv",4

"WS1192707030",47,"$the ball struck a soda vendor on the field in fair territory and Goose Goslin, who had scored, was sent back to 3B; the umpires removed all vendors from the field"1927WS1.EVA.regular.comment.csv",5

"WS1192707030",49,"ej,thomm101,P,dinnb101,Balls and strikes Myles Thomas ejected by HP umpire Bill Dinneen"1927WS1.EVA.regular.comment.csv",6

"WS1192707262",52,"$Bobby Reeves rounded 2B too far"1927WS1.EVA.regular.comment.csv",7

"WS1192707262",72,"pbp account ends here, rest deduced"1927WS1.EVA.regular.comment.csv",8

"WS1192707270",63,"pbp account ends here, rest deduced"1927WS1.EVA.regular.comment.csv",9

"WS1192707300",33,"$picture in Washington Post shows that Judge was nearly forced at second base on Ruel's single"1927WS1.EVA.regular.comment.csv",10

"WS1192708020",0,"$Walter Johnson made ML debut 20 years ago today. Umpire Billy Evans worked Johnson's first game in 1907. Although injured Evans worked behing the plate a few innings in this game"1927WS1.EVA.regular.comment.csv",11

"WS1192708020",63,"ej,manuh101,P,ormsr901,Bench jockeying $Manush ejected by 3B umpire Ormsby for bench jockeying"1927WS1.EVA.regular.comment.csv",12

"WS1192708020",72,"Braxton replaced Johnson with 0-2 count on Wingo. Johnson is charged with the walk to McManus who batted for Wingo."1927WS1.EVA.regular.comment.csv",13

"WS1192708020",74,"Harris made a great play to hold runner on third base."1927WS1.EVA.regular.comment.csv",14

"WS1192708041",33,"$Tom Zachary turned his ankle rounding 1B"1927WS1.EVA.regular.comment.csv",15

"WS1192708041",33,"sub,marbf101,'Firpo Marberry',1,9,12 $Firpo Marberry a courtesy runner for Tom Zachary"1927WS1.EVA.regular.comment.csv",16

"WS1192708041",37,"sub,zacht101,Tom Zachary,1,9,1 $Tom Zachary returned after having his right ankle bandaged"1927WS1.EVA.regular.comment.csv",17

"WS1192708100",15,"$Bob Meusel juggled the ball; Goose Goslin started for 3B, stopped, then started again"1927WS1.EVA.regular.comment.csv",18

"WS1192708100",28,"ej,harrb106,P,rowlp801,Balls and strikes (Bumped umpire) Bucky Harris ejected by HP umpire Pants Rowland"1927WS1.EVA.regular.comment.csv",19

"WS1192708100",77,"$Washington owner Clark Griffith requested the league to remove umpire Pants Rowland for the rest of the series; in addition to declaring Rowland incompetent for calls in this game, Griffith also noted the mini riot from fans against Rowland after the game; the request was denied"1927WS1.EVA.regular.comment.csv",20

"WS1192708110",41,"$Babe Ruth threw his bat high in the air"1927WS1.EVA.regular.comment.csv",21

"WS1192708110",89,"$Mark Koenig threw the relay to the grandstand behind 3B"1927WS1.EVA.regular.comment.csv",22

"WS1192709190",51,"game called on account of rain"1927WS1.EVA.regular.comment.csv",23

