"SLN193804210",32,"$Vaughn intentionally drops the pop fly to force Bordagaray"FILENAME_TX","LINE_NUMBER_CT"

"SLN193804300",45,"$Carleton pulled muscle"1938SLN.EVN.regular.comment.csv",2

"SLN193805020",0,"Ladies' Day crowd totaled 10,313"1938SLN.EVN.regular.comment.csv",3

"SLN193805020",7,"$Herman purposely drops Medwicks liner to start DP"1938SLN.EVN.regular.comment.csv",4

"SLN193805020",46,"End of PBP; rest is deduced based on Chi Trib, St L Glb Dem"1938SLN.EVN.regular.comment.csv",5

"SLN193805020",60,"Need an out on the bases in this inning; don't know how"1938SLN.EVN.regular.comment.csv",6

"SLN193805040",9,"$Rain began to fall."1938SLN.EVN.regular.comment.csv",7

"SLN193805040",44,"ej,browj107,P,goetl901,HBP non-call (ruled a foul ball) Jimmy Brown ejected by HP umpire Larry Goetz claiming that he was struck by a pitched ball that Goetz ruled foul"1938SLN.EVN.regular.comment.csv",8

"SLN193805040",45,"$Official scorer ruled Bordagaray entered game so far behind in count (0-2) that Brown should be charged the AB."1938SLN.EVN.regular.comment.csv",9

"SLN193805040",47,"$A heavy rain shower made futher play impossible. Game called on account of rain."1938SLN.EVN.regular.comment.csv",10

"SLN193805050",36,"$Cooney was trapped off second."1938SLN.EVN.regular.comment.csv",11

"SLN193805050",39,"$Owen popped to shallow center.  DiMaggio dropped the ball on purpose and forced Pepper Martin at second."1938SLN.EVN.regular.comment.csv",12

"SLN193805050",40,"$Martin had pulled a leg muscle beating out his infield hit the previous inning."1938SLN.EVN.regular.comment.csv",13

"SLN193805060",64,"Johnson relieved Weiland with the count 1-0 on Scharein"1938SLN.EVN.regular.comment.csv",14

"SLN193805080",44,"$Warneke carried from field when line drive hits ankle."1938SLN.EVN.regular.comment.csv",15

"SLN193805080",50,"$SS Brown's throw hit Koy on head."1938SLN.EVN.regular.comment.csv",16

"SLN193805140",0,"Protest=X"1938SLN.EVN.regular.comment.csv",17

"SLN193805140",4,"$Ival Goodman rounded 2B too far"1938SLN.EVN.regular.comment.csv",18

"SLN193805140",47,"play changed to: play,6,0,cookd102,??,,HR/8.3-H(UR);1-H $the ball struck the facing of the upper deck and caromed back onto the field; it was ruled in play and Dusty Cooke reached 3B for a triple; the Reds protested the game, which was upheld; Cooke was awarded a home run by NL President Ford Frick; the game was replayed in its entirety on August 20"1938SLN.EVN.regular.comment.csv",19

"SLN193805140",54,"ej,rouse101,C,searz901,Called third strike Reds Coach Edd Roush ejected by HP umpire Ziggy Sears"1938SLN.EVN.regular.comment.csv",20

"SLN193805140",90,"$this home run ended the game as a 7-6 Cardinal victory but the game was declared a tie after Dusty Cooke's triple in the 6th was changed to a home run later"1938SLN.EVN.regular.comment.csv",21

"SLN193805150",6,"$the ball struck Billy Myers on the right knee"1938SLN.EVN.regular.comment.csv",22

"SLN193805150",8,"$Joe Medwick scored when Frank McCormick threw to 2B when Johnny Mize rounded the bag too far"1938SLN.EVN.regular.comment.csv",23

"SLN193805150",14,"$Billy Myers left with an injured right knee"1938SLN.EVN.regular.comment.csv",24

"SLN193805150",85,"$Don Gutteridge failed to catch the popup in short LF and Harry Craft tried to score after the drop"1938SLN.EVN.regular.comment.csv",25

"SLN193806020",51,"$Henshaw bumped Klein as he rounded first and Klein was awarded second on the obstruction"1938SLN.EVN.regular.comment.csv",26

"SLN193806030",103,"$Mulcahy entered the game with a 3-2 count on Owen"1938SLN.EVN.regular.comment.csv",27

"SLN193806040",57,"$Onto the pavilion roof."1938SLN.EVN.regular.comment.csv",28

"SLN193806100",36,"$Owen out on appeal for leaving first base too early"1938SLN.EVN.regular.comment.csv",29

"SLN193806110",0,"$Giants Manager Bill Terry complained there were 26 Cardinals in uniform; in addition to 2 coaches and 22 players were Orval Paul, one-arm batting practice pitcher, and Mike Roman, batting practice catcher; both men were ordered off the field"1938SLN.EVN.regular.comment.csv",30

"SLN193806110",35,"$Moore collided with concrete wall and KO'd.  He was carried from field."1938SLN.EVN.regular.comment.csv",31

"SLN193806110",43,"Reconstructed final two innings"1938SLN.EVN.regular.comment.csv",32

"SLN193806110",62,"$Game was called due to rain. Macon pitched for Cards in ninth but after Ripple single there was a deluge.  It ended quickly but field was unplayable so after about 30 minutes game was called and ninth wiped out."1938SLN.EVN.regular.comment.csv",33

"SLN193807041",36,"$Jurges barreled into shortstop who dropped ball after out was recorded and runner scored from second"1938SLN.EVN.regular.comment.csv",34

"SLN193807042",2,"$Yes, two base advance when no one covered third"1938SLN.EVN.regular.comment.csv",35

"SLN193807042",33,"ej,grimc101,M,morac102,Arguing non-call of hit by pitch $Chicago manager Grimm argued that Bryant had been hit by pitch and was ejected by plate umpire Moran"1938SLN.EVN.regular.comment.csv",36

"SLN193807140",57,"$Fette held second making sure fly was not caught."1938SLN.EVN.regular.comment.csv",37

