"BOS195104210",58,"Debut game for Ed Samcoff","FILENAME_TX","LINE_NUMBER_CT"
"BOS195104210",62,"Tom Wright left with a bruised elbow","1951BOS.EVA.regular.comment.csv",2
"BOS195104222",55,"Debut game for Lou Limmer","1951BOS.EVA.regular.comment.csv",3
"BOS195104222",62,"$game called for Sunday curfew at 6:30 PM","1951BOS.EVA.regular.comment.csv",4
"BOS195105160",9,"Debut game for Paul Hinrichs","1951BOS.EVA.regular.comment.csv",5
"BOS195105210",73,"$Harry Taylor swung at a pitch that was so wild it bounced into the seats","1951BOS.EVA.regular.comment.csv",6
"BOS195105220",58,"$Ted Gray rounded 3B too far","1951BOS.EVA.regular.comment.csv",7
"BOS195105230",79,"$Johnny Pesky fielded the ball and tossed it to Vern Stephens so Stephens could tie AL record of 10 assists by a 3rd baseman, set by Luke Appling three years ago","1951BOS.EVA.regular.comment.csv",8
"BOS195106130",61,"ej,hutcf101,P,stevj901,Balls and strikes $Ted Williams took a close pitch with two strikes that HP umpire Johnny Stevens called a ball; Dizzy Trout argued the call; Fred Hutchinson ejected by Stevens from the bench","1951BOS.EVA.regular.comment.csv",9
"BOS195106200",40,"ej,dropw101,P,hurle901,Called third strike Walt Dropo ejected by HP umpire Eddie Hurley","1951BOS.EVA.regular.comment.csv",10
"BOS195106220",24,"$over the 420 foot sign","1951BOS.EVA.regular.comment.csv",11
"BOS195106220",26,"missing fielders in BOS195106220 $infield shifted to right for Ted Williams","1951BOS.EVA.regular.comment.csv",12
"BOS195106220",27,"$Ted Williams bunted down the 3B line when the White Sox left 3B uncovered; the crowd gave Williams a loud ovation","1951BOS.EVA.regular.comment.csv",13
"BOS195106220",44,"$Joe DeMaestri fell down on his way to 2B","1951BOS.EVA.regular.comment.csv",14
"BOS195106230",23,"$the ball caromed off Ray Scarborough's glove to Bobby Doerr who threw into dugout","1951BOS.EVA.regular.comment.csv",15
"BOS195106241",53,"DIFF: officials give run to Goodman not Williams, as does NY Times box, scoresheet, Tribune story and Tribune box give run to Williams","1951BOS.EVA.regular.comment.csv",16
"BOS195106242",6,"$Minnie Minoso overslid 3B on apparent steal","1951BOS.EVA.regular.comment.csv",17
"BOS195106242",58,"$low liner off Dom DiMaggio's glove","1951BOS.EVA.regular.comment.csv",18
"BOS195106260",70,"$Joe Astroth rounded 2B too far","1951BOS.EVA.regular.comment.csv",19
"BOS195106270",22,"$Ray Scarborough was struck on the head by an attempted pick-off throw as he dove back into 1B","1951BOS.EVA.regular.comment.csv",20
"BOS195106270",23,"Debut game for Leo Kiely","1951BOS.EVA.regular.comment.csv",21
"BOS195106270",60,"$into the triangle in the deepest part of CF","1951BOS.EVA.regular.comment.csv",22
"BOS195107080",9,"$Joe DiMaggio pulled leg muscle sliding into 2B","1951BOS.EVA.regular.comment.csv",23
"BOS195107240",0,"$Red Sox coaches Earle Combs and Eddie Mayo managed the team as manager Steve O'Neill was away for his sister's funeral","1951BOS.EVA.regular.comment.csv",24
"BOS195107240",1,"$off Leo Kiely's ankle","1951BOS.EVA.regular.comment.csv",25
"BOS195107260",7,"Debut game for Bud Sheely","1951BOS.EVA.regular.comment.csv",26
"BOS195107310",0,"Protest=H","1951BOS.EVA.regular.comment.csv",27
"BOS195107310",40,"$Ned Garver fell between 1B and 2B, injuring his leg as he dove into 1B","1951BOS.EVA.regular.comment.csv",28
"BOS195107310",50,"$Red Sox manager Steve O'Neill argued that Satchel Paige was using an illegal motion and should be called for a balk; after a lengthy discussion, O'Neill protested the game","1951BOS.EVA.regular.comment.csv",29
"BOS195107310",50,"$as Walt Dropo came to bat, 2B umpire Bill McGowan cautioned Satchell Paige about his pitching motion; another long discussion ensued with both managers and all umpires taking part","1951BOS.EVA.regular.comment.csv",30
"BOS195107310",72,"$Billy Goodman cut off Clyde Vollmer's throw from the outfield and threw the ball in CF","1951BOS.EVA.regular.comment.csv",31
"BOS195108030",6,"$Jerry Priddy flipped the ball to Johnny Lipon, who threw it away","1951BOS.EVA.regular.comment.csv",32
"BOS195108030",67,"56 minute rain delay","1951BOS.EVA.regular.comment.csv",33
"BOS195108040",45,"$Bud Souchock called for interference when he crashed into Billy Goodman attempting to field the ball; Goodman injured his right knee on the play and limped off the field","1951BOS.EVA.regular.comment.csv",34
"BOS195108040",49,"$Billy Goodman left with an injured knee","1951BOS.EVA.regular.comment.csv",35
"BOS195108091",49,"$Morrie Martin left with a pulled muscle in his hip","1951BOS.EVA.regular.comment.csv",36
"BOS195108110",22,"$Irv Noren slid head first into 2B, broke his jaw and lost 4 teeth","1951BOS.EVA.regular.comment.csv",37
"BOS195108121",52,"E4 inserted, must be checked","1951BOS.EVA.regular.comment.csv",38
"BOS195109140",14,"Debut game for Bob Nieman","1951BOS.EVA.regular.comment.csv",39
"BOS195109150",0,"the game started a half hour early due to a threat of rain","1951BOS.EVA.regular.comment.csv",40
"BOS195109170",11,"triple probably wrong according to the rules","1951BOS.EVA.regular.comment.csv",41
"BOS195109170",12,"$Walt Dropo fell down between 3B and HP","1951BOS.EVA.regular.comment.csv",42
"BOS195109230",61,"Debut game for Norm Zauchin","1951BOS.EVA.regular.comment.csv",43
"BOS195109230",80,"Debut game for Al Richter","1951BOS.EVA.regular.comment.csv",44
"BOS195109230",81,"Debut game for Bob DiPietro","1951BOS.EVA.regular.comment.csv",45
