"SLN193204140",73,"Bottom of 9th deduced","FILENAME_TX","LINE_NUMBER_CT"
"SLN193204170",0,"This was Tex Carleton's major-league debut","1932SLN.EVN.regular.comment.csv",2
"SLN193205030",60,"$Clyde Manion left with injured finger from foul ball","1932SLN.EVN.regular.comment.csv",3
"SLN193205050",84,"Reconstructed bottom of 9th from box score.","1932SLN.EVN.regular.comment.csv",4
"SLN193205060",39,"$Eddie Delker fell and cut a finger on broken glass","1932SLN.EVN.regular.comment.csv",5
"SLN193205060",75,"Reconstructed bottom of 9th from box score.","1932SLN.EVN.regular.comment.csv",6
"SLN193205120",29,"$Harry McCurdy made wild return throw to pitcher","1932SLN.EVN.regular.comment.csv",7
"SLN193205120",42,"$Roy Pepper caught in rundown on double steal so George Watkins tried to score","1932SLN.EVN.regular.comment.csv",8
"SLN193205130",95,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",9
"SLN193205170",24,"$Sparky Adams left with injured right knee","1932SLN.EVN.regular.comment.csv",10
"SLN193205170",42,"ej,wilsj105,P,quige901,Balk non-call Jimmie Wilson ejected by HP umpire Ernie Quigley","1932SLN.EVN.regular.comment.csv",11
"SLN193205200",71,"Reconstructed bottom of 9th from box score.","1932SLN.EVN.regular.comment.csv",12
"SLN193206250",0,"$This was the first game in which the Cardinals wore uniform numbers","1932SLN.EVN.regular.comment.csv",13
"SLN193206250",24,"ej,streg101,M,quige901,Call at 1B Cardinals Manager Gabby Street ejected by 1B umpire Ernie Quigley","1932SLN.EVN.regular.comment.csv",14
"SLN193206261",45,"$Martin out when he rounded 3rd too far; double was off the 2bman into short outfield","1932SLN.EVN.regular.comment.csv",15
"SLN193206262",46,"$Bottomley hurt thumb on the Cuyler pickoff","1932SLN.EVN.regular.comment.csv",16
"SLN193206270",33,"rain began falling","1932SLN.EVN.regular.comment.csv",17
"SLN193206270",60,"ej,frisf101,P,quige901,Call at 1B Frankie Frisch ejected by 1B umpire Ernie Quigley","1932SLN.EVN.regular.comment.csv",18
"SLN193206270",67,"Reconstructed top of 9th from box score.","1932SLN.EVN.regular.comment.csv",19
"SLN193207041",25,"$3bman and pitcher collide, Derringer left with injured knee","1932SLN.EVN.regular.comment.csv",20
"SLN193207042",14,"$Pitcher slipped making throw to plate","1932SLN.EVN.regular.comment.csv",21
"SLN193207042",105,"$Game called for darkness","1932SLN.EVN.regular.comment.csv",22
"SLN193207050",59,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",23
"SLN193207070",37,"$a fan interfered with potential home run","1932SLN.EVN.regular.comment.csv",24
"SLN193207080",0,"$Additional 7300 ladies in attendance","1932SLN.EVN.regular.comment.csv",25
"SLN193207090",74,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",26
"SLN193207120",67,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",27
"SLN193207140",76,"$Adams injured knee evading inside pitch.","1932SLN.EVN.regular.comment.csv",28
"SLN193207150",2,"off ss glove","1932SLN.EVN.regular.comment.csv",29
"SLN193207150",7,"smash off rf screen","1932SLN.EVN.regular.comment.csv",30
"SLN193207150",12,"ss drop easy popup","1932SLN.EVN.regular.comment.csv",31
"SLN193207150",24,"$c drop popup, hitter not run, p recover for out","1932SLN.EVN.regular.comment.csv",32
"SLN193207150",30,"off rf pavilion roof","1932SLN.EVN.regular.comment.csv",33
"SLN193207150",31,"off rf pavilion roof","1932SLN.EVN.regular.comment.csv",34
"SLN193207150",33,"good stop","1932SLN.EVN.regular.comment.csv",35
"SLN193207150",39,"over 3b head","1932SLN.EVN.regular.comment.csv",36
"SLN193207150",53,"off rf pavilion roof","1932SLN.EVN.regular.comment.csv",37
"SLN193207150",55,"off rf pavilion roof","1932SLN.EVN.regular.comment.csv",38
"SLN193207150",58,"tap","1932SLN.EVN.regular.comment.csv",39
"SLN193208141",5,"ej,streg101,M,quige901,Call at 2B Cardinal manager Street ejected by 1b umpire Quigley for arguing call on caught stealing","1932SLN.EVN.regular.comment.csv",40
"SLN193208142",9,"CS is a guess.  Last out by Frisch on bases.","1932SLN.EVN.regular.comment.csv",41
"SLN193208142",14,"CS is a guess.  Bottomley out on bases.","1932SLN.EVN.regular.comment.csv",42
"SLN193208142",24,"PB could be anywhere while Hemsley catching","1932SLN.EVN.regular.comment.csv",43
"SLN193208142",28,"p picked off runner, 1b low throw by 2b","1932SLN.EVN.regular.comment.csv",44
"SLN193208142",47,"uncertain exactly when Hartnett took over","1932SLN.EVN.regular.comment.csv",45
"SLN193208142",63,"CS is a guess.  Herman out on bases.","1932SLN.EVN.regular.comment.csv",46
"SLN193208142",67,"WP could be anywhere.","1932SLN.EVN.regular.comment.csv",47
"SLN193208142",73,"$Hit on right elbow","1932SLN.EVN.regular.comment.csv",48
"SLN193208181",48,"$Eddie Delker left with injured leg","1932SLN.EVN.regular.comment.csv",49
"SLN193208182",7,"Mallon missed force-out throw allowing Reese to score.","1932SLN.EVN.regular.comment.csv",50
"SLN193208182",18,"$Stout out when ball bounced up and hit his bat in fair  territory","1932SLN.EVN.regular.comment.csv",51
"SLN193208182",41,"Ball hit high off the wall.","1932SLN.EVN.regular.comment.csv",52
"SLN193208190",14,"Orsatti missed his attempt for a shoe-string catch.","1932SLN.EVN.regular.comment.csv",53
"SLN193208190",23,"Ball hit off the screen.","1932SLN.EVN.regular.comment.csv",54
"SLN193208190",36,"Ball landed on the pavilion roof.","1932SLN.EVN.regular.comment.csv",55
"SLN193208190",74,"Holley beat the throw to second base.","1932SLN.EVN.regular.comment.csv",56
"SLN193208190",95,"Bartell had his foot off the bag on force-out play.","1932SLN.EVN.regular.comment.csv",57
"SLN193208200",31,"$George Watkins scored while Rabbit Maranville held the ball; Pinky Hargrave left with injured ankle","1932SLN.EVN.regular.comment.csv",58
"SLN193208200",53,"ej,streg101,M,quige901,Balls and strikes Cardinals Manager Gabby Street ejected by HP umpire Ernie Quigley","1932SLN.EVN.regular.comment.csv",59
"SLN193208221",55,"$Jordan escaped rundown.","1932SLN.EVN.regular.comment.csv",60
"SLN193208221",70,"$Ball hit umpire Quigley","1932SLN.EVN.regular.comment.csv",61
"SLN193208222",41,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",62
"SLN193208230",67,"$Maranville didn't try to bunt ball on suicide squeeze. Balance of game from St. Louis Globe-Democrat.","1932SLN.EVN.regular.comment.csv",63
"SLN193208230",72,"Cantwell entered with 3-0 count on Flowers.","1932SLN.EVN.regular.comment.csv",64
"SLN193208240",59,"$Charlie Gelbert left with a charley horse","1932SLN.EVN.regular.comment.csv",65
"SLN193208240",70,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",66
"SLN193208250",80,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",67
"SLN193208260",63,"pbp account ends here, rest deduced","1932SLN.EVN.regular.comment.csv",68
"SLN193208270",66,"$Joe Stripp left with stiff neck","1932SLN.EVN.regular.comment.csv",69
"SLN193208270",68,"ej,stenc101,C,donnc901,Balls and strikes Dodgers Coach Casey Stengel ejected by HP umpire Charles Donnelly after first pitch to Frank Frisch","1932SLN.EVN.regular.comment.csv",70
"SLN193208281",15,"$Pepper Martin called for interference for running into his own batted ball","1932SLN.EVN.regular.comment.csv",71
"SLN193208282",73,"$Dizzy Dean left with a twisted ankle","1932SLN.EVN.regular.comment.csv",72
"SLN193209252",20,"$Padden rounded third too far","1932SLN.EVN.regular.comment.csv",73
