"BSN194204170",0,"582 servicemen guests"FILENAME_TX","LINE_NUMBER_CT"

"BSN194204170",7,"Over the fence in dead CF"1942BSN.EVN.regular.comment.csv",2

"BSN194204170",23,"Into the Jury Box"1942BSN.EVN.regular.comment.csv",3

"BSN194204170",27,"Demaree: good play"1942BSN.EVN.regular.comment.csv",4

"BSN194204170",30,"ej,jurgb101,P,searz901,Call at 1B ej,ott-m101,M,searz901,Call at 1B ej,schuh103,P,searz901,Call at 1B $Schumacher, Jurges and Ott ejected by 1B umpire Sears on non-out call at first"1942BSN.EVN.regular.comment.csv",5

"BSN194204170",44,"Hit an upright in front of the Jury Box"1942BSN.EVN.regular.comment.csv",6

"BSN194204170",51,"Waner: diving catch"1942BSN.EVN.regular.comment.csv",7

"BSN194204170",61,"Cooney: great running catch"1942BSN.EVN.regular.comment.csv",8

"BSN194204170",68,"Gremp: nice scoop of Lombardi's low throw"1942BSN.EVN.regular.comment.csv",9

"BSN194204180",14,"$Lombardi reached into the boxes to snare the pop up."1942BSN.EVN.regular.comment.csv",10

"BSN194204180",64,"$Danning collided with Carpenter after fielding the ball."1942BSN.EVN.regular.comment.csv",11

"BSN194204190",5,"Off RF screen"1942BSN.EVN.regular.comment.csv",12

"BSN194204190",17,"Fernandez: great play"1942BSN.EVN.regular.comment.csv",13

"BSN194204190",20,"Ott: tricky catch"1942BSN.EVN.regular.comment.csv",14

"BSN194204190",37,"Hit & run"1942BSN.EVN.regular.comment.csv",15

"BSN194204190",45,"Jurges: leaping stab"1942BSN.EVN.regular.comment.csv",16

"BSN194204190",52,"$Ump Stewart ruled Fernandez interfered with Jurges' throw to 1B."1942BSN.EVN.regular.comment.csv",17

"BSN194204220",0,"1124 servicemen also attended"1942BSN.EVN.regular.comment.csv",18

"BSN194204220",15,"$Sullivan caught it hanging over the Dodger dugout railing"1942BSN.EVN.regular.comment.csv",19

"BSN194204220",17,"Reese: nice grab"1942BSN.EVN.regular.comment.csv",20

"BSN194204220",70,"Off Reese's glove"1942BSN.EVN.regular.comment.csv",21

"BSN194204220",71,"Scooted through Reiser's legs"1942BSN.EVN.regular.comment.csv",22

"BSN194204220",88,"Hit & run"1942BSN.EVN.regular.comment.csv",23

"BSN194205101",49,"$West appeared to homer, but 3B umpire Magerkurth had called time because a ball had gotten loose from the Phillies bullpen, so West was called back to bat again"1942BSN.EVN.regular.comment.csv",24

"BSN194205150",25,"$Javery dropped Moore's pop up but got the force at third. Bunt was assumed, since otherwise the infield fly rule would have been in effect, eliminating the force."1942BSN.EVN.regular.comment.csv",25

"BSN194205150",47,"pbp account ends here, rest deduced"1942BSN.EVN.regular.comment.csv",26

"BSN194205160",80,"pbp account ends here, rest deduced $Hidden ball trick by West. Braves were much amused by this as Crespi was notorious for trying the hidden ball trick,  always without success."1942BSN.EVN.regular.comment.csv",27

"BSN194205170",30,"rain started"1942BSN.EVN.regular.comment.csv",28

"BSN194205130",33,"last two plays really one continuous action, but must be entered separately for now"1942BSN.EVN.regular.comment.csv",29

"BSN194205260",22,"$Fernandez hit on left elbow"1942BSN.EVN.regular.comment.csv",30

"BSN194206171",43,"$Marshall rounded second too far"1942BSN.EVN.regular.comment.csv",31

"BSN194206190",44,"Paul Waner's 3,000 career hit"1942BSN.EVN.regular.comment.csv",32

"BSN194206190",78,"ej,frisf101,M,dunnt901,Balls and strikes $Pirate manager Frisch ejected by HP umpire Dunn for arguing balls and strikes"1942BSN.EVN.regular.comment.csv",33

"BSN194206190",86,"ej,gornh101,P,dunnt901,Balls and strikes $Pirate Gornicki, not in game, ejected by HP umpire Dunn for arguing balls and strike"1942BSN.EVN.regular.comment.csv",34

"BSN194206200",20,"$High hopper, Holmes out trying to score from first."1942BSN.EVN.regular.comment.csv",35

