"NY1193904210",62,"ej,ott-m101,P,stewb901,Called third strike $Ott ejected by Stewart for arguing his K."FILENAME_TX","LINE_NUMBER_CT"

"NY1193904210",76,"Reconstructed home 9th from NY1193904210 from newspaper $Umpire Starks couldn't work due to knee he injured in Dodger opening day. $Mayor LaGaurdia threw out first pitch despite having no days of rest since he did the same at Yankee opener."1939NY1.EVN.regular.comment.csv",2

"NY1193904220",42,"$Myatt dropped the pop but Jurges picked up."1939NY1.EVN.regular.comment.csv",3

"NY1193905020",49,"$Seeds ducked pitch that hit his bat."1939NY1.EVN.regular.comment.csv",4

"NY1193905060",30,"Demaree held 1B"1939NY1.EVN.regular.comment.csv",5

"NY1193905060",42,"$Cards argued Danning had swung for strike 3. Mgr. Blades went to Pinelli to change decision w/o success."1939NY1.EVN.regular.comment.csv",6

"NY1193905060",52,"$Medwick lay on ground after slide but eventually continued."1939NY1.EVN.regular.comment.csv",7

"NY1193905060",69,"Pepper PA missing from pbp."1939NY1.EVN.regular.comment.csv",8

"NY1193905060",75,"Reconstructed last half inning NY1193905060."1939NY1.EVN.regular.comment.csv",9

"NY1193905070",17,"$Danning was backing up and would have held Russell at 1B but before he reached ball a fan touched it."1939NY1.EVN.regular.comment.csv",10

"NY1193905080",7,"$Gleeson caromed a hit off Schumacher's L forearm."1939NY1.EVN.regular.comment.csv",11

"NY1193905080",11,"$Cavarretta broke his R ankle sliding into 2B."1939NY1.EVN.regular.comment.csv",12

"NY1193905080",27,"$Many Cubs argued Reynolds was safe."1939NY1.EVN.regular.comment.csv",13

"NY1193905080",38,"$Bartell intentionally let Bonura's pop drop."1939NY1.EVN.regular.comment.csv",14

"NY1193905080",61,"$Huge ovation as Hubbell went to mound."1939NY1.EVN.regular.comment.csv",15

"NY1193905090",30,"ej,deand102,P,stewb901,Bench jockeying $Dean ejected from bench by Stewart. Why? NY Times says Dean was carping on pitches to Demaree. Chi. Tribune Times says Dean was verbally abusing Demaree."1939NY1.EVN.regular.comment.csv",16

"NY1193905090",31,"Demaree out 43 per 343."1939NY1.EVN.regular.comment.csv",17

"NY1193905090",35,"Herman hit T per 343."1939NY1.EVN.regular.comment.csv",18

"NY1193905090",47,"Russell hit W per 343."1939NY1.EVN.regular.comment.csv",19

"NY1193905090",55,"Reynolds out 46 per 343."1939NY1.EVN.regular.comment.csv",20

"NY1193905090",58,"343 pbp ends here"1939NY1.EVN.regular.comment.csv",21

"NY1193905090",64,"270 ends here NY1193905090 Reconstructed last 3 innings NY1193905090"1939NY1.EVN.regular.comment.csv",22

"NY1193905120",0,"$Ladies Day. Total attendance 12,441."1939NY1.EVN.regular.comment.csv",23

"NY1193905120",59,"$Arnovich was struck on head, fell to ground, but continued."1939NY1.EVN.regular.comment.csv",24

"NY1193905120",75,"Reconstructed home eighth on NY1193905120"1939NY1.EVN.regular.comment.csv",25

"NY1193905301",33,"$Hutchinson in after WP.  Walk charged to Tamulis."1939NY1.EVN.regular.comment.csv",26

"NY1193905310",6,"$Danning threw the ball into CF when he saw Leo go for 2B."1939NY1.EVN.regular.comment.csv",27

"NY1193905310",42,"$Jurges bunt was on a line to Camilli who intentionally dropped the ball to start DP."1939NY1.EVN.regular.comment.csv",28

"NY1193906010",62,"ej,whitb101,P,campb901,Call at 2B (Threw hat) ej,demaf102,P,campb901,Call at 2B $Whitehead and Demaree ejected by Campbell arguing Mize was out stretching his single. On hearing the safe call, Whitehead threw ball to ground and his cap into air."1939NY1.EVN.regular.comment.csv",29

"NY1193906010",64,"$Salvo was throwing to 3B but Lazzeri did not cover so Salvo threw late and low to Kampy at 1B."1939NY1.EVN.regular.comment.csv",30

"NY1193906020",0,"$Ladies Day total attendance 12,194."1939NY1.EVN.regular.comment.csv",31

"NY1193906020",38,"2-0 count"1939NY1.EVN.regular.comment.csv",32

"NY1193906020",41,"$Brown purposely dropped Jurges' pop to force Moore out."1939NY1.EVN.regular.comment.csv",33

"NY1193906030",15,"CC4: 412 had K here "1939NY1.EVN.regular.comment.csv",34

"NY1193906030",67,"$Pepper Martin injured L wrist sliding head first into 3B."1939NY1.EVN.regular.comment.csv",35

"NY1193906030",72,"reconstructed top ninth NY1193906030"1939NY1.EVN.regular.comment.csv",36

"NY1193906050",44,"$HP umpire Dolly Stark struck on the knee by a foul ball"1939NY1.EVN.regular.comment.csv",37

"NY1193906050",45,"umpchange,5,umphome,mageg901 umpchange,5,ump1b,stewb901 umpchange,5,ump3b,(None) $HP umpire Dolly Stark left with an injured knee; 1B umpire George Magegkurth moved to HP and 3B umpire Bill Stewart moved to 1B; 7 minute delay"1939NY1.EVN.regular.comment.csv",38

"NY1193906060",62,"$ball lost in the sun"1939NY1.EVN.regular.comment.csv",39

"NY1193906070",62,"$Bartell safe because Whitehead didn't cover 1B."1939NY1.EVN.regular.comment.csv",40

"NY1193906070",71,"Reconstructed last 2 half-innings NY1193906070"1939NY1.EVN.regular.comment.csv",41

"NY1193906080",0,"$Members of Jersey City Giants attended the ball game. Bartell was presented a diamond ring by 76-year-old ex-Oriole John Upton on behalf of Bartell's friends in NY."1939NY1.EVN.regular.comment.csv",42

"NY1193906080",11,"$Reynolds complained his bat was tipped by C on third strike and Goetz motioned him to 1B.Terry protested and went to Reardon and Pinelli. The 3 umps conferred and ruled Reynolds out."1939NY1.EVN.regular.comment.csv",43

"NY1193906080",58,"$Brown hit the ball but his swing continued into Gabby's toe. Herman fumbled the ball and Brown would have been safe but Brown was still at home plate apologizing to Gabby."1939NY1.EVN.regular.comment.csv",44

"NY1193906090",0,"$Ladies Day total attendance 13,198"1939NY1.EVN.regular.comment.csv",45

"NY1193906090",72,"Reconstructed last 2 innings NY1193906090"1939NY1.EVN.regular.comment.csv",46

"NY1193906100",9,"$Rizzo made glittering catch but hurt himself."1939NY1.EVN.regular.comment.csv",47

"NY1193906112",0,"Translator found s/s used uniform #s rather than 43,9,etc. many boxes were unclear he says. $NY Times reported fans presented overnight bag to Tobin between games."1939NY1.EVN.regular.comment.csv",48

"NY1193906112",18,"$Whitehead ripped the nail off his R index finger and left game."1939NY1.EVN.regular.comment.csv",49

"NY1193906112",50,"translator not sure order of Es"1939NY1.EVN.regular.comment.csv",50

"NY1193906112",53,"could be 63 was fo or fc 64 /65"1939NY1.EVN.regular.comment.csv",51

"NY1193906112",57,"53 could be 5u"1939NY1.EVN.regular.comment.csv",52

"NY1193906112",65,"could be FO was not at second or out was at first"1939NY1.EVN.regular.comment.csv",53

"NY1193906270",60,"$Marty and Arnovich collided but Marty held onto the ball."1939NY1.EVN.regular.comment.csv",54

"NY1193906280",0,"$Girl gymnasts from Stocholm's Sofia Public School. Ernie Viberg of Giant staff had attended that school."1939NY1.EVN.regular.comment.csv",55

"NY1193906280",1,"$Mueller fouled a ball off his foot and had to be carried off."1939NY1.EVN.regular.comment.csv",56

"NY1193906280",15,"$Lohrman hit in the ribs."1939NY1.EVN.regular.comment.csv",57

"NY1193906280",18,"$NY Times reported 2Bman on bag but P threw to SS 10 feet off."1939NY1.EVN.regular.comment.csv",58

"NY1193906290",79,"Reconstructed ninth using NYT story NY1193906290 $Ninth inning played despite rain."1939NY1.EVN.regular.comment.csv",59

"NY1193907010",31,"$Coscarart rounded first and was caught in rundown during which Moore tried to score and was thrown out"1939NY1.EVN.regular.comment.csv",60

"NY1193907010",39,"$Danning hit an apparent single to left, but Danning missed third base and was out on appeal"1939NY1.EVN.regular.comment.csv",61

"NY1193907022",32,"ej,bonuz101,P,pineb101,Fight with Leo Durocher ej,durol101,P,pineb101,Fight with Zeke Bonura $Bonura thought Leo purposely stepped on Zeke's foot. Bonura caught up with Leo in short RF and they fought. Bonura and Durocher were both ejected by ump Pinelli. Fans showered field with pop bottles."1939NY1.EVN.regular.comment.csv",62

"NY1193907150",66,"ej,dannh101,P,balll901,Fair/foul call ej,moorj103,P,searz901,Fair/foul call ej,jurgb101,P,balll901,Fair/foul call (Punched umpire) $the low line drive down the LF line was ruled fair by HP umpire Lee Ballanfant; the Giants argued; Harry Danning was ejected by Ballanfant; players went to 3B umpire Ziggy Sears standing at 2B; Sears did not offer an opinion on the call; Jo-jo Moore ejected by Sears; 1B umpire George Magerkurth went to HP to assist Ballanfant; Magerkurth and Billy Jurges started arguing and then exchanged punches; Jurges ejected by Ballanfant; pitcher Hal Schumacher played CF"1939NY1.EVN.regular.comment.csv",63

"NY1193907170",22,"$Ripple appeared to hurt himself and Giants went to assist him.  Ripple stayed in game."1939NY1.EVN.regular.comment.csv",64

"NY1193907170",36,"$Medwick hit on leg and had to leave game."1939NY1.EVN.regular.comment.csv",65

"NY1193907170",68,"$Chiozza and Moore collided on pop.  Chiozza left field on stretcher and it was reported he had broken L arm and L leg."1939NY1.EVN.regular.comment.csv",66

"NY1193907180",56,"$Throw from OF hit Whitehead below R knee.  After few minutes Whitehead was able to continue."1939NY1.EVN.regular.comment.csv",67

"NY1193907190",5,"Conjecture"1939NY1.EVN.regular.comment.csv",68

"NY1193907190",15,"Conjecture"1939NY1.EVN.regular.comment.csv",69

"NY1193907190",30,"$Vaughan's hit went Off Brown's wrist into left field."1939NY1.EVN.regular.comment.csv",70

"NY1193907190",37,"Conjecture"1939NY1.EVN.regular.comment.csv",71

"NY1193907190",38,"Conjecture"1939NY1.EVN.regular.comment.csv",72

"NY1193907190",42,"Conjecture"1939NY1.EVN.regular.comment.csv",73

"NY1193907190",67,"Conjecture"1939NY1.EVN.regular.comment.csv",74

"NY1193907210",0,"$Ladies Day total attendance 15,653."1939NY1.EVN.regular.comment.csv",75

"NY1193907210",6,"too faint"1939NY1.EVN.regular.comment.csv",76

"NY1193907210",70,"3-1 count"1939NY1.EVN.regular.comment.csv",77

"NY1193907220",0,"$Galan is wearing a brace so he can play with a trick knee."1939NY1.EVN.regular.comment.csv",78

"NY1193907220",78,"$Russell's throw to 2B hit Seeds."1939NY1.EVN.regular.comment.csv",79

