"NY1193304240",43,"$Bill Terry struck on the hand by a pitch; HP umpire Ernie Quigley ruled the ball struck the bat; Terry taken to hospital for x-rays"FILENAME_TX","LINE_NUMBER_CT"

"NY1193306172",86,"$Game called on account of darkness"1933NY1.EVN.regular.comment.csv",2

"NY1193306180",1,"Off Critz's shins"1933NY1.EVN.regular.comment.csv",3

"NY1193306180",5,"Infield hit"1933NY1.EVN.regular.comment.csv",4

"NY1193306180",37,"Hit & run gummed up by a pitchout"1933NY1.EVN.regular.comment.csv",5

"NY1193306180",39,"Babe Herman played the carom well"1933NY1.EVN.regular.comment.csv",6

"NY1193306180",52,"Vergez failed to BG/SH twice before his double. Demaree was shifted to LCF for Vergez."1933NY1.EVN.regular.comment.csv",7

"NY1193306180",63,"$Hit in the back"1933NY1.EVN.regular.comment.csv",8

"NY1193306180",67,"Moore collided with Ott but hung on"1933NY1.EVN.regular.comment.csv",9

"NY1193306200",42,"ej,bellh101,P,mageg901,Balls and strikes Hi Bell ejected by HP umpire George Magerkurth"1933NY1.EVN.regular.comment.csv",10

"NY1193306251",17,"$Ray Kolp threw 3 pitches thrown in the inning"1933NY1.EVN.regular.comment.csv",11

"NY1193306290",8,"$Ethan Allen hit an inside the park homer to left center but batted out of turn"1933NY1.EVN.regular.comment.csv",12

"NY1193307021",35,"Stung Hubbell's fingers; time out was taken"1933NY1.EVN.regular.comment.csv",13

"NY1193307021",38,"Hubbell: speared high, hot bouncer"1933NY1.EVN.regular.comment.csv",14

"NY1193307021",56,"Frisch: great stop"1933NY1.EVN.regular.comment.csv",15

"NY1193307021",86,"Moore: shoestring catch"1933NY1.EVN.regular.comment.csv",16

"NY1193307021",87,"Off Vergez's glove"1933NY1.EVN.regular.comment.csv",17

"NY1193307021",88,"Mancuso: nice catch crashing into the screen"1933NY1.EVN.regular.comment.csv",18

"NY1193307021",107,"Wilson: leaping catch into SLN dugout"1933NY1.EVN.regular.comment.csv",19

"NY1193307021",113,"Infield hit; close play at 1B"1933NY1.EVN.regular.comment.csv",20

"NY1193307021",115,"Off Hubbell's glove"1933NY1.EVN.regular.comment.csv",21

"NY1193307021",124,"Critz: 1-hand catch"1933NY1.EVN.regular.comment.csv",22

"NY1193307021",126,"Aided by a strong, chilly east wind"1933NY1.EVN.regular.comment.csv",23

"NY1193307022",0,"Murky twilight, constant threat of rain"1933NY1.EVN.regular.comment.csv",24

"NY1193307022",12,"$Ryan was spiked by Medwick (13 stitches in his leg)"1933NY1.EVN.regular.comment.csv",25

"NY1193307022",28,"Short fly off upper LF facade"1933NY1.EVN.regular.comment.csv",26

"NY1193307262",31,"$Johnny Vergez struck on the head"1933NY1.EVN.regular.comment.csv",27

"NY1193307262",65,"pbp account ends here, rest deduced"1933NY1.EVN.regular.comment.csv",28

"NY1193307270",0,"$Carl Hubbell finished the game with 38 1/3 consecutive scoreless innings and was his eighth shutout of the year"1933NY1.EVN.regular.comment.csv",29

"NY1193307270",21,"$Glenn Wright failed to cover the bag"1933NY1.EVN.regular.comment.csv",30

"NY1193308010",43,"$Carl Hubbell's streak of scoreless innings was stopped at 45 1/3, breaking the NL record of 44 by Ed Reulbach in 1908"1933NY1.EVN.regular.comment.csv",31

"NY1193308010",74,"$Hughie Critz left with an injured leg"1933NY1.EVN.regular.comment.csv",32

"NY1193308100",53,"$first hit off Roy Parmelee"1933NY1.EVN.regular.comment.csv",33

"NY1193308180",20,"ej,bushd102,M,mageg901,Balk non-call Reds Manager Donie Bush ejected by 1B umpire George Magerkurth for arguing that Freddie Fitzsimmons balked"1933NY1.EVN.regular.comment.csv",34

"NY1193308200",52,"$Pitcher mishandled throw in from right field"1933NY1.EVN.regular.comment.csv",35

"NY1193308280",0,"30 minute rain delay before the start of the game"1933NY1.EVN.regular.comment.csv",36

"NY1193308280",28,"$Mel Ott started to steal 2B but changed his mind"1933NY1.EVN.regular.comment.csv",37

"NY1193308300",84,"$Martin cut in front of Frisch and tried to force Terry unassisted, apparently thinking there were two outs."1933NY1.EVN.regular.comment.csv",38

"NY1193309231",80,"$Chink Outen suffered an injured right hand when he caught a pitch bare handed"1933NY1.EVN.regular.comment.csv",39

