"NYA193604170",56,"note: originally 64,4E3; changed to 64","FILENAME_TX","LINE_NUMBER_CT"
"NYA193604280",0,"$paper says betting odds on Indian pennant 3:1 or 7:2 Cal Hubbard, 300 lbs, first game with Cleveland as ump Indians hoped to see Joe D. debut but McCarthy said burned foot too sore, paper says 4 other Yankee OFs scrambling for other 2 OF spots","1936NYA.EVA.regular.comment.csv",2
"NYA193604290",8,"$Trosky batted right handed vs. Lefty Gomez.","1936NYA.EVA.regular.comment.csv",3
"NYA193604300",49,"$Officially not caught stealing.  In 1936 requires runner be out.","1936NYA.EVA.regular.comment.csv",4
"NYA193604300",55,"$Trosky's throw hit Chapman in head","1936NYA.EVA.regular.comment.csv",5
"NYA193605010",3,"$Force out after Lazzeri dropped pop fly.","1936NYA.EVA.regular.comment.csv",6
"NYA193605010",6,"$Double lost in sun.","1936NYA.EVA.regular.comment.csv",7
"NYA193605010",38,"$During play Lazzeri stepped on Selkirk's foot.  Time was taken as Selkirk hopped around in pain.","1936NYA.EVA.regular.comment.csv",8
"NYA193605010",43,"$Kreevich fought the sun.","1936NYA.EVA.regular.comment.csv",9
"NYA193605010",51,"$Chapman tried go 1B to 3B but Bonura threw to Dykes. Chapman tried go back to 2B and was safe when Appling dropped Dykes' throw.","1936NYA.EVA.regular.comment.csv",10
"NYA193605030",10,"$Joe DiMaggio's major-league debut","1936NYA.EVA.regular.comment.csv",11
"NYA193605030",19,"$Hemsley was struck in the neck by a foul ball by Gehrig in the first inning and had to leave the game here.","1936NYA.EVA.regular.comment.csv",12
"NYA193605030",60,"$15-minute rain delay","1936NYA.EVA.regular.comment.csv",13
"NYA193605030",61,"$Chapman pulled a muscle in his leg","1936NYA.EVA.regular.comment.csv",14
"NYA193605050",0,"$Chapman out nursing a charley horse. 8000 is total attendance. It includes several thousands of kids who were Yankee guests.","1936NYA.EVA.regular.comment.csv",15
"NYA193605050",48,"270 had 643 DP but official and NYT box had 543.","1936NYA.EVA.regular.comment.csv",16
"NYA193605050",62,"$DiMaggio twisted his L knee getting back to bag but  continued after the trainer visited.","1936NYA.EVA.regular.comment.csv",17
"NYA193605100",26,"ej,niema101,P,kolll901,Balls and strikes $Athletics Niemiec, not in game, ejected by HP umpire Kolls for arguing balls and strikes","1936NYA.EVA.regular.comment.csv",18
"NYA193606020",7,"0-0 count","1936NYA.EVA.regular.comment.csv",19
"NYA193606020",56,"$Chi. paper says Lazzeri tried to fool ump Summers when he  scooped Brown's vicious liner from the ground.  Instead of throwing to 1B Lazzeri threw to Crosetti at 2B as if for a LDP.","1936NYA.EVA.regular.comment.csv",20
"NYA193606030",40,"$Order of assists after Phelps not given.  both runners were involved in rundowns before Crosetti finally out.","1936NYA.EVA.regular.comment.csv",21
"NYA193606040",1,"3-0 count","1936NYA.EVA.regular.comment.csv",22
"NYA193606040",7,"$With 3-0 count on Sewell Lazzeri visited Pearson.  Crowd cheered when next pitch was strike but then ball 4.","1936NYA.EVA.regular.comment.csv",23
"NYA193606040",82,"$DiMaggio's throw hit Haas.","1936NYA.EVA.regular.comment.csv",24
"NYA193606050",46,"$IPHR when Vosmik fell.","1936NYA.EVA.regular.comment.csv",25
"NYA193606060",8,"$Joe D lost Sullivan ball in sun ","1936NYA.EVA.regular.comment.csv",26
"NYA193606070",27,"ej,allej102,P,owenb901,Bench jockeying $Indians Allen, not in game, ejected by HP umpire Owen for bench jockeying after interference call","1936NYA.EVA.regular.comment.csv",27
"NYA193606070",37,"$Short passed ball.","1936NYA.EVA.regular.comment.csv",28
"NYA193606070",119,"$Joe D dropped ball after long run but had time for force","1936NYA.EVA.regular.comment.csv",29
"NYA193606080",78,"$Ball deflected off pitcher's shin","1936NYA.EVA.regular.comment.csv",30
"NYA193606090",74,"ej,oleac101,C,quinj901,Call at 2B $Browns coach O'Leary ejected by 1B umpire Quinn for arguing that 2bman had dropped ball so runner was safe","1936NYA.EVA.regular.comment.csv",31
"NYA193606090",75,"$Hemsley's figure was split by foul tip and he left the game","1936NYA.EVA.regular.comment.csv",32
"NYA193606110",66,"$Downpour starts some time in this inning.","1936NYA.EVA.regular.comment.csv",33
"NYA193606110",95,"2-1 count","1936NYA.EVA.regular.comment.csv",34
"NYA193607090",61,"tried for 41 play","1936NYA.EVA.regular.comment.csv",35
"NYA193607100",34,"$Coach Fletcher ejected from bench in top of fourth by Kolls for heckling.","1936NYA.EVA.regular.comment.csv",36
"NYA193607121",58,"$Murphy pitches first time since ruptured muscle 5/21","1936NYA.EVA.regular.comment.csv",37
"NYA193607130",23,"$Dickey hurt his hand and game was delayed.","1936NYA.EVA.regular.comment.csv",38
"NYA193607130",41,"$Appling and Sewell hit-and-run","1936NYA.EVA.regular.comment.csv",39
"NYA193607151",0,"$Mayor LaGuardi was to present DiMaggio with 1935 PCL MVP but mayor was detained by pressing business. Fans in LF bleachers had unfolded 'huge' Italian flag","1936NYA.EVA.regular.comment.csv",40
"NYA193607152",51,"ej,perkc101,C,hubbc901,Interference call $Tigers coach Perkins ejected by 1B umpire Hubbard for arguing interference call against Walker; after Walker stoled 2nd, the ball came loose and Goslin scored, but ruling was that Walker had prevented Lazzeri from getting to ball so he was out for interference","1936NYA.EVA.regular.comment.csv",41
"NYA193607152",57,"$Hidden ball trick by Rogell on Malone","1936NYA.EVA.regular.comment.csv",42
"NYA193607160",0,"$In addition to paid under 8000 there were 7000 boys free","1936NYA.EVA.regular.comment.csv",43
"NYA193607182",78,"Cro gets RBI here per s/s; official and NYT box gave to Pearson","1936NYA.EVA.regular.comment.csv",44
"NYA193607191",29,"$Impromptu playing of Auld Lang Syne by clown band on the mezanine floor prompted crowd to give Bottomly a standing ovation as his career may be over","1936NYA.EVA.regular.comment.csv",45
"NYA193607192",66,"$sometime during DH actor Joe E. Brown, representing PCL sports writers, presented Joe with 1935 PCL MVP award","1936NYA.EVA.regular.comment.csv",46
"NYA193607192",77,"s/s has 24 for DP","1936NYA.EVA.regular.comment.csv",47
"NYA193608091",2,"bunt assumed","1936NYA.EVA.regular.comment.csv",48
"NYA193608092",57,"$Dickey dislocated his R thumb in inning","1936NYA.EVA.regular.comment.csv",49
"NYA193608100",34,"$NYT Gehrig HR and 2 fouls in this PA into unfinished RF bleachers distracting workers","1936NYA.EVA.regular.comment.csv",50
"NYA193608110",12,"$scoresheet says short PB","1936NYA.EVA.regular.comment.csv",51
"NYA193608210",0,"Weather - overcast, threat of rain.","1936NYA.EVA.regular.comment.csv",52
"NYA193608210",12,"Through the box.","1936NYA.EVA.regular.comment.csv",53
"NYA193608210",15,"Powell made a great running catch.","1936NYA.EVA.regular.comment.csv",54
"NYA193608210",17,"DiMaggio made a brilliant catch robbing Cramer of extra bases.","1936NYA.EVA.regular.comment.csv",55
"NYA193608210",28,"Off scoreboard.","1936NYA.EVA.regular.comment.csv",56
"NYA193608210",49,"Off McNair's glove.","1936NYA.EVA.regular.comment.csv",57
"NYA193608210",51,"$At this point, W. Ferrell walked off the mound and went in the clubhouse.  He was upset with what he felt was poor defensive support.  He felt that McNair should have made the play on Powell although most observers thought it was a very difficult chance.  Cronin would fine W. Ferrell one thousand dollars and suspend him indefinitely.  W. Ferrell would later claim it was a misunderstanding and that he thought Cronin had removed him from the game.","1936NYA.EVA.regular.comment.csv",58
"NYA193608210",69,"Yank's 10th consecutive victory over the Red Sox.","1936NYA.EVA.regular.comment.csv",59
"NYA193608220",19,"Crosetti made the catch near the left field line.","1936NYA.EVA.regular.comment.csv",60
"NYA193608220",21,"Powell made a spectacular one-handed catch.","1936NYA.EVA.regular.comment.csv",61
"NYA193608220",23,"Off McNair's glove.","1936NYA.EVA.regular.comment.csv",62
"NYA193608220",28,"Slekirk made the catch at the fence.","1936NYA.EVA.regular.comment.csv",63
"NYA193608220",30,"A good play by Crosetti who went behind second to make the stop.","1936NYA.EVA.regular.comment.csv",64
"NYA193608220",34,"$Selkirk's liner was knocked down by Grove who threw him out.","1936NYA.EVA.regular.comment.csv",65
"NYA193608220",41,"Past third","1936NYA.EVA.regular.comment.csv",66
"NYA193608220",51,"Off Lazzeri's glove.","1936NYA.EVA.regular.comment.csv",67
"NYA193608220",75,"To the fence.","1936NYA.EVA.regular.comment.csv",68
"NYA193608220",77,"$Kroner hit a savage grounder back to Broaca who stopped the ball in self-defense and threw Cramer out at home.","1936NYA.EVA.regular.comment.csv",69
"NYA193608220",97,"Yanks' 11th consecutive victory over the Red Sox.","1936NYA.EVA.regular.comment.csv",70
"NYA193608270",0,"$150 Japanese midshipmen in white uniforms sat together behind Yankee dugout.","1936NYA.EVA.regular.comment.csv",71
"NYA193608281",74,"Gehringer advance not on s/s","1936NYA.EVA.regular.comment.csv",72
"NYA193608281",94,"Rogell advance not shown","1936NYA.EVA.regular.comment.csv",73
"NYA193608282",14,"Sorrell advance not shown","1936NYA.EVA.regular.comment.csv",74
"NYA193608282",30,"Glenn advance unsure","1936NYA.EVA.regular.comment.csv",75
"NYA193608282",41,"Haywotyh advance not shown","1936NYA.EVA.regular.comment.csv",76
"NYA193608282",48,"Glenn advance not indicated","1936NYA.EVA.regular.comment.csv",77
"NYA193608282",62,"Glenn advance not shown","1936NYA.EVA.regular.comment.csv",78
"NYA193608282",63,"Murphy advance not shown","1936NYA.EVA.regular.comment.csv",79
"NYA193608282",64,"Cro. advance not shown","1936NYA.EVA.regular.comment.csv",80
"NYA193608282",78,"$Game called due to darkness","1936NYA.EVA.regular.comment.csv",81
"NYA193608290",1,"$Cro's L hand spiked","1936NYA.EVA.regular.comment.csv",82
"NYA193608301",74,"Appling advance unmarked","1936NYA.EVA.regular.comment.csv",83
"NYA193608301",76,"Hayes advance not marked","1936NYA.EVA.regular.comment.csv",84
"NYA193608302",30,"WP could be with Sewell up","1936NYA.EVA.regular.comment.csv",85
