"BOS194204140",3,"$Major League debut for Buddy Blair"FILENAME_TX","LINE_NUMBER_CT"

"BOS194204140",4,"Off the scoreboard"1942BOS.EVA.regular.comment.csv",2

"BOS194204140",8,"$Major League debut for Johnny Pesky"1942BOS.EVA.regular.comment.csv",3

"BOS194204140",9,"Into 2nd row of the open RF bleachers back of BOS bullpen"1942BOS.EVA.regular.comment.csv",4

"BOS194204140",15,"$Major League debut for Ken Richardson"1942BOS.EVA.regular.comment.csv",5

"BOS194204140",33,"Texas Leaguer"1942BOS.EVA.regular.comment.csv",6

"BOS194204140",42,"Off Tabor's shins"1942BOS.EVA.regular.comment.csv",7

"BOS194204140",45,"$The throw was in time but Kreevich kicked it out of Peacock's glove.  Peacock's right hand was badly spiked."1942BOS.EVA.regular.comment.csv",8

"BOS194204140",63,"$Major League debut for Jim Castiglia"1942BOS.EVA.regular.comment.csv",9

"BOS194204140",67,"$Major League debut for Russ Christopher"1942BOS.EVA.regular.comment.csv",10

"BOS194204200",0,"$70 minute rain delay at start of game"1942BOS.EVA.regular.comment.csv",11

"BOS194204200",29,"Low throw in the dirt past Vernon"1942BOS.EVA.regular.comment.csv",12

"BOS194204200",85,"$scheduled second game called for rain in 2nd inning"1942BOS.EVA.regular.comment.csv",13

"BOS194204240",0,"Ladies' Day; 15,056 paid"1942BOS.EVA.regular.comment.csv",14

"BOS194204240",40,"Into LF screen"1942BOS.EVA.regular.comment.csv",15

"BOS194204240",63,"Over LF wall"1942BOS.EVA.regular.comment.csv",16

"BOS194204240",74,"Over LF wall"1942BOS.EVA.regular.comment.csv",17

"BOS194204250",12,"Conroy, backing up the play, threw Gordon out at second."1942BOS.EVA.regular.comment.csv",18

"BOS194204260",0,"2000 servicemen guests also attended"1942BOS.EVA.regular.comment.csv",19

"BOS194204260",16,"Just cleared the fence to the right of the loud speakers"1942BOS.EVA.regular.comment.csv",20

"BOS194204260",25,"Into LF screen near the line"1942BOS.EVA.regular.comment.csv",21

"BOS194204260",46,"Great play by Conroy"1942BOS.EVA.regular.comment.csv",22

"BOS194204280",10,"DiMaggio misjudged wind-aided drive"1942BOS.EVA.regular.comment.csv",23

"BOS194204280",13,"$White hit a foul ball that split Conroy's right index finger which needed 3 stitches."1942BOS.EVA.regular.comment.csv",24

"BOS194204280",29,"Into LF screen"1942BOS.EVA.regular.comment.csv",25

"BOS194205010",46,"pbp account ends here, rest deduced"1942BOS.EVA.regular.comment.csv",26

"BOS194205020",81,"$McQuinn scored when Doerr juggled the ball after making the stop behind second."1942BOS.EVA.regular.comment.csv",27

"BOS194205040",39,"$Johnny Pesky ran to 3B where Dick Newsome had stopped"1942BOS.EVA.regular.comment.csv",28

"BOS194205060",36,"Hit high off one of the uprights supporting LF screen"1942BOS.EVA.regular.comment.csv",29

"BOS194205060",46,"Bounced off Lodigiani's ribs"1942BOS.EVA.regular.comment.csv",30

"BOS194205060",56,"High up into LF screen"1942BOS.EVA.regular.comment.csv",31

"BOS194205060",71,"Into LF screen, fair by 5'"1942BOS.EVA.regular.comment.csv",32

"BOS194205312",38,"$1b Drops PO throw, Runner on 3rd hesitates & is thrown out"1942BOS.EVA.regular.comment.csv",33

"BOS194205312",42,"$hidden ball trick"1942BOS.EVA.regular.comment.csv",34

"BOS194205312",77,"game called, curfew"1942BOS.EVA.regular.comment.csv",35

"BOS194206020",72,"$Mel Harder called for interference when Bill Conroy's throw struck Harder on the back"1942BOS.EVA.regular.comment.csv",36

"BOS194206071",39,"$Rain delay of 1:25"1942BOS.EVA.regular.comment.csv",37

"BOS194206072",0,"Protest=V"1942BOS.EVA.regular.comment.csv",38

"BOS194206072",50,"ej,dietb101,P,romme101,Balls and strikes ej,haasm101,C,romme101,Arguing pitcher ejection $Dietrich ejected by HP umpire Rommel for arguing balls and strikes; Chicago coach Mule Haas also ejected for arguing Dietrich's ejection"1942BOS.EVA.regular.comment.csv",39

"BOS194206072",60,"ej,dykej101,M,romme101,Arguing that curfew was violated $Game called for curfew; Chicago manager Dykes protested game, claiming the umpires called in the wrong pitcher from the bullpen; he also claimed that the umpires allowed the game to go beyond the 6:30pm curfew when the Red sox scored the winning run one minute after the curfew"1942BOS.EVA.regular.comment.csv",40

"BOS194206090",57,"pbp account ends here, rest deduced"1942BOS.EVA.regular.comment.csv",41

"BOS194206100",67,"pbp account ends here, rest deduced"1942BOS.EVA.regular.comment.csv",42

"BOS194206110",45,"ej,hofmf101,P,stewe901,arguing call at home plate $Browns coach Fred Hofman ejected for riding umpire Stewart for his call on Clift at home plate."1942BOS.EVA.regular.comment.csv",43

"BOS194206110",51,"pbp account ends here, rest deduced"1942BOS.EVA.regular.comment.csv",44

