"PIT191604200",9,"$Quigley called Johnston out, claiming Callahan had touched him with his hand while coaching at third. After a long argument, the game was resumed. Callahan was banished from the bench' DWS: fielding credit not awarded in 1916, I inserted 5","FILENAME_TX","LINE_NUMBER_CT"
"PIT191604200",18,"'Hornsby's hit hopped under Carey and rolled to the fence'","1916PIT.EVN.regular.comment.csv",2
"PIT191604200",38,"'fine running catch'","1916PIT.EVN.regular.comment.csv",3
"PIT191604200",57,"$hit and run","1916PIT.EVN.regular.comment.csv",4
"PIT191604210",65,"IPHR","1916PIT.EVN.regular.comment.csv",5
"PIT191604280",16,"This may have been a CS.","1916PIT.EVN.regular.comment.csv",6
"PIT191604280",18,"INF","1916PIT.EVN.regular.comment.csv",7
"PIT191604280",65,"The play-by-play does not mention this as a sacrifice.","1916PIT.EVN.regular.comment.csv",8
"PIT191604290",7,"This was a hit-and-run.","1916PIT.EVN.regular.comment.csv",9
"PIT191604290",26,"Schulz' pickoff throw split Chase's finger, and he had to leave the game.","1916PIT.EVN.regular.comment.csv",10
"PIT191604290",55,"O'Day ejected Williams from the game.","1916PIT.EVN.regular.comment.csv",11
"PIT191605040",21,"Zimmerman's at bat was missing from the account, so I am making my best guess based on the stats in the box score.","1916PIT.EVN.regular.comment.csv",12
"PIT191605040",61,"Wagner singled on a 1-2 count.","1916PIT.EVN.regular.comment.csv",13
"PIT191605050",88,"Mamaux retired the side on 3 pitches.","1916PIT.EVN.regular.comment.csv",14
"PIT191605050",92,"Wilson actually entered with an 0-1 count on Mamaux.","1916PIT.EVN.regular.comment.csv",15
"PIT191605060",55,"Vaughn struck out on three pitches.","1916PIT.EVN.regular.comment.csv",16
"PIT191605090",68,"$The Pirates began arguing when Rigler called a strike on the 3-1 pitch to Costello.","1916PIT.EVN.regular.comment.csv",17
"PIT191605090",69,"Costello, Wagner, Mamaux, and manager Callahan were all ejected by Rigler for arguing.","1916PIT.EVN.regular.comment.csv",18
"PIT191605090",100,"IPHR","1916PIT.EVN.regular.comment.csv",19
"PIT191605100",78,"Anderson threw 101 pitches.","1916PIT.EVN.regular.comment.csv",20
"PIT191605120",76,"ej,dooir101,P,klemb901,HBP call $Catcher Dooin was ejected by HP umpire Klem for arguing that pitch had hit Gibson's bat","1916PIT.EVN.regular.comment.csv",21
"PIT191605180",39,"INF","1916PIT.EVN.regular.comment.csv",22
"PIT191605190",55,"This was a hit-and-run.","1916PIT.EVN.regular.comment.csv",23
"PIT191605190",56,"This play seems strange.","1916PIT.EVN.regular.comment.csv",24
"PIT191605190",57,"The fielding on this play may be incorrect.","1916PIT.EVN.regular.comment.csv",25
"PIT191605190",63,"It is unclear if this was an IPHR.","1916PIT.EVN.regular.comment.csv",26
"PIT191605190",67,"There are only 2 outs mentioned in the inning in the play- by-play account. It appears Hinchman was the last batter of the inning, so one of the runners must have been put out on the bases. I am guessing as to the fielding.","1916PIT.EVN.regular.comment.csv",27
