"DET194604170",49,"Off Mayo's glove.","FILENAME_TX","LINE_NUMBER_CT"
"DET194604280",29,"Off RCF screen","1946DET.EVA.regular.comment.csv",2
"DET194604280",40,"Cullenbine: sensational catch of sinking liner","1946DET.EVA.regular.comment.csv",3
"DET194604280",41,"High into upper deck in LF","1946DET.EVA.regular.comment.csv",4
"DET194604280",52,"Mayo: leaping catch of blooper","1946DET.EVA.regular.comment.csv",5
"DET194605130",2,"ej,dykej101,M,grieb901,Called third strike $Moses stole second on strike 3, but was sent back to first when HP umpire Grieve ruled that Curtright had intefered with the catched; Manager Jimmy Dykes of the White Sox was ejected by HP umpire Bill Grieve for arguing the call","1946DET.EVA.regular.comment.csv",6
"DET194605130",22,"$Grove entered with 2-1 count, walk charge to Lee","1946DET.EVA.regular.comment.csv",7
"DET194605130",53,"$Richards hit on elbow by foul ball, had to leave game","1946DET.EVA.regular.comment.csv",8
"DET194605140",28,"$McCosky pulled a muscle in left leg in 3rd inning","1946DET.EVA.regular.comment.csv",9
"DET194605170",60,"$Rough rolling block by Trucks that took him 8 feet past bag and caused Hall to drop ball (great pictures in paper); Hall recovered ball and was just late in his tag on Trucks coming back to the bag, according to umpire Berry","1946DET.EVA.regular.comment.csv",10
"DET194605210",65,"DiMaggio pulls leg muscle on steal and leaves the game","1946DET.EVA.regular.comment.csv",11
"DET194605220",0,"$Yankees manager Joe McCarthy at hotel sick","1946DET.EVA.regular.comment.csv",12
"DET194605220",68,"$Tommy Henrich was spiked during the triple play and required three stitches in his left ankle","1946DET.EVA.regular.comment.csv",13
"DET194605230",0,"$Yankees manager Joe McCarthy home with gall bladder trouble","1946DET.EVA.regular.comment.csv",14
"DET194606160",18,"$Mike Guerra faked a throw to 2B when Jimmy Bloodworth ran; Hank Greenberg caught in rundown","1946DET.EVA.regular.comment.csv",15
"DET194606160",66,"$game called for rain and darkness after the Senators scored three runs in the top of the eighth, including a two-run HR by Mickey Vernon; they had the bases loaded with one out when the game was stopped; Birdie Tebbetts committed an error in the inning that was not wiped from his record","1946DET.EVA.regular.comment.csv",16
"DET194606200",52,"end of pbp; rest deduced","1946DET.EVA.regular.comment.csv",17
"DET194606240",0,"Twilight game started around 5:30 PM","1946DET.EVA.regular.comment.csv",18
"DET194606240",41,"Mullin leaps high against RF screen to rob Williams","1946DET.EVA.regular.comment.csv",19
"DET194606240",77,"Detroit News says Wakefield threw to second instead of plate Boston Globe says Evers juggled ball after it came off wall","1946DET.EVA.regular.comment.csv",20
"DET194606240",82,"Hit and run so throws to second and first were late","1946DET.EVA.regular.comment.csv",21
"DET194606240",85,"Game called due to darkness at 7:54 PM since no lights and Michigan not on daylight savings time.","1946DET.EVA.regular.comment.csv",22
"DET194607041",7,"$hit on left wrist","1946DET.EVA.regular.comment.csv",23
"DET194607041",67,"$Krakauskas threw only 3 pitches, leaving with 3-0 count, having completed no plate appearances","1946DET.EVA.regular.comment.csv",24
"DET194607240",53,"fan interference","1946DET.EVA.regular.comment.csv",25
"DET194607281",53,"ej,cullr101,P,grieb901,Fighting ej,handg101,P,grieb901,Fighting $Cullenbine slid hard into Handley on the force out and players fought; both ejected by HP umpire Bill Grieve","1946DET.EVA.regular.comment.csv",26
"DET194607310",38,"pbp account ends here, rest deduced","1946DET.EVA.regular.comment.csv",27
"DET194608030",9,"$Mike Higgins left with a spike wound above his left knee","1946DET.EVA.regular.comment.csv",28
"DET194608040",0,"$Pre-game rain made the outfield soggy. The sun came out from the 5th inning on.","1946DET.EVA.regular.comment.csv",29
"DET194608040",31,"Webb dropped it after a long run; because of the condition of the outfield turf, Harris was credited with a hit.","1946DET.EVA.regular.comment.csv",30
"DET194609110",66,"$Ted Williams bunted against the shift","1946DET.EVA.regular.comment.csv",31
"DET194609130",20,"$Swirling wind caused ball to drop untouched behing the mound","1946DET.EVA.regular.comment.csv",32
"DET194609130",39,"pbp account ends here, rest deduced","1946DET.EVA.regular.comment.csv",33
"DET194609170",29,"$Tebbetts argued so strongly that he did not drop the ball that he was ejected by HP umpire Grieve","1946DET.EVA.regular.comment.csv",34
