"DET193805150",48,"called, rain"FILENAME_TX","LINE_NUMBER_CT"

"DET193805190",22,"$Tebbets reaches into stands to make catch, but throw to second goes into center"1938.EDA.regular.comment.csv",2

"DET193805190",43,"$Rogell steals second, advances on Hayes throw into center and is out trying to score"1938.EDA.regular.comment.csv",3

"DET193805190",72,"Nelson's pick off try goes into center"1938.EDA.regular.comment.csv",4

"WS1193806100",42,"ej,myerb103,P,rue-j901,Call at third $Myer ejected by plate umpire Rue for arguing call at 3rd"1938.EDA.regular.comment.csv",5

"WS1193806100",43,"ej,goslg101,P,rue-j901,Call at third $Goslin ejected by plate umpire Rue for complaining about call on Myer while he was in the on-deck circle; Washington manager Harris persuaded Rue to let Goslin bat and then have the ejection take effect!"1938.EDA.regular.comment.csv",6

"WS1193806100",60,"$Almade injured shoulder running into wall making the catch; left for pinch-hitter in 9th"1938.EDA.regular.comment.csv",7

"DET193806180",29,"$Eisenstat's throw hits Travis in the back"1938.EDA.regular.comment.csv",8

"WS1193806120",36,"$52-minute rain delay"1938.EDA.regular.comment.csv",9

"SLA193806262",20,"ej,streg101,M,quinj901,Balls and strikes ej,hildo101,P,quinj901,Balls and strikes $St. Louis manager Street ejected by plate umpire Quinn for arguing balls and strikes; St. Louis pitcher Hildebrand, who was not in the game. was ejected from the bench at the same time for the same reason"1938.EDA.regular.comment.csv",10

"SLA193807031",22,"$Per the Detroit Free Press: 'To catch [the ball], Sullivan would have to step into the bat rack. So he did. He glided over the bats as though he were playing a xylophone with his feet.'"1938.EDA.regular.comment.csv",11

"SLA193807032",51,"$Per the St. Louis Globe-Democrat: 'Newsom tapped to Gill and started right back for the bench, whereupon Gill thew to Catcher York, who tagged Newsom for the putout.'"1938.EDA.regular.comment.csv",12

"WS1193807210",24,"$York hit on head, suffered concusion"1938.EDA.regular.comment.csv",13

"SLA193807311",35,"$McQuillen dislocated his finger"1938.EDA.regular.comment.csv",14

"SLA193807312",48,"16-minute rain delay"1938.EDA.regular.comment.csv",15

"SLA193807312",59,"Game called on account of rain"1938.EDA.regular.comment.csv",16

"DET193807260",10,"$Pitcher missed return throw from catcher"1938.EDA.regular.comment.csv",17

"SLA193808020",22,"umpchange,2,umphome,basis901 umpchange,2,ump1b,newsb101 umpchange,2,ump3b,blueo102 $collision between Sullivan and plate umpire Geisel who was carried off unconscious and with a broken wrist; players Newsom and Bluege became umpires to finish the game"1938.EDA.regular.comment.csv",18

"CHA193808031",33,"$This was Harry Boyles' major-league debut"1938.EDA.regular.comment.csv",19

"DET193808070",0,"$This was Del Baker's first game as Tigers' manager"1938.EDA.regular.comment.csv",20

"DET193808060",55,"$Kennedy spiked Vosmik in the back covering home on this play"1938.EDA.regular.comment.csv",21

"SLA193808030",54,"$West left with an injured foot from fould ball last inning"1938.EDA.regular.comment.csv",22

"WS1193808120",15,"$Chapman and Doerr collided chasing Giuliani's fly to short right field"1938.EDA.regular.comment.csv",23

"WS1193808120",41,"Midkiff entered with the count 2-0 on West"1938.EDA.regular.comment.csv",24

"SLA193808142",76,"$game called for darkness"1938.EDA.regular.comment.csv",25

"WS1193808250",57,"Walker muffed an easy fly ball in LF but Christman recovered the ball in time to force Bluege at 3B"1938.EDA.regular.comment.csv",26

"WS1193808310",14,"$Case pulled muscle batting in first"1938.EDA.regular.comment.csv",27

"CLE193809181",63,"$Short fly intentionally dropped and DP followed"1938.EDA.regular.comment.csv",28

"BOS193809110",43,"$Etten overran second base"1938.EDA.regular.comment.csv",29

"DET193809212",44,"$Game called for darkness"1938.EDA.regular.comment.csv",30

"DET193809240",59,"$Milnar entered with the count 3-0 on Christman and completed the walk, which was charged to Harder. Harder left with numbness in the index finger of his pitching hand"1938.EDA.regular.comment.csv",31

"PHA193809270",73,"$Game called for darkness"1938.EDA.regular.comment.csv",32

"DET193809272",66,"$Game called for darkness"1938.EDA.regular.comment.csv",33

"CHA193810012",42,"$Game called for darkness"1938.EDA.regular.comment.csv",34

"WS1193806090",11,"ball hit runner"1938.EDA.regular.comment.csv",35

